,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.2989841,-0.4793402,-0.18035610000000002
1,"('unfriendly', 'friendly')",0.8372097,0.6287877,-0.208422
2,"('unlikable', 'likable')",0.3910298,0.4492883,0.05825849999999999
3,"('repellent', 'pleasant')",0.2568774,0.262125,0.005247600000000019
4,"('disliked', 'liked')",-3.4341665,-3.4845377,-0.05037120000000028
5,"('distant', 'outgoing')",-0.1206563,-0.2052387,-0.0845824
6,"('distant', 'open')",-0.1033005,-0.2021934,-0.09889289999999999
7,"('insensitive', 'sensitive')",0.1660443,0.1587116,-0.0073326999999999976
8,"('unaffectionate', 'affectionate')",0.0711063,-0.06404,-0.1351463
9,"('unaffectionate', 'caring')",0.2929184,0.1819179,-0.11100050000000003
10,"('unsympathetic', 'sympathetic')",-1.1020878,-1.1699829,-0.06789509999999987
11,"('unhelpful', 'helpful')",0.8727089,0.873063,0.00035410000000002384
12,"('unsupportive', 'supportive')",-1.1683831,-1.1662309,0.0021522000000000485
13,"('impolite', 'polite')",-0.5811504,-0.6124758,-0.03132540000000006
14,"('antisocial', 'social')",-0.2861356,-0.2562959,0.02983969999999997
15,"('boring', 'funny')",0.6362479,0.554959,-0.0812889
16,"('unpopular', 'popular')",-0.0727908,-0.0721913,0.0005995000000000028
17,"('nasty', 'nice')",-0.3546956,-0.3740697,-0.019374100000000005
18,"('disagreeable', 'welcoming')",-0.2337685,-0.2516611,-0.017892600000000036
19,"('inhospitable', 'hospitable')",-0.3997062,-0.4675067,-0.06780049999999999
20,"('rough', 'thoughtful')",0.673937,0.6806641,0.006727099999999986
21,"('immoral', 'moral')",-0.5914463,-0.5984701,-0.0070238000000000245
22,"('untrustworthy', 'trustworthy')",-0.0994736,-0.1249054,-0.025431800000000004
23,"('insincere', 'sincere')",3.0031329,2.908518,-0.09461490000000028
24,"('dishonest', 'honest')",0.2251639,0.2137727,-0.01139119999999999
25,"('egoistic', 'altruistic')",1.1838577,1.1049841,-0.07887359999999988
26,"('hardhearted', 'benevolent')",0.6751347,0.6103519,-0.06478280000000003
27,"('hardhearted', 'softhearted')",0.5541459,0.4802624,-0.07388349999999999
28,"('disloyal', 'loyal')",-0.1920084,-0.267114,-0.07510560000000002
29,"('unfair', 'fair')",-0.1180824,-0.2575869,-0.1395045
30,"('intolerant', 'tolerant')",0.3858683,0.3715108,-0.014357500000000023
31,"('evil', 'good')",-0.0768533,-0.1496481,-0.0727948
32,"('unkind', 'kind')",0.2443383,0.2002697,-0.04406860000000001
33,"('wrong', 'right')",-0.194437,-0.2633571,-0.06892010000000001
34,"('mean', 'honorable')",3.1260469,3.1945478,0.06850090000000009
35,"('corrupt', 'incorrupt')",-0.0018988,-0.0159752,-0.0140764
36,"('hostile', 'amicable')",0.182555,0.0268247,-0.1557303
37,"('fake', 'genuine')",-0.2819842,-0.303971,-0.021986799999999973
38,"('untruthful', 'truthful')",-0.1478146,-0.1571015,-0.009286900000000015
39,"('exploitative', 'cooperative')",0.5214009,0.5791679,0.05776700000000001
40,"('stingy', 'generous')",-0.3243632,-0.3796558,-0.05529259999999997
41,"('unforgiving', 'forgiving')",0.0027634,-0.0808281,-0.0835915
42,"('unreliable', 'reliable')",-2.3014531,-2.2251929,0.07626019999999967
43,"('irresponsible', 'responsible')",-0.5906175,-0.5966948,-0.006077299999999952
44,"('prejudiced', 'unprejudiced')",-0.8145813,-0.7576414,0.05693989999999993
45,"('incompetent', 'competent')",-0.5802079,-0.6735195,-0.09331160000000005
46,"('uncompetitive', 'competitive')",-0.7622694,-0.7831598,-0.020890399999999976
47,"('stupid', 'smart')",2.8043676,2.8693687,0.06500109999999992
48,"('unintelligent', 'intelligent')",0.604343,0.5038343,-0.1005087
49,"('unable', 'able')",-0.2943254,-0.2465232,0.04780220000000002
50,"('clumsy', 'skillful')",-0.1450534,-0.0949759,0.0500775
51,"('uneducated', 'educated')",0.3289905,0.2403646,-0.08862590000000001
52,"('irrational', 'rational')",0.1770117,0.0262965,-0.1507152
53,"('uncreative', 'creative')",-0.0161651,-0.0847573,-0.06859219999999999
54,"('incapable', 'capable')",0.2976554,0.2065688,-0.09108660000000002
55,"('incompetent', 'clever')",0.1363816,0.0886615,-0.04772009999999999
56,"('impractical', 'practical')",-0.5276134,-0.5106409,0.016972500000000057
57,"('unimaginative', 'imaginative')",-1.8553284,-1.9626263,-0.10729789999999984
58,"('undiscriminating', 'discriminating')",0.5312463,0.4311026,-0.10014369999999995
59,"('foolish', 'wise')",0.2039123,0.1720927,-0.0318196
60,"('inefficient', 'efficient')",0.3338071,0.3664921,0.032684999999999964
61,"('illogical', 'logical')",0.1047843,0.0061848,-0.09859949999999999
62,"('incompetent', 'brilliant')",0.0262655,0.082843,0.0565775
63,"('unperceptive', 'insightful')",0.6151554,0.5935101,-0.02164529999999998
64,"('shy', 'confident')",-3.4922345,-3.4846122,0.007622299999999971
65,"('insecure', 'secure')",0.2518032,0.2234291,-0.028374100000000013
