,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.3965954,0.1847758,-0.2118196
1,"('unfriendly', 'friendly')",0.3162308,0.1924988,-0.12373199999999998
2,"('unlikable', 'likable')",-0.2605562,-0.2388444,0.021711800000000003
3,"('repellent', 'pleasant')",0.2630077,0.2857471,0.022739399999999965
4,"('disliked', 'liked')",-2.6297159,-2.6269161,0.002799800000000019
5,"('distant', 'outgoing')",-0.8310952,-0.8806619,-0.049566699999999964
6,"('distant', 'open')",-0.8424907,-0.9048755,-0.06238480000000002
7,"('insensitive', 'sensitive')",0.155339,0.1516935,-0.003645499999999996
8,"('unaffectionate', 'affectionate')",-1.1316846,-1.2503148,-0.11863019999999991
9,"('unaffectionate', 'caring')",-0.6038988,-0.6970308,-0.09313199999999999
10,"('unsympathetic', 'sympathetic')",-0.1434471,-0.2279408,-0.0844937
11,"('unhelpful', 'helpful')",1.2132222,1.2145145,0.001292300000000024
12,"('unsupportive', 'supportive')",-0.882919,-0.866287,0.01663199999999998
13,"('impolite', 'polite')",0.3901532,0.3151442,-0.07500899999999999
14,"('antisocial', 'social')",0.3370144,0.3119742,-0.025040200000000012
15,"('boring', 'funny')",0.8618546,0.8098098,-0.0520448
16,"('unpopular', 'popular')",-0.4255425,-0.3688676,0.05667489999999997
17,"('nasty', 'nice')",-0.2081505,-0.2074696,0.0006808999999999843
18,"('disagreeable', 'welcoming')",-1.041121,-1.1158416,-0.07472060000000003
19,"('inhospitable', 'hospitable')",-1.0291216,-1.0453175,-0.01619589999999982
20,"('rough', 'thoughtful')",0.4509776,0.5107999,0.059822299999999995
21,"('immoral', 'moral')",-0.2026784,-0.1567913,0.045887100000000014
22,"('untrustworthy', 'trustworthy')",0.8719561,0.7959558,-0.07600030000000002
23,"('insincere', 'sincere')",2.9593718,2.8790528,-0.08031899999999981
24,"('dishonest', 'honest')",0.7047036,0.640522,-0.06418159999999995
25,"('egoistic', 'altruistic')",-0.0430219,-0.0747709,-0.031749
26,"('hardhearted', 'benevolent')",0.9061803,0.7741724,-0.13200790000000007
27,"('hardhearted', 'softhearted')",0.14769,0.1194968,-0.028193199999999988
28,"('disloyal', 'loyal')",-0.25129,-0.3753325,-0.1240425
29,"('unfair', 'fair')",0.128256,0.038093,-0.09016300000000001
30,"('intolerant', 'tolerant')",1.1740573,1.1429352,-0.031122100000000152
31,"('evil', 'good')",-0.9392431,-1.0042551,-0.06501199999999996
32,"('unkind', 'kind')",0.37901,0.2979563,-0.0810537
33,"('wrong', 'right')",-0.456592,-0.5385205,-0.08192849999999996
34,"('mean', 'honorable')",2.3551203,2.4834454,0.12832510000000008
35,"('corrupt', 'incorrupt')",-1.1714945,-1.2426622,-0.07116769999999994
36,"('hostile', 'amicable')",-0.820179,-0.9547937,-0.13461469999999998
37,"('fake', 'genuine')",-0.0816147,-0.1100513,-0.028436600000000006
38,"('untruthful', 'truthful')",-0.1924043,-0.1664874,0.025916899999999993
39,"('exploitative', 'cooperative')",0.3810175,0.4262713,0.04525380000000001
40,"('stingy', 'generous')",-0.7118152,-0.7678642,-0.056049000000000015
41,"('unforgiving', 'forgiving')",0.206069,0.1133412,-0.0927278
42,"('unreliable', 'reliable')",-1.3642679,-1.3733774,-0.009109500000000104
43,"('irresponsible', 'responsible')",0.4880156,0.5065277,0.01851210000000003
44,"('prejudiced', 'unprejudiced')",-0.8075675,-0.7737858,0.033781700000000026
45,"('incompetent', 'competent')",1.2049066,1.1336513,-0.07125530000000002
46,"('uncompetitive', 'competitive')",0.5996201,0.5497478,-0.04987229999999998
47,"('stupid', 'smart')",3.0729168,3.110565,0.03764820000000002
48,"('unintelligent', 'intelligent')",0.2700757,0.2971507,0.027075000000000016
49,"('unable', 'able')",-0.2573679,-0.128931,0.1284369
50,"('clumsy', 'skillful')",-0.5785991,-0.5631798,0.015419300000000025
51,"('uneducated', 'educated')",0.3272451,0.2547876,-0.07245750000000001
52,"('irrational', 'rational')",-1.3320659,-1.4080539,-0.07598800000000017
53,"('uncreative', 'creative')",-0.5176489,-0.5702884,-0.05263950000000006
54,"('incapable', 'capable')",-0.292743,-0.4045489,-0.11180590000000001
55,"('incompetent', 'clever')",1.0313534,1.0283922,-0.002961199999999886
56,"('impractical', 'practical')",0.8327653,0.8662968,0.033531499999999936
57,"('unimaginative', 'imaginative')",-0.5540113,-0.6766869,-0.1226756
58,"('undiscriminating', 'discriminating')",0.6511578,0.6129716,-0.03818620000000006
59,"('foolish', 'wise')",-0.0404497,-0.0380377,0.0024119999999999975
60,"('inefficient', 'efficient')",0.9151852,1.0067789,0.0915937
61,"('illogical', 'logical')",0.3268565,0.1960387,-0.13081779999999998
62,"('incompetent', 'brilliant')",1.2243913,1.3489643,0.12457300000000004
63,"('unperceptive', 'insightful')",1.0790256,1.1329427,0.05391710000000005
64,"('shy', 'confident')",-3.1568322,-3.1844746,-0.027642399999999956
65,"('insecure', 'secure')",0.8850945,0.8726457,-0.012448800000000038
66,"('inactive', 'active')",-0.8295286,-0.9365405,-0.10701190000000005
67,"('doubtful', 'determined')",-0.7857331,-0.7789379,0.006795200000000001
68,"('dependent', 'independent')",-0.1242622,-0.1115238,0.012738399999999997
69,"('lazy', 'industrious')",-1.1117597,-1.0906199,0.02113979999999982
70,"('lethargic', 'energetic')",1.1730888,1.0956767,-0.07741209999999987
71,"('diffident', 'self-confident')",-0.0813918,-0.1407761,-0.05938429999999999
72,"('unambitious', 'ambitious')",-0.4816541,-0.4917647,-0.010110600000000025
73,"('helpless', 'self-reliant')",-1.0385364,-0.976255,0.06228139999999993
74,"('undedicated', 'dedicated')",0.3671179,0.3588286,-0.0082893
75,"('meek', 'impulsive')",-0.3711141,-0.3396166,0.03149750000000001
76,"('anxious', 'daring')",0.9647131,0.9984206,0.0337075
77,"('unmotivated', 'motivated')",-0.8350037,-0.7937841,0.04121960000000002
78,"('nonresilient', 'resilient')",-0.332822,-0.2795581,0.05326390000000003
79,"('wavering', 'unwavering')",-0.6973167,-0.7479136,-0.050596899999999945
80,"('dominated', 'dominating')",0.5978084,0.6800111,0.08220269999999996
81,"('submissive', 'aggressive')",0.2738507,0.2198584,-0.05399229999999999
82,"('poor', 'rich')",2.8419557,2.8404182,-0.0015375000000004135
83,"('powerless', 'powerful')",-0.6017179,-0.6409975,-0.03927959999999997
84,"('inferior', 'superior')",0.441666,0.4186032,-0.023062799999999994
85,"('insignificant', 'prestigious')",-1.2654511,-1.2778049,-0.012353800000000081
86,"('uninfluential', 'influential')",0.0320926,-0.1063353,-0.1384279
87,"('unsuccessful', 'successful')",1.1935794,1.2437171,0.05013770000000006
88,"('low', 'eminent')",-0.0457902,-0.0438262,0.0019640000000000005
