,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.379659,0.3594388,-0.02022020000000002
1,"('unfriendly', 'friendly')",1.2056382,1.1028197,-0.10281850000000015
2,"('unlikable', 'likable')",0.2886217,0.3420195,0.053397799999999995
3,"('repellent', 'pleasant')",1.2285056,1.1767165,-0.05178910000000014
4,"('disliked', 'liked')",-7.0276459,-7.0873859,-0.05974000000000057
5,"('distant', 'outgoing')",-0.4497808,-0.6183082,-0.1685274
6,"('distant', 'open')",-0.2430684,-0.3989299,-0.15586150000000001
7,"('insensitive', 'sensitive')",0.8387767,0.8397429,0.0009661999999999171
8,"('unaffectionate', 'affectionate')",0.7914008,0.626543,-0.16485780000000005
9,"('unaffectionate', 'caring')",1.0338773,1.0059008,-0.02797650000000007
10,"('unsympathetic', 'sympathetic')",0.9678912,1.0835215,0.11563030000000007
11,"('unhelpful', 'helpful')",1.8356187,1.9225296,0.08691090000000012
12,"('unsupportive', 'supportive')",-1.0649649,-0.9773212,0.0876437000000001
13,"('impolite', 'polite')",0.4097279,0.5389954,0.12926750000000004
14,"('antisocial', 'social')",0.1413583,0.2501108,0.10875250000000003
15,"('boring', 'funny')",0.3825541,0.2664967,-0.11605740000000003
16,"('unpopular', 'popular')",-0.9281846,-0.9672474,-0.03906279999999995
17,"('nasty', 'nice')",-0.3401428,-0.389339,-0.04919619999999997
18,"('disagreeable', 'welcoming')",0.0277273,0.0036723,-0.024055
19,"('inhospitable', 'hospitable')",-0.3934471,-0.4185215,-0.025074399999999997
20,"('rough', 'thoughtful')",0.4359473,0.3185205,-0.1174268
21,"('immoral', 'moral')",0.1024041,0.2842268,0.1818227
22,"('untrustworthy', 'trustworthy')",0.4686428,0.5477312,0.07908839999999995
23,"('insincere', 'sincere')",6.1733224,6.1881162,0.014793799999999635
24,"('dishonest', 'honest')",1.5446887,1.6594808,0.11479210000000006
25,"('egoistic', 'altruistic')",0.9182025,0.7624679,-0.15573460000000006
26,"('hardhearted', 'benevolent')",0.2716449,0.2867722,0.015127299999999955
27,"('hardhearted', 'softhearted')",1.3389901,1.159346,-0.17964409999999997
28,"('disloyal', 'loyal')",0.4622655,0.5134364,0.05117090000000002
29,"('unfair', 'fair')",-0.2653238,-0.3306649,-0.06534109999999999
30,"('intolerant', 'tolerant')",0.7836398,0.8845125,0.10087270000000004
31,"('evil', 'good')",-0.8606258,-0.9888229,-0.12819709999999995
32,"('unkind', 'kind')",0.8543417,0.8879791,0.03363740000000004
33,"('wrong', 'right')",-0.3637536,-0.3355111,0.028242500000000004
34,"('mean', 'honorable')",4.5568809,4.6845159,0.12763499999999972
35,"('corrupt', 'incorrupt')",-1.3251942,-1.4064731,-0.08127889999999982
36,"('hostile', 'amicable')",-0.8101181,-0.9545792,-0.1444611
37,"('fake', 'genuine')",0.6726835,0.6436818,-0.02900170000000002
38,"('untruthful', 'truthful')",-0.2811616,-0.261448,0.019713599999999998
39,"('exploitative', 'cooperative')",0.2434078,0.3132895,0.06988169999999999
40,"('stingy', 'generous')",-0.6895274,-0.8242441,-0.13471670000000002
41,"('unforgiving', 'forgiving')",0.3360025,0.3808264,0.04482390000000003
42,"('unreliable', 'reliable')",-2.1598456,-2.1128877,0.04695790000000022
43,"('irresponsible', 'responsible')",0.8573562,0.9316628,0.0743066
44,"('prejudiced', 'unprejudiced')",-1.1055548,-1.1732969,-0.06774210000000003
45,"('incompetent', 'competent')",0.1665469,0.1777392,0.011192300000000016
46,"('uncompetitive', 'competitive')",-0.5909303,-0.4462053,0.144725
47,"('stupid', 'smart')",4.9807502,5.0305108,0.04976059999999993
48,"('unintelligent', 'intelligent')",0.4528368,0.4540961,0.0012593000000000187
49,"('unable', 'able')",-0.578307,-0.5184734,0.05983360000000004
50,"('clumsy', 'skillful')",-0.6413302,-0.7121232,-0.070793
51,"('uneducated', 'educated')",1.148482,1.169241,0.020758999999999972
52,"('irrational', 'rational')",-0.4431296,-0.6011864,-0.1580568
53,"('uncreative', 'creative')",-0.0150407,-0.0670843,-0.052043599999999995
54,"('incapable', 'capable')",1.3052352,1.4052579,0.10002270000000002
55,"('incompetent', 'clever')",1.1488898,1.1898341,0.04094429999999982
56,"('impractical', 'practical')",0.2760992,0.4039208,0.12782160000000004
57,"('unimaginative', 'imaginative')",-2.3570092,-2.3240379,0.032971299999999815
58,"('undiscriminating', 'discriminating')",-0.0570631,-0.1080733,-0.0510102
59,"('foolish', 'wise')",-0.4981554,-0.5190437,-0.02088829999999997
60,"('inefficient', 'efficient')",0.8107513,0.952325,0.14157370000000002
61,"('illogical', 'logical')",0.2170292,0.19393,-0.023099200000000014
62,"('incompetent', 'brilliant')",1.2868463,1.3714392,0.08459289999999986
63,"('unperceptive', 'insightful')",0.6301451,0.6744944,0.044349300000000036
64,"('shy', 'confident')",-5.3739875,-5.2226372,0.15135029999999983
65,"('insecure', 'secure')",1.1113912,1.1887627,0.07737150000000015
66,"('inactive', 'active')",-0.7837936,-0.8382552,-0.0544616
67,"('doubtful', 'determined')",-1.1585876,-1.0811467,0.07744090000000003
68,"('dependent', 'independent')",-0.8653661,-0.8489514,0.016414700000000004
69,"('lazy', 'industrious')",-1.9644451,-1.9972887,-0.03284359999999986
70,"('lethargic', 'energetic')",1.5255622,1.4813443,-0.04421790000000003
71,"('diffident', 'self-confident')",-0.340549,-0.3274751,0.013073899999999972
72,"('unambitious', 'ambitious')",0.6878386,0.7163915,0.028552899999999992
73,"('helpless', 'self-reliant')",-2.5717395,-2.6044419,-0.0327023999999998
74,"('undedicated', 'dedicated')",-0.1375949,-0.2023867,-0.06479180000000001
75,"('meek', 'impulsive')",-0.6228825,-0.6834306,-0.060548099999999994
76,"('anxious', 'daring')",1.0046262,0.9659989,-0.03862729999999992
77,"('unmotivated', 'motivated')",-0.8908095,-0.7748673,0.1159422
78,"('nonresilient', 'resilient')",-0.6086751,-0.6040649,0.004610200000000009
79,"('wavering', 'unwavering')",-0.4450826,-0.5694937,-0.1244111
80,"('dominated', 'dominating')",0.136416,0.2060992,0.0696832
81,"('submissive', 'aggressive')",0.5866859,0.7053783,0.11869240000000003
82,"('poor', 'rich')",5.7190085,5.689193,-0.029815499999999773
83,"('powerless', 'powerful')",-0.9873314,-0.9381907,0.049140699999999926
84,"('inferior', 'superior')",-0.134967,-0.07997,0.054997000000000004
85,"('insignificant', 'prestigious')",-1.5208234,-1.6398819,-0.11905849999999996
86,"('uninfluential', 'influential')",0.5354946,0.555477,0.019982399999999956
87,"('unsuccessful', 'successful')",-0.2924901,-0.2099881,0.08250199999999996
88,"('low', 'eminent')",-0.1638299,-0.1982532,-0.03442329999999999
