,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5875972,1.4896069,-0.09799029999999997
1,"('unfriendly', 'friendly')",0.7132271,0.6854224,-0.027804700000000016
2,"('unlikable', 'likable')",0.6433739,0.6931799,0.049805999999999906
3,"('repellent', 'pleasant')",1.2840264,1.2643339,-0.01969249999999989
4,"('disliked', 'liked')",-4.7113499,-4.6532699,0.058080000000000354
5,"('distant', 'outgoing')",-0.9448287,-0.9584261,-0.013597399999999982
6,"('distant', 'open')",-0.6784932,-0.7101144,-0.031621200000000016
7,"('insensitive', 'sensitive')",1.5038934,1.5211442,0.01725080000000001
8,"('unaffectionate', 'affectionate')",-0.2176589,-0.2635451,-0.04588619999999999
9,"('unaffectionate', 'caring')",0.6940168,0.713832,0.019815200000000033
10,"('unsympathetic', 'sympathetic')",0.7162771,0.6752137,-0.04106339999999997
11,"('unhelpful', 'helpful')",1.6402918,1.6429267,0.0026349000000001066
12,"('unsupportive', 'supportive')",-0.2650235,-0.2301765,0.03484700000000002
13,"('impolite', 'polite')",0.7787616,0.7724344,-0.006327200000000088
14,"('antisocial', 'social')",1.6539309,1.6177003,-0.03623059999999989
15,"('boring', 'funny')",-0.0113478,-0.0709608,-0.059613000000000006
16,"('unpopular', 'popular')",-0.8088344,-0.7401935,0.0686409
17,"('nasty', 'nice')",-0.1411692,-0.132134,0.009035199999999993
18,"('disagreeable', 'welcoming')",0.1034761,0.1185936,0.015117499999999992
19,"('inhospitable', 'hospitable')",-1.2745676,-1.2575595,0.01700809999999997
20,"('rough', 'thoughtful')",0.6257501,0.60726,-0.018490099999999954
21,"('immoral', 'moral')",0.6908605,0.7312085,0.04034800000000005
22,"('untrustworthy', 'trustworthy')",0.663015,0.6313549,-0.03166009999999997
23,"('insincere', 'sincere')",4.3183151,4.2397855,-0.07852960000000042
24,"('dishonest', 'honest')",1.0117508,1.0402426,0.028491800000000067
25,"('egoistic', 'altruistic')",0.4430124,0.4209014,-0.022110999999999992
26,"('hardhearted', 'benevolent')",1.1030139,1.0742741,-0.028739800000000093
27,"('hardhearted', 'softhearted')",0.8789881,0.7964158,-0.08257230000000004
28,"('disloyal', 'loyal')",0.194871,0.151638,-0.043232999999999994
29,"('unfair', 'fair')",-0.0601749,-0.1311437,-0.0709688
30,"('intolerant', 'tolerant')",1.412989,1.4126298,-0.000359200000000115
31,"('evil', 'good')",-1.6372889,-1.6197559,0.01753300000000002
32,"('unkind', 'kind')",0.6288062,0.6271732,-0.0016329999999999956
33,"('wrong', 'right')",-0.1482484,-0.1313477,0.01690069999999999
34,"('mean', 'honorable')",2.7572194,2.8250335,0.0678141000000001
35,"('corrupt', 'incorrupt')",-2.2023578,-2.1894516,0.0129062000000002
36,"('hostile', 'amicable')",-1.2369104,-1.2705925,-0.03368210000000005
37,"('fake', 'genuine')",-0.1730605,-0.1777548,-0.004694299999999985
38,"('untruthful', 'truthful')",0.0032979,0.0302273,0.0269294
39,"('exploitative', 'cooperative')",0.9227926,0.9618422,0.03904960000000002
40,"('stingy', 'generous')",-0.3505481,-0.3529486,-0.0024005000000000276
41,"('unforgiving', 'forgiving')",0.9472607,0.9070196,-0.04024109999999992
42,"('unreliable', 'reliable')",-1.0521318,-1.0406756,0.011456200000000027
43,"('irresponsible', 'responsible')",0.853988,0.832218,-0.021769999999999956
44,"('prejudiced', 'unprejudiced')",-1.5717066,-1.5709222,0.0007843999999999074
45,"('incompetent', 'competent')",0.6213028,0.5997248,-0.021578000000000097
46,"('uncompetitive', 'competitive')",0.7147981,0.6815928,-0.03320529999999999
47,"('stupid', 'smart')",3.1521275,3.1470337,-0.005093800000000037
48,"('unintelligent', 'intelligent')",0.7037807,0.6768894,-0.026891300000000062
49,"('unable', 'able')",-0.5244764,-0.4921818,0.03229459999999995
50,"('clumsy', 'skillful')",-1.0626446,-1.0844342,-0.021789599999999965
51,"('uneducated', 'educated')",1.2272146,1.2131815,-0.01403310000000002
52,"('irrational', 'rational')",-0.8621577,-0.9185205,-0.056362799999999935
53,"('uncreative', 'creative')",-0.4825416,-0.5118934,-0.02935180000000004
54,"('incapable', 'capable')",0.6394029,0.6898108,0.05040789999999995
55,"('incompetent', 'clever')",1.7072322,1.6609369,-0.04629529999999993
56,"('impractical', 'practical')",0.9674677,0.9769134,0.009445700000000001
57,"('unimaginative', 'imaginative')",-1.3442305,-1.3481032,-0.00387269999999984
58,"('undiscriminating', 'discriminating')",0.7385914,0.6870101,-0.05158130000000005
59,"('foolish', 'wise')",-0.8522468,-0.8111456,0.04110119999999995
60,"('inefficient', 'efficient')",1.5070219,1.5014183,-0.005603599999999931
61,"('illogical', 'logical')",0.8423611,0.7579238,-0.08443729999999994
62,"('incompetent', 'brilliant')",1.5033199,1.5421351,0.03881520000000016
63,"('unperceptive', 'insightful')",0.7845305,0.7677807,-0.016749800000000037
64,"('shy', 'confident')",-3.0263803,-2.9873089,0.03907140000000009
65,"('insecure', 'secure')",1.5255522,1.4480687,-0.07748349999999982
66,"('inactive', 'active')",-1.125599,-1.1479076,-0.0223085999999999
67,"('doubtful', 'determined')",-0.5209867,-0.4878628,0.03312390000000004
68,"('dependent', 'independent')",-0.3016793,-0.3064719,-0.004792600000000036
69,"('lazy', 'industrious')",-1.5919111,-1.5610116,0.030899499999999858
70,"('lethargic', 'energetic')",1.099789,1.0385535,-0.0612355
71,"('diffident', 'self-confident')",-0.1969862,-0.1868056,0.010180600000000012
72,"('unambitious', 'ambitious')",0.669145,0.6726728,0.00352779999999997
73,"('helpless', 'self-reliant')",-1.6850829,-1.6365225,0.04856039999999995
74,"('undedicated', 'dedicated')",0.1984099,0.1354428,-0.0629671
75,"('meek', 'impulsive')",-1.4154215,-1.3309994,0.08442210000000006
76,"('anxious', 'daring')",0.3105771,0.2402062,-0.07037089999999999
77,"('unmotivated', 'motivated')",-0.0824849,-0.019027,0.0634579
78,"('nonresilient', 'resilient')",-0.3534776,-0.3704048,-0.016927199999999976
79,"('wavering', 'unwavering')",-1.7283279,-1.748235,-0.019907099999999955
80,"('dominated', 'dominating')",0.4783909,0.4921107,0.013719800000000004
81,"('submissive', 'aggressive')",0.6921636,0.7291965,0.037032900000000035
82,"('poor', 'rich')",3.4174466,3.404647,-0.012799599999999689
83,"('powerless', 'powerful')",-0.5311659,-0.576658,-0.045492100000000035
84,"('inferior', 'superior')",0.2127896,0.1969185,-0.0158711
85,"('insignificant', 'prestigious')",-1.5167734,-1.4991258,0.017647599999999874
86,"('uninfluential', 'influential')",0.379589,0.3489813,-0.030607700000000015
87,"('unsuccessful', 'successful')",0.2994886,0.3377009,0.03821230000000003
88,"('low', 'eminent')",-0.4315426,-0.4372563,-0.005713699999999988
