,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.3238779,1.0680625,-0.25581540000000014
1,"('unfriendly', 'friendly')",-0.7587896,-0.8221144,-0.06332480000000007
2,"('unlikable', 'likable')",-0.0334371,0.0009092,0.034346299999999996
3,"('repellent', 'pleasant')",0.4482417,0.4535662,0.005324499999999954
4,"('disliked', 'liked')",-3.782496,-3.7958865,-0.01339049999999986
5,"('distant', 'outgoing')",-1.9445268,-1.9703957,-0.025868900000000083
6,"('distant', 'open')",-2.1654134,-2.1831269,-0.01771350000000016
7,"('insensitive', 'sensitive')",1.154544,1.1256115,-0.028932500000000028
8,"('unaffectionate', 'affectionate')",-1.4680785,-1.5442663,-0.07618780000000003
9,"('unaffectionate', 'caring')",-0.9543527,-0.9958333,-0.04148059999999998
10,"('unsympathetic', 'sympathetic')",0.8069507,0.6577892,-0.14916150000000006
11,"('unhelpful', 'helpful')",0.8731042,0.8306013,-0.04250290000000001
12,"('unsupportive', 'supportive')",-0.7341496,-0.7638611,-0.029711500000000002
13,"('impolite', 'polite')",1.1086465,1.0369875,-0.07165900000000014
14,"('antisocial', 'social')",2.2322935,2.1087212,-0.12357229999999975
15,"('boring', 'funny')",-0.1330902,-0.2300869,-0.09699670000000002
16,"('unpopular', 'popular')",-1.0939028,-1.0704174,0.02348539999999999
17,"('nasty', 'nice')",-0.4871856,-0.484345,0.002840599999999971
18,"('disagreeable', 'welcoming')",-1.120311,-1.0892788,0.031032200000000065
19,"('inhospitable', 'hospitable')",-1.695677,-1.6216722,0.0740048000000002
20,"('rough', 'thoughtful')",0.9762903,0.9872656,0.01097529999999991
21,"('immoral', 'moral')",0.9738741,1.0099266,0.03605250000000004
22,"('untrustworthy', 'trustworthy')",0.8963523,0.8533393,-0.04301299999999997
23,"('insincere', 'sincere')",3.3059341,3.2048527,-0.10108139999999999
24,"('dishonest', 'honest')",0.6952302,0.7134458,0.0182156
25,"('egoistic', 'altruistic')",-0.4432603,-0.4450616,-0.0018013000000000057
26,"('hardhearted', 'benevolent')",0.5888252,0.4775524,-0.11127280000000006
27,"('hardhearted', 'softhearted')",0.1492541,0.0783758,-0.0708783
28,"('disloyal', 'loyal')",-0.1047128,-0.2209197,-0.1162069
29,"('unfair', 'fair')",-0.648149,-0.7316674,-0.08351839999999999
30,"('intolerant', 'tolerant')",1.0442959,1.0016914,-0.042604500000000156
31,"('evil', 'good')",-1.852049,-1.8068968,0.045152199999999976
32,"('unkind', 'kind')",0.521478,0.4694105,-0.05206749999999999
33,"('wrong', 'right')",-0.6761981,-0.696505,-0.020306900000000017
34,"('mean', 'honorable')",1.7764086,1.8663248,0.0899162
35,"('corrupt', 'incorrupt')",-1.6533715,-1.6162559,0.037115599999999915
36,"('hostile', 'amicable')",-1.6988599,-1.7431808,-0.044320899999999996
37,"('fake', 'genuine')",0.0947706,0.0770409,-0.0177297
38,"('untruthful', 'truthful')",-0.555249,-0.5609103,-0.00566129999999998
39,"('exploitative', 'cooperative')",0.8757643,0.9597385,0.0839742
40,"('stingy', 'generous')",-0.5235467,-0.6112708,-0.08772409999999997
41,"('unforgiving', 'forgiving')",0.9859865,0.89322,-0.09276649999999997
42,"('unreliable', 'reliable')",-0.9266205,-0.945717,-0.019096500000000072
43,"('irresponsible', 'responsible')",0.5335539,0.4536983,-0.07985560000000003
44,"('prejudiced', 'unprejudiced')",-1.3672828,-1.3045119,0.06277089999999985
45,"('incompetent', 'competent')",1.0721185,0.9136667,-0.15845179999999992
46,"('uncompetitive', 'competitive')",0.5922185,0.4585703,-0.1336482
47,"('stupid', 'smart')",3.3211546,3.326353,0.0051984000000002695
48,"('unintelligent', 'intelligent')",0.3729377,0.2447446,-0.12819309999999998
49,"('unable', 'able')",-0.4427902,-0.4032565,0.039533700000000005
50,"('clumsy', 'skillful')",-0.5269568,-0.5259089,0.0010478999999999905
51,"('uneducated', 'educated')",1.2103227,1.1072434,-0.1030793000000001
52,"('irrational', 'rational')",-1.3489788,-1.3847865,-0.03580769999999989
53,"('uncreative', 'creative')",-0.8542004,-0.9500496,-0.09584920000000008
54,"('incapable', 'capable')",-0.3736207,-0.3984154,-0.024794700000000003
55,"('incompetent', 'clever')",1.7529592,1.6667507,-0.08620850000000013
56,"('impractical', 'practical')",1.5471392,1.4581522,-0.08898699999999993
57,"('unimaginative', 'imaginative')",-0.591182,-0.8027713,-0.21158929999999998
58,"('undiscriminating', 'discriminating')",1.0994277,0.990064,-0.10936369999999984
59,"('foolish', 'wise')",-1.5095427,-1.4574907,0.05205199999999999
60,"('inefficient', 'efficient')",2.0735976,2.0354915,-0.03810609999999981
61,"('illogical', 'logical')",0.6535483,0.4819745,-0.1715738
62,"('incompetent', 'brilliant')",0.685541,0.6448845,-0.040656499999999984
63,"('unperceptive', 'insightful')",0.4845348,0.390146,-0.0943888
64,"('shy', 'confident')",-2.0129644,-1.994738,0.018226400000000087
65,"('insecure', 'secure')",1.9218486,1.8137296,-0.10811899999999985
66,"('inactive', 'active')",-1.326841,-1.3671726,-0.04033160000000002
67,"('doubtful', 'determined')",-0.3809231,-0.3813157,-0.0003925999999999652
68,"('dependent', 'independent')",-0.0661499,-0.0253756,0.0407743
69,"('lazy', 'industrious')",-1.3548792,-1.2995068,0.05537239999999999
70,"('lethargic', 'energetic')",1.2103392,1.0792592,-0.13107999999999986
71,"('diffident', 'self-confident')",-1.1496266,-1.1709752,-0.02134860000000005
72,"('unambitious', 'ambitious')",1.0267683,0.9988376,-0.027930700000000086
73,"('helpless', 'self-reliant')",-1.6807941,-1.588378,0.09241609999999989
74,"('undedicated', 'dedicated')",0.6268442,0.5023858,-0.12445839999999997
75,"('meek', 'impulsive')",-1.2860272,-1.2294996,0.0565275999999999
76,"('anxious', 'daring')",1.6317241,1.5335618,-0.09816230000000004
77,"('unmotivated', 'motivated')",-0.4396178,-0.434096,0.005521800000000021
78,"('nonresilient', 'resilient')",-0.2852968,-0.3239987,-0.038701899999999956
79,"('wavering', 'unwavering')",-1.3658088,-1.4471076,-0.08129880000000012
80,"('dominated', 'dominating')",1.5998347,1.6878098,0.08797509999999997
81,"('submissive', 'aggressive')",1.4142388,1.3589825,-0.055256299999999925
82,"('poor', 'rich')",2.4581911,2.3948239,-0.06336720000000007
83,"('powerless', 'powerful')",-0.5174976,-0.612979,-0.09548140000000005
84,"('inferior', 'superior')",-0.1884695,-0.2325524,-0.04408289999999998
85,"('insignificant', 'prestigious')",-2.1701038,-2.1470556,0.023048200000000296
86,"('uninfluential', 'influential')",0.4862662,0.2413375,-0.24492869999999997
87,"('unsuccessful', 'successful')",0.3132318,0.2433029,-0.06992890000000002
88,"('low', 'eminent')",-0.0133795,-0.0493298,-0.0359503
