,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2803961,1.0559479,-0.22444819999999988
1,"('unfriendly', 'friendly')",-1.3516139,-1.3822883,-0.03067439999999988
2,"('unlikable', 'likable')",-0.2705096,-0.2077159,0.06279370000000001
3,"('repellent', 'pleasant')",0.3421151,0.2914658,-0.05064930000000001
4,"('disliked', 'liked')",-3.4953769,-3.3291987,0.16617820000000005
5,"('distant', 'outgoing')",-2.423429,-2.318168,0.10526100000000005
6,"('distant', 'open')",-2.7299001,-2.6538942,0.07600590000000018
7,"('insensitive', 'sensitive')",0.5463256,0.5036876,-0.042637999999999954
8,"('unaffectionate', 'affectionate')",-1.3305537,-1.4032463,-0.07269259999999989
9,"('unaffectionate', 'caring')",-0.9899444,-1.0238053,-0.03386090000000008
10,"('unsympathetic', 'sympathetic')",1.0392277,0.7715269,-0.26770080000000007
11,"('unhelpful', 'helpful')",1.3193,1.239444,-0.07985599999999993
12,"('unsupportive', 'supportive')",-0.5528161,-0.4862642,0.06655190000000005
13,"('impolite', 'polite')",1.4843185,1.4093656,-0.07495289999999999
14,"('antisocial', 'social')",1.8727352,1.8105128,-0.06222240000000001
15,"('boring', 'funny')",-0.4201488,-0.4985389,-0.07839010000000002
16,"('unpopular', 'popular')",-1.6828531,-1.5386659,0.14418719999999996
17,"('nasty', 'nice')",-1.0452444,-0.947406,0.0978384000000001
18,"('disagreeable', 'welcoming')",-1.1293283,-0.9962399,0.1330884000000001
19,"('inhospitable', 'hospitable')",-2.2602957,-2.1908404,0.0694553
20,"('rough', 'thoughtful')",-0.2164375,-0.2054042,0.011033299999999996
21,"('immoral', 'moral')",1.367737,1.3399952,-0.02774180000000004
22,"('untrustworthy', 'trustworthy')",1.06225,1.0094197,-0.052830299999999886
23,"('insincere', 'sincere')",3.1753093,2.9571159,-0.2181934000000001
24,"('dishonest', 'honest')",0.8440025,0.7484567,-0.09554580000000001
25,"('egoistic', 'altruistic')",-0.5389457,-0.4764649,0.06248079999999995
26,"('hardhearted', 'benevolent')",0.0609757,-0.1152131,-0.1761888
27,"('hardhearted', 'softhearted')",-0.9897408,-1.0561488,-0.06640800000000013
28,"('disloyal', 'loyal')",0.2515754,0.1450374,-0.106538
29,"('unfair', 'fair')",-1.145947,-1.2203822,-0.07443519999999992
30,"('intolerant', 'tolerant')",1.5121749,1.4713971,-0.040777800000000086
31,"('evil', 'good')",-2.7273768,-2.6122648,0.11511199999999988
32,"('unkind', 'kind')",0.8769135,0.8388909,-0.03802260000000002
33,"('wrong', 'right')",-0.8247682,-0.7473275,0.07744069999999992
34,"('mean', 'honorable')",1.8489125,1.9103697,0.06145719999999999
35,"('corrupt', 'incorrupt')",-2.5074093,-2.4454587,0.061950599999999856
36,"('hostile', 'amicable')",-2.1206248,-2.1136947,0.006930099999999939
37,"('fake', 'genuine')",-0.3311062,-0.3620761,-0.030969899999999995
38,"('untruthful', 'truthful')",-0.2388638,-0.1857599,0.05310389999999998
39,"('exploitative', 'cooperative')",0.9715742,1.0350081,0.06343389999999993
40,"('stingy', 'generous')",-1.2248754,-1.1668946,0.057980799999999943
41,"('unforgiving', 'forgiving')",0.7080119,0.6796443,-0.02836760000000005
42,"('unreliable', 'reliable')",-0.6346843,-0.5622895,0.07239479999999998
43,"('irresponsible', 'responsible')",0.6998832,0.6126109,-0.08727230000000008
44,"('prejudiced', 'unprejudiced')",-1.5082768,-1.4441724,0.06410439999999995
45,"('incompetent', 'competent')",0.1549985,0.0130334,-0.1419651
46,"('uncompetitive', 'competitive')",0.854602,0.7303596,-0.12424239999999998
47,"('stupid', 'smart')",2.9237479,2.8602339,-0.06351400000000007
48,"('unintelligent', 'intelligent')",-0.4575769,-0.6053755,-0.14779859999999995
49,"('unable', 'able')",-1.2090807,-1.138967,0.07011369999999983
50,"('clumsy', 'skillful')",-1.2597955,-1.2222622,0.03753329999999999
51,"('uneducated', 'educated')",1.4911191,1.3373203,-0.1537987999999999
52,"('irrational', 'rational')",-1.7991087,-1.7463403,0.05276839999999994
53,"('uncreative', 'creative')",-1.6509465,-1.7572125,-0.10626599999999997
54,"('incapable', 'capable')",-1.1645425,-1.2601528,-0.09561029999999993
55,"('incompetent', 'clever')",1.2579599,1.1333904,-0.1245695
