,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.949421,0.8254704,-0.12395059999999991
1,"('unfriendly', 'friendly')",1.2185872,1.1849075,-0.03367969999999998
2,"('unlikable', 'likable')",0.6193472,0.6890404,0.06969320000000001
3,"('repellent', 'pleasant')",1.3952492,1.3627256,-0.032523599999999986
4,"('disliked', 'liked')",-7.4707648,-7.4121261,0.05863870000000038
5,"('distant', 'outgoing')",-0.9628857,-0.9936065,-0.030720799999999993
6,"('distant', 'open')",-0.5563459,-0.6089758,-0.05262990000000001
7,"('insensitive', 'sensitive')",1.5412615,1.5475653,0.0063037999999999705
8,"('unaffectionate', 'affectionate')",0.6671494,0.6302718,-0.036877599999999955
9,"('unaffectionate', 'caring')",1.1864263,1.1894034,0.002977100000000066
10,"('unsympathetic', 'sympathetic')",1.5680295,1.5834813,0.015451800000000127
11,"('unhelpful', 'helpful')",2.3977157,2.3486668,-0.04904889999999984
12,"('unsupportive', 'supportive')",-1.2163864,-1.1614283,0.0549580999999999
13,"('impolite', 'polite')",1.0473755,0.9335549,-0.11382060000000005
14,"('antisocial', 'social')",0.7038522,0.7156529,0.011800699999999997
15,"('boring', 'funny')",0.852562,0.7107121,-0.14184990000000008
16,"('unpopular', 'popular')",-1.0953804,-1.0822211,0.013159300000000096
17,"('nasty', 'nice')",-0.7383738,-0.7532702,-0.014896400000000032
18,"('disagreeable', 'welcoming')",-0.1201653,-0.0498303,0.07033500000000001
19,"('inhospitable', 'hospitable')",-0.6539507,-0.6532074,0.0007433000000000023
20,"('rough', 'thoughtful')",0.7602966,0.7235246,-0.03677200000000003
21,"('immoral', 'moral')",0.7830441,0.8227579,0.03971380000000002
22,"('untrustworthy', 'trustworthy')",0.7765045,0.8275798,0.051075299999999935
23,"('insincere', 'sincere')",6.9308332,6.8448919,-0.0859413
24,"('dishonest', 'honest')",1.8667672,1.9480703,0.08130309999999996
25,"('egoistic', 'altruistic')",0.7126857,0.7134148,0.000729100000000038
26,"('hardhearted', 'benevolent')",0.5180471,0.5195448,0.0014977000000000462
27,"('hardhearted', 'softhearted')",1.684028,1.611604,-0.07242400000000004
28,"('disloyal', 'loyal')",0.6508124,0.6054356,-0.045376799999999995
29,"('unfair', 'fair')",-0.3755428,-0.4560871,-0.08054430000000001
30,"('intolerant', 'tolerant')",1.1049759,1.1200784,0.015102500000000019
31,"('evil', 'good')",-1.7112084,-1.6337956,0.07741280000000006
32,"('unkind', 'kind')",0.7154615,0.7117039,-0.0037576000000000276
33,"('wrong', 'right')",-0.3734082,-0.3622375,0.011170700000000033
34,"('mean', 'honorable')",4.9172475,5.0243922,0.10714470000000009
35,"('corrupt', 'incorrupt')",-1.8554058,-1.8562904,-0.0008846000000000132
36,"('hostile', 'amicable')",-1.1940811,-1.21818,-0.024098900000000034
37,"('fake', 'genuine')",1.0588128,1.0739429,0.015130099999999924
38,"('untruthful', 'truthful')",-0.3032689,-0.3184664,-0.015197499999999975
39,"('exploitative', 'cooperative')",0.5930944,0.624255,0.031160599999999983
40,"('stingy', 'generous')",-0.8999502,-0.969119,-0.06916879999999992
41,"('unforgiving', 'forgiving')",0.5757157,0.5724999,-0.003215800000000102
42,"('unreliable', 'reliable')",-2.2868852,-2.2389137,0.047971500000000056
43,"('irresponsible', 'responsible')",1.4192716,1.4127426,-0.006529000000000007
44,"('prejudiced', 'unprejudiced')",-1.2257729,-1.2412142,-0.015441299999999991
45,"('incompetent', 'competent')",0.9792564,0.9750251,-0.004231300000000049
46,"('uncompetitive', 'competitive')",0.4777454,0.4603641,-0.01738129999999999
47,"('stupid', 'smart')",5.3608771,5.3921347,0.031257599999999996
48,"('unintelligent', 'intelligent')",0.9427559,0.8671893,-0.07556659999999993
49,"('unable', 'able')",-0.3728323,-0.2903404,0.0824919
50,"('clumsy', 'skillful')",-0.6430264,-0.6664463,-0.02341990000000005
51,"('uneducated', 'educated')",1.3914569,1.3336354,-0.05782150000000019
52,"('irrational', 'rational')",-0.6004829,-0.6445109,-0.044027999999999956
