,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2554354,0.0223726,-0.2330628
1,"('unfriendly', 'friendly')",-0.0894866,-0.3371418,-0.2476552
2,"('unlikable', 'likable')",0.1478483,0.0769272,-0.07092109999999999
3,"('repellent', 'pleasant')",-0.5217706,-0.5806978,-0.05892720000000007
4,"('disliked', 'liked')",-1.954153,-1.9800372,-0.025884199999999913
5,"('distant', 'outgoing')",-0.2176317,-0.2566561,-0.03902439999999999
6,"('distant', 'open')",-0.9247535,-0.963498,-0.03874449999999996
7,"('insensitive', 'sensitive')",-0.1205453,-0.092412,0.0281333
8,"('unaffectionate', 'affectionate')",-0.3459977,-0.5830022,-0.2370045
9,"('unaffectionate', 'caring')",-0.3069672,-0.4945245,-0.18755729999999998
10,"('unsympathetic', 'sympathetic')",-1.3578102,-1.4344213,-0.07661109999999982
11,"('unhelpful', 'helpful')",0.0990769,0.0780492,-0.021027699999999996
12,"('unsupportive', 'supportive')",-0.6524615,-0.6219509,0.030510600000000054
13,"('impolite', 'polite')",0.2154184,0.1318846,-0.08353380000000002
14,"('antisocial', 'social')",0.6856319,0.6023007,-0.08333119999999994
15,"('boring', 'funny')",0.8505875,0.6781296,-0.17245790000000005
16,"('unpopular', 'popular')",-0.5166582,-0.4404583,0.07619989999999993
17,"('nasty', 'nice')",-0.8128613,-0.7895096,0.023351699999999975
18,"('disagreeable', 'welcoming')",-0.0013609,-0.0395696,-0.038208700000000005
19,"('inhospitable', 'hospitable')",-0.2151195,-0.1807836,0.0343359
20,"('rough', 'thoughtful')",-0.327076,-0.2825899,0.04448609999999997
21,"('immoral', 'moral')",-0.1056541,-0.0342117,0.0714424
22,"('untrustworthy', 'trustworthy')",0.2198161,0.1398773,-0.07993879999999998
23,"('insincere', 'sincere')",1.4392054,1.2292434,-0.20996199999999998
24,"('dishonest', 'honest')",-0.7093965,-0.8562623,-0.14686580000000005
25,"('egoistic', 'altruistic')",0.3044223,0.2203349,-0.08408739999999998
26,"('hardhearted', 'benevolent')",0.3477552,0.1557644,-0.1919908
27,"('hardhearted', 'softhearted')",0.1078659,0.0485429,-0.059323
28,"('disloyal', 'loyal')",-0.9480222,-1.1580085,-0.20998629999999996
29,"('unfair', 'fair')",-0.4604684,-0.5190936,-0.058625200000000044
30,"('intolerant', 'tolerant')",0.7837702,0.6884699,-0.0953003
31,"('evil', 'good')",-0.7090836,-0.69461,0.014473600000000086
32,"('unkind', 'kind')",0.4287084,0.35572,-0.07298840000000001
33,"('wrong', 'right')",-0.111272,-0.0383209,0.07295109999999999
34,"('mean', 'honorable')",1.2697979,1.354636,0.08483810000000003
35,"('corrupt', 'incorrupt')",-0.6175852,-0.5517845,0.06580069999999993
36,"('hostile', 'amicable')",-0.5578738,-0.6694552,-0.11158140000000005
37,"('fake', 'genuine')",-0.9939969,-1.042637,-0.048640100000000075
38,"('untruthful', 'truthful')",-0.0622947,-0.1039772,-0.041682500000000004
39,"('exploitative', 'cooperative')",-0.1316127,-0.0704534,0.0611593
40,"('stingy', 'generous')",-0.9377088,-1.0036547,-0.0659459
41,"('unforgiving', 'forgiving')",0.1496609,-0.0278588,-0.1775197
42,"('unreliable', 'reliable')",-0.7690212,-0.7068917,0.06212949999999995
43,"('irresponsible', 'responsible')",-0.5398674,-0.6234998,-0.08363240000000005
44,"('prejudiced', 'unprejudiced')",-0.8598095,-0.7443134,0.11549609999999999
45,"('incompetent', 'competent')",-0.7121869,-0.7722532,-0.06006630000000002
46,"('uncompetitive', 'competitive')",-0.7809952,-0.8764847,-0.0954895
47,"('stupid', 'smart')",2.4454576,2.4583551,0.012897499999999784
48,"('unintelligent', 'intelligent')",-0.4612072,-0.6269127,-0.1657055
49,"('unable', 'able')",-0.5337662,-0.4697498,0.06401639999999997
50,"('clumsy', 'skillful')",-0.5646135,-0.5329084,0.03170510000000004
51,"('uneducated', 'educated')",0.5640593,0.451136,-0.11292330000000006
52,"('irrational', 'rational')",-0.850291,-1.0441661,-0.19387509999999997
53,"('uncreative', 'creative')",-0.9011571,-0.976447,-0.07528989999999991
54,"('incapable', 'capable')",-0.2329745,-0.3383101,-0.1053356
55,"('incompetent', 'clever')",0.1812947,0.1330362,-0.04825850000000001
56,"('impractical', 'practical')",0.7790064,0.7793136,0.000307200000000063
57,"('unimaginative', 'imaginative')",-2.0243697,-2.1165812,-0.09221150000000033
58,"('undiscriminating', 'discriminating')",0.3444544,0.2291222,-0.1153322
59,"('foolish', 'wise')",-0.8725828,-0.9020869,-0.029504100000000033
60,"('inefficient', 'efficient')",0.637878,0.5751745,-0.06270349999999991
61,"('illogical', 'logical')",-0.8730526,-1.0136893,-0.14063670000000006
62,"('incompetent', 'brilliant')",-0.2901508,-0.3485308,-0.05837999999999999
63,"('unperceptive', 'insightful')",-0.1252459,-0.1109872,0.0142587
64,"('shy', 'confident')",-1.948608,-1.9351044,0.013503599999999949
65,"('insecure', 'secure')",0.3239284,0.1872675,-0.1366609
66,"('inactive', 'active')",-1.5243014,-1.5040102,0.020291199999999954
67,"('doubtful', 'determined')",-0.0793116,-0.0315364,0.0477752
68,"('dependent', 'independent')",-0.7966863,-0.7850558,0.011630499999999988
69,"('lazy', 'industrious')",-0.3784865,-0.1535697,0.2249168
70,"('lethargic', 'energetic')",0.0862425,-0.0291935,-0.115436
71,"('diffident', 'self-confident')",0.8831599,0.9921042,0.1089443
72,"('unambitious', 'ambitious')",-0.366369,-0.4169442,-0.05057519999999999
73,"('helpless', 'self-reliant')",-0.8346987,-0.7436863,0.0910124
74,"('undedicated', 'dedicated')",-0.4140321,-0.5412695,-0.12723739999999994
75,"('meek', 'impulsive')",0.126619,0.2379138,0.1112948
76,"('anxious', 'daring')",0.0584206,0.0071775,-0.0512431
77,"('unmotivated', 'motivated')",-0.4185186,-0.3778284,0.04069020000000001
78,"('nonresilient', 'resilient')",-0.2051436,-0.06451,0.14063360000000003
79,"('wavering', 'unwavering')",-0.5347156,-0.5730724,-0.03835680000000008
80,"('dominated', 'dominating')",-0.1069274,0.0192724,0.1261998
