,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5412397,0.415018,-0.1262217
1,"('unfriendly', 'friendly')",0.7320709,0.6204502,-0.11162070000000002
2,"('unlikable', 'likable')",0.8692313,0.9882386,0.11900729999999993
3,"('repellent', 'pleasant')",0.3595593,0.4326175,0.07305819999999996
4,"('disliked', 'liked')",-2.7224522,-2.7537443,-0.031292099999999934
5,"('distant', 'outgoing')",-0.6190574,-0.6714064,-0.05234899999999998
6,"('distant', 'open')",-0.7825555,-0.8556028,-0.07304730000000004
7,"('insensitive', 'sensitive')",0.7965425,0.8098939,0.013351400000000013
8,"('unaffectionate', 'affectionate')",0.2156818,0.1559901,-0.059691700000000014
9,"('unaffectionate', 'caring')",1.0138493,0.9823962,-0.0314530999999999
10,"('unsympathetic', 'sympathetic')",0.1223408,0.1161469,-0.006193900000000002
11,"('unhelpful', 'helpful')",1.0925486,1.1251911,0.03264250000000013
12,"('unsupportive', 'supportive')",0.0575361,0.1579077,0.1003716
13,"('impolite', 'polite')",0.4092791,0.3757089,-0.033570199999999994
14,"('antisocial', 'social')",1.1239361,1.1278589,0.003922800000000004
15,"('boring', 'funny')",-0.0490616,-0.1367174,-0.08765579999999999
16,"('unpopular', 'popular')",-0.4243065,-0.3738223,0.05048419999999998
17,"('nasty', 'nice')",-0.4777454,-0.4033621,0.07438329999999999
18,"('disagreeable', 'welcoming')",0.0501491,0.0831535,0.0330044
19,"('inhospitable', 'hospitable')",-0.9160104,-0.9256566,-0.00964620000000005
20,"('rough', 'thoughtful')",0.1001972,0.2196535,0.1194563
21,"('immoral', 'moral')",0.0837245,0.1190719,0.0353474
22,"('untrustworthy', 'trustworthy')",0.168994,0.1947526,0.025758599999999993
23,"('insincere', 'sincere')",2.579324,2.5560404,-0.02328360000000007
24,"('dishonest', 'honest')",0.4257345,0.4506584,0.0249239
25,"('egoistic', 'altruistic')",0.7019387,0.7023245,0.0003857999999999917
26,"('hardhearted', 'benevolent')",1.6276459,1.5602054,-0.06744050000000001
27,"('hardhearted', 'softhearted')",0.3860601,0.4015409,0.015480799999999961
28,"('disloyal', 'loyal')",0.0529738,-0.0529176,-0.1058914
29,"('unfair', 'fair')",-0.4534591,-0.5583074,-0.1048483
30,"('intolerant', 'tolerant')",1.4047009,1.4207279,0.016027000000000013
31,"('evil', 'good')",-1.6345101,-1.669127,-0.03461690000000006
32,"('unkind', 'kind')",0.6516931,0.621297,-0.030396100000000037
33,"('wrong', 'right')",0.1073224,0.1034482,-0.0038741999999999943
34,"('mean', 'honorable')",2.1869599,2.3327861,0.14582619999999968
35,"('corrupt', 'incorrupt')",-1.4278933,-1.4570149,-0.02912159999999986
36,"('hostile', 'amicable')",-0.8447469,-0.9465912,-0.1018443
37,"('fake', 'genuine')",-0.2566426,-0.219042,0.03760060000000001
38,"('untruthful', 'truthful')",0.1469576,0.1920239,0.045066300000000004
39,"('exploitative', 'cooperative')",0.188364,0.2033209,0.014956899999999995
40,"('stingy', 'generous')",-0.1312307,-0.0892224,0.04200830000000001
41,"('unforgiving', 'forgiving')",0.6067686,0.5926808,-0.014087799999999984
42,"('unreliable', 'reliable')",-0.529483,-0.4515629,0.07792010000000005
43,"('irresponsible', 'responsible')",0.4002882,0.442887,0.04259879999999999
44,"('prejudiced', 'unprejudiced')",-1.3764569,-1.3495977,0.026859200000000083
45,"('incompetent', 'competent')",-0.1480191,-0.1702074,-0.022188300000000022
46,"('uncompetitive', 'competitive')",1.0062726,1.0181118,0.01183920000000005
47,"('stupid', 'smart')",2.2789586,2.3625437,0.08358509999999963
48,"('unintelligent', 'intelligent')",0.2349102,0.1937952,-0.04111500000000001
49,"('unable', 'able')",-0.9422837,-0.8739237,0.06835999999999998
50,"('clumsy', 'skillful')",-0.2845492,-0.2423678,0.04218140000000001
51,"('uneducated', 'educated')",0.8733037,0.7999044,-0.07339930000000006
52,"('irrational', 'rational')",-0.9876416,-1.1541773,-0.16653569999999995
53,"('uncreative', 'creative')",0.152991,0.136097,-0.016893999999999992
54,"('incapable', 'capable')",0.2713584,0.2378579,-0.03350049999999999
55,"('incompetent', 'clever')",0.2577863,0.2696967,0.011910399999999988
56,"('impractical', 'practical')",0.454829,0.5037966,0.048967600000000056
57,"('unimaginative', 'imaginative')",-1.078202,-1.1242986,-0.04609659999999982
58,"('undiscriminating', 'discriminating')",1.1230023,1.1239608,0.0009585000000000843
59,"('foolish', 'wise')",-0.5022083,-0.5584843,-0.05627599999999999
60,"('inefficient', 'efficient')",1.2765223,1.3385917,0.06206939999999994
61,"('illogical', 'logical')",0.195412,0.0961188,-0.0992932
62,"('incompetent', 'brilliant')",0.5430826,0.653965,0.11088240000000005
63,"('unperceptive', 'insightful')",1.4027506,1.4316019,0.028851299999999913
64,"('shy', 'confident')",-2.2835165,-2.3040513,-0.02053479999999963
65,"('insecure', 'secure')",0.6941698,0.637611,-0.05655879999999991
66,"('inactive', 'active')",-0.2144019,-0.2582729,-0.04387100000000002
67,"('doubtful', 'determined')",0.0580674,0.0524014,-0.005665999999999997
68,"('dependent', 'independent')",-0.4667363,-0.4943491,-0.027612799999999993
69,"('lazy', 'industrious')",-0.7869887,-0.747993,0.038995699999999967
70,"('lethargic', 'energetic')",0.9499819,0.9808879,0.03090599999999999
71,"('diffident', 'self-confident')",0.332517,0.3350385,0.00252150000000001
72,"('unambitious', 'ambitious')",0.2922981,0.3570682,0.0647701
73,"('helpless', 'self-reliant')",-0.8981514,-0.7956723,0.10247910000000005
74,"('undedicated', 'dedicated')",0.2228558,0.2672292,0.04437340000000001
75,"('meek', 'impulsive')",-0.4064339,-0.3445363,0.0618976
76,"('anxious', 'daring')",0.5358978,0.562511,0.026613200000000004
77,"('unmotivated', 'motivated')",-0.0690397,-0.0595193,0.009520399999999998
78,"('nonresilient', 'resilient')",0.0098685,0.0854798,0.07561129999999999
79,"('wavering', 'unwavering')",-1.0530257,-1.1117637,-0.05873799999999996
80,"('dominated', 'dominating')",0.0573837,0.1075131,0.0501294
81,"('submissive', 'aggressive')",0.4381385,0.3934727,-0.04466579999999998
82,"('poor', 'rich')",2.3730365,2.3972681,0.024231599999999798
83,"('powerless', 'powerful')",0.1229299,0.1266399,0.003710000000000005
84,"('inferior', 'superior')",0.3994406,0.3739752,-0.02546539999999997
