,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.7555443,0.533379,-0.2221652999999999
1,"('unfriendly', 'friendly')",0.5778378,0.4667809,-0.11105689999999996
2,"('unlikable', 'likable')",0.5647586,0.5969441,0.03218549999999998
3,"('repellent', 'pleasant')",-0.0534767,-0.0858735,-0.0323968
4,"('disliked', 'liked')",-1.6425093,-1.6454085,-0.0028992000000001017
5,"('distant', 'outgoing')",0.0428337,0.0944495,0.0516158
6,"('distant', 'open')",0.1530831,0.2323284,0.07924529999999999
7,"('insensitive', 'sensitive')",0.2936655,0.246863,-0.046802500000000025
8,"('unaffectionate', 'affectionate')",0.5309845,0.4745353,-0.05644919999999998
9,"('unaffectionate', 'caring')",1.0160584,0.9525191,-0.06353929999999997
10,"('unsympathetic', 'sympathetic')",-0.0091763,-0.2509716,-0.24179530000000002
11,"('unhelpful', 'helpful')",0.4800036,0.3841657,-0.09583789999999998
12,"('unsupportive', 'supportive')",0.6001302,0.6217013,0.021571100000000065
13,"('impolite', 'polite')",0.1730081,0.1214521,-0.051556000000000005
14,"('antisocial', 'social')",0.556802,0.4291805,-0.1276215
15,"('boring', 'funny')",0.5915165,0.6206751,0.029158600000000034
16,"('unpopular', 'popular')",-0.4758798,-0.4220465,0.05383330000000003
17,"('nasty', 'nice')",-0.0309322,0.0462134,0.07714560000000001
18,"('disagreeable', 'welcoming')",-0.3895536,-0.3458597,0.04369390000000001
19,"('inhospitable', 'hospitable')",0.0670796,0.1110987,0.04401909999999999
20,"('rough', 'thoughtful')",0.0187199,0.0010358,-0.0176841
21,"('immoral', 'moral')",0.0851061,0.0005494,-0.0845567
22,"('untrustworthy', 'trustworthy')",-0.4233795,-0.5613546,-0.13797510000000002
23,"('insincere', 'sincere')",1.6828658,1.527891,-0.15497479999999997
24,"('dishonest', 'honest')",0.5574592,0.4536569,-0.10380230000000007
25,"('egoistic', 'altruistic')",0.5859821,0.6755561,0.08957400000000004
26,"('hardhearted', 'benevolent')",1.2792435,1.1563678,-0.12287570000000003
