,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.126,-0.0723034,-0.19830340000000002
1,"('unfriendly', 'friendly')",-0.6344142,-0.6589439,-0.024529699999999988
2,"('unlikable', 'likable')",0.2381976,0.2460577,0.007860099999999981
3,"('repellent', 'pleasant')",0.2046059,0.2598211,0.05521520000000002
4,"('disliked', 'liked')",-3.9416529,-3.9510552,-0.009402300000000086
5,"('distant', 'outgoing')",-1.2912275,-1.365095,-0.07386749999999997
6,"('distant', 'open')",-1.4812202,-1.5018515,-0.020631299999999797
7,"('insensitive', 'sensitive')",0.3457704,0.4047554,0.05898500000000001
8,"('unaffectionate', 'affectionate')",-1.4808503,-1.5720488,-0.09119849999999996
9,"('unaffectionate', 'caring')",-0.930137,-0.9898869,-0.05974990000000002
10,"('unsympathetic', 'sympathetic')",-0.3085134,-0.3885101,-0.07999670000000003
11,"('unhelpful', 'helpful')",0.9850969,0.9188502,-0.0662467000000001
12,"('unsupportive', 'supportive')",-1.0889445,-1.098678,-0.009733500000000062
13,"('impolite', 'polite')",0.1512576,0.0381473,-0.1131103
14,"('antisocial', 'social')",1.0375925,0.9528074,-0.08478509999999995
15,"('boring', 'funny')",0.5144275,0.3636734,-0.15075410000000006
16,"('unpopular', 'popular')",-0.9416481,-0.9104863,0.031161800000000017
17,"('nasty', 'nice')",-0.5702338,-0.5105172,0.05971660000000001
18,"('disagreeable', 'welcoming')",-0.8763964,-0.8348322,0.04156419999999994
19,"('inhospitable', 'hospitable')",-1.5980929,-1.5879578,0.010135099999999841
20,"('rough', 'thoughtful')",0.0932685,0.0936201,0.0003515999999999936
21,"('immoral', 'moral')",0.0742897,0.1878102,0.11352050000000001
22,"('untrustworthy', 'trustworthy')",0.5983289,0.585537,-0.012791900000000078
23,"('insincere', 'sincere')",2.9245655,2.8156856,-0.10887989999999981
24,"('dishonest', 'honest')",0.7183064,0.7126127,-0.005693700000000024
25,"('egoistic', 'altruistic')",-0.1188639,-0.1057564,0.013107499999999994
26,"('hardhearted', 'benevolent')",0.4438397,0.361809,-0.08203070000000001
27,"('hardhearted', 'softhearted')",0.2530398,0.1969132,-0.05612659999999997
28,"('disloyal', 'loyal')",-0.2403255,-0.3643352,-0.12400970000000003
29,"('unfair', 'fair')",-0.1239099,-0.1848144,-0.060904499999999986
30,"('intolerant', 'tolerant')",0.780235,0.765948,-0.01428700000000005
31,"('evil', 'good')",-1.1312517,-0.987236,0.14401569999999997
32,"('unkind', 'kind')",0.2433393,0.1560625,-0.08727680000000002
33,"('wrong', 'right')",-0.155036,-0.1754278,-0.020391799999999988
34,"('mean', 'honorable')",2.3447206,2.4773767,0.13265610000000017
35,"('corrupt', 'incorrupt')",-0.4850973,-0.5271392,-0.04204190000000002
36,"('hostile', 'amicable')",-0.6906591,-0.6618875,0.02877160000000001
37,"('fake', 'genuine')",-0.0736355,-0.0589596,0.014675900000000006
38,"('untruthful', 'truthful')",-0.4562133,-0.4646239,-0.00841059999999999
39,"('exploitative', 'cooperative')",1.1736683,1.2646294,0.0909610999999999
40,"('stingy', 'generous')",-1.2048364,-1.2362688,-0.031432399999999916
41,"('unforgiving', 'forgiving')",0.5321023,0.4986814,-0.03342090000000003
42,"('unreliable', 'reliable')",-1.3449309,-1.3755009,-0.030569999999999986
43,"('irresponsible', 'responsible')",0.1946952,0.1189309,-0.0757643
44,"('prejudiced', 'unprejudiced')",-0.5304971,-0.4872931,0.043204000000000076
45,"('incompetent', 'competent')",0.0822068,0.0371487,-0.0450581
46,"('uncompetitive', 'competitive')",-0.1799286,-0.218917,-0.038988400000000006
47,"('stupid', 'smart')",3.0586658,3.0630224,0.004356599999999933
48,"('unintelligent', 'intelligent')",-0.1811578,-0.1916191,-0.010461299999999979
49,"('unable', 'able')",-0.7792732,-0.7369551,0.042318100000000025
50,"('clumsy', 'skillful')",-0.8449237,-0.8911986,-0.0462748999999999
51,"('uneducated', 'educated')",0.5871778,0.4393013,-0.14787649999999997
52,"('irrational', 'rational')",-0.8286506,-0.8320931,-0.003442500000000015
53,"('uncreative', 'creative')",-1.0582578,-1.1086399,-0.050382099999999985
54,"('incapable', 'capable')",-0.4523454,-0.5024813,-0.05013590000000001
55,"('incompetent', 'clever')",1.0947383,1.0654249,-0.029313399999999934
56,"('impractical', 'practical')",0.6747778,0.59693,-0.07784780000000002
57,"('unimaginative', 'imaginative')",-1.686228,-1.7906366,-0.10440859999999996
58,"('undiscriminating', 'discriminating')",0.5136685,0.4739068,-0.039761699999999955
59,"('foolish', 'wise')",-0.2176806,-0.2555106,-0.037829999999999975
60,"('inefficient', 'efficient')",0.7887424,0.8034918,0.014749400000000024
61,"('illogical', 'logical')",0.0041986,-0.1169027,-0.1211013
62,"('incompetent', 'brilliant')",0.8580747,0.8801524,0.022077699999999978
63,"('unperceptive', 'insightful')",0.1475385,0.0737053,-0.07383319999999999
64,"('shy', 'confident')",-2.7052815,-2.6885319,0.01674959999999981
65,"('insecure', 'secure')",1.2832657,1.2104716,-0.07279410000000008
66,"('inactive', 'active')",-1.2952159,-1.4389526,-0.14373669999999983
67,"('doubtful', 'determined')",-0.3155327,-0.3282571,-0.012724400000000025
68,"('dependent', 'independent')",-0.6726419,-0.6660061,0.0066357999999999695
69,"('lazy', 'industrious')",-1.1983722,-1.1632781,0.03509410000000002
70,"('lethargic', 'energetic')",0.5643925,0.437226,-0.12716649999999996
71,"('diffident', 'self-confident')",-0.6488095,-0.6921739,-0.04336439999999997
72,"('unambitious', 'ambitious')",0.1851697,0.1884361,0.0032664000000000026
73,"('helpless', 'self-reliant')",-0.9226178,-0.8807549,0.041862900000000036
74,"('undedicated', 'dedicated')",-0.0290265,-0.1041824,-0.0751559
