,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.1015707,-0.2804764,-0.1789057
1,"('unfriendly', 'friendly')",1.0676513,1.3610914,0.2934401
2,"('unlikable', 'likable')",0.4667633,0.44656,-0.02020329999999998
3,"('repellent', 'pleasant')",0.1067285,-0.0341771,-0.14090560000000002
4,"('disliked', 'liked')",-3.4901238,-3.3370251,0.15309870000000014
5,"('distant', 'outgoing')",-0.1588159,0.0936245,0.2524404
6,"('distant', 'open')",-0.2347015,0.0570668,0.2917683
7,"('insensitive', 'sensitive')",0.3934464,0.3482199,-0.04522649999999995
8,"('unaffectionate', 'affectionate')",0.3718636,0.5999068,0.22804319999999995
9,"('unaffectionate', 'caring')",0.7462053,1.0181804,0.27197510000000014
10,"('unsympathetic', 'sympathetic')",-0.7159848,-0.9727477,-0.2567629
11,"('unhelpful', 'helpful')",0.9707767,0.9212154,-0.04956130000000003
12,"('unsupportive', 'supportive')",-0.4791033,-0.3480172,0.13108609999999998
13,"('impolite', 'polite')",-0.6986479,-0.972979,-0.27433110000000005
14,"('antisocial', 'social')",0.1830826,-0.0658783,-0.2489609
15,"('boring', 'funny')",0.7622385,0.8015916,0.03935309999999992
16,"('unpopular', 'popular')",-0.3721507,-0.2826249,0.08952579999999999
17,"('nasty', 'nice')",-0.5499525,-0.4337332,0.11621929999999997
18,"('disagreeable', 'welcoming')",0.1204145,0.2433546,0.12294010000000001
19,"('inhospitable', 'hospitable')",-0.2518653,0.0218751,0.2737404
20,"('rough', 'thoughtful')",0.549251,0.4444362,-0.10481480000000004
21,"('immoral', 'moral')",-0.2085175,-0.4395389,-0.23102140000000002
22,"('untrustworthy', 'trustworthy')",0.125881,-0.1082848,-0.23416579999999998
23,"('insincere', 'sincere')",3.6886849,3.5907991,-0.09788580000000024
24,"('dishonest', 'honest')",0.3932437,0.2241411,-0.16910259999999996
25,"('egoistic', 'altruistic')",0.710008,0.7211151,0.011107100000000036
26,"('hardhearted', 'benevolent')",0.8925881,0.9712482,0.07866010000000001
27,"('hardhearted', 'softhearted')",0.6073282,0.4915031,-0.11582509999999996
28,"('disloyal', 'loyal')",0.4406809,0.3818897,-0.05879119999999999
29,"('unfair', 'fair')",-0.0029126,-0.0912831,-0.0883705
30,"('intolerant', 'tolerant')",1.0751275,0.9212079,-0.15391960000000005
31,"('evil', 'good')",-0.5522959,-0.3114486,0.24084729999999993
32,"('unkind', 'kind')",0.6302218,0.6145384,-0.015683400000000014
33,"('wrong', 'right')",-0.3049868,-0.2933422,0.011644600000000005
34,"('mean', 'honorable')",3.1496127,3.2152039,0.06559120000000007
35,"('corrupt', 'incorrupt')",-0.3865088,-0.2011016,0.1854072
36,"('hostile', 'amicable')",-0.1444024,0.1681476,0.31255
37,"('fake', 'genuine')",0.4109097,0.4034758,-0.007433899999999993
38,"('untruthful', 'truthful')",0.0043546,0.0754477,0.0710931
39,"('exploitative', 'cooperative')",0.008302,-0.0780742,-0.0863762
40,"('stingy', 'generous')",-0.2568244,-0.3118524,-0.055027999999999966
41,"('unforgiving', 'forgiving')",0.5883506,0.5678297,-0.020520899999999953
42,"('unreliable', 'reliable')",-1.3710178,-1.3276774,0.043340399999999946
43,"('irresponsible', 'responsible')",0.0278944,-0.1069963,-0.1348907
44,"('prejudiced', 'unprejudiced')",-1.4859663,-1.646966,-0.16099969999999986
45,"('incompetent', 'competent')",-0.2973924,-0.4934432,-0.19605080000000003
46,"('uncompetitive', 'competitive')",-0.5892484,-0.7835259,-0.1942775
47,"('stupid', 'smart')",2.7630311,2.5689265,-0.19410460000000018
48,"('unintelligent', 'intelligent')",0.4922256,0.4491281,-0.04309750000000001
49,"('unable', 'able')",0.2953044,0.4459232,0.1506188
50,"('clumsy', 'skillful')",0.2243564,0.3712953,0.14693889999999998
51,"('uneducated', 'educated')",0.1853479,0.0558823,-0.12946560000000001
52,"('irrational', 'rational')",0.2259541,0.4446858,0.21873170000000003
53,"('uncreative', 'creative')",-0.0604179,0.1129523,0.1733702
54,"('incapable', 'capable')",0.7775529,0.9655448,0.1879919
55,"('incompetent', 'clever')",0.1705451,-0.1384611,-0.3090062
56,"('impractical', 'practical')",0.2946198,0.2637072,-0.030912600000000012
57,"('unimaginative', 'imaginative')",-1.8927997,-1.9160469,-0.023247199999999912
58,"('undiscriminating', 'discriminating')",0.2232978,0.2529937,0.029695899999999997
59,"('foolish', 'wise')",0.8872291,1.0950014,0.2077722999999999
60,"('inefficient', 'efficient')",0.2424129,0.0158421,-0.2265708
61,"('illogical', 'logical')",-0.4683006,-0.6254315,-0.15713090000000002
62,"('incompetent', 'brilliant')",0.43942,0.2257492,-0.21367079999999997
63,"('unperceptive', 'insightful')",0.53618,0.5150901,-0.021089899999999995
64,"('shy', 'confident')",-3.5791198,-3.6890403,-0.10992049999999987
65,"('insecure', 'secure')",-0.0009678,-0.2990824,-0.2981146
66,"('inactive', 'active')",-0.4831352,-0.3288251,0.1543101
67,"('doubtful', 'determined')",-0.028655,-0.0417923,-0.013137299999999998
68,"('dependent', 'independent')",-0.245816,-0.3138634,-0.06804740000000001
69,"('lazy', 'industrious')",-0.5629819,-0.3722462,0.1907357
70,"('lethargic', 'energetic')",0.1550626,-0.0493301,-0.20439269999999998
71,"('diffident', 'self-confident')",-0.2304476,-0.0819891,0.1484585
72,"('unambitious', 'ambitious')",-0.0066102,-0.1449056,-0.13829539999999999
73,"('helpless', 'self-reliant')",-1.4211922,-1.3181423,0.1030498999999998
74,"('undedicated', 'dedicated')",0.3353553,0.3211829,-0.01417240000000003
75,"('meek', 'impulsive')",-0.3041595,-0.2357175,0.06844200000000003
76,"('anxious', 'daring')",0.4081446,0.3288895,-0.07925510000000002
77,"('unmotivated', 'motivated')",-0.9254343,-0.962837,-0.03740270000000001
78,"('nonresilient', 'resilient')",0.3412753,0.5438188,0.20254350000000004
79,"('wavering', 'unwavering')",-0.1727906,0.0876753,0.2604659
80,"('dominated', 'dominating')",-0.8379245,-1.0995924,-0.26166789999999995
81,"('submissive', 'aggressive')",-0.3854858,-0.6677719,-0.2822861
82,"('poor', 'rich')",3.3004218,3.2899687,-0.010453099999999882
83,"('powerless', 'powerful')",-0.3199641,-0.3718435,-0.05187940000000002
84,"('inferior', 'superior')",1.432036,1.4300932,-0.0019428000000001333
85,"('insignificant', 'prestigious')",-0.0612959,0.2633075,0.32460340000000004
86,"('uninfluential', 'influential')",-0.057599,-0.1454527,-0.08785369999999999
87,"('unsuccessful', 'successful')",-0.0352315,-0.1125483,-0.0773168
