,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2209951,0.2073247,-0.0136704
1,"('unfriendly', 'friendly')",1.3390924,1.2560466,-0.08304580000000006
2,"('unlikable', 'likable')",0.238822,0.2805775,0.04175549999999997
3,"('repellent', 'pleasant')",1.1067026,1.0925416,-0.01416100000000009
4,"('disliked', 'liked')",-7.52469,-7.5252621,-0.0005721000000002974
5,"('distant', 'outgoing')",-0.3792611,-0.520066,-0.1408049
6,"('distant', 'open')",0.0123931,-0.1021347,-0.1145278
7,"('insensitive', 'sensitive')",0.9026934,0.9651295,0.062436099999999994
8,"('unaffectionate', 'affectionate')",0.9959698,0.8817467,-0.11422310000000002
9,"('unaffectionate', 'caring')",1.5446969,1.561617,0.016920100000000105
10,"('unsympathetic', 'sympathetic')",0.9074018,1.0532257,0.1458239
11,"('unhelpful', 'helpful')",2.2178367,2.3108586,0.0930219000000001
12,"('unsupportive', 'supportive')",-1.2760839,-1.1591587,0.11692519999999984
13,"('impolite', 'polite')",0.2109342,0.3011034,0.09016920000000003
14,"('antisocial', 'social')",-0.0919313,0.0104913,0.10242259999999999
15,"('boring', 'funny')",0.5636557,0.4339339,-0.1297218
16,"('unpopular', 'popular')",-0.8404855,-0.8487712,-0.008285699999999951
17,"('nasty', 'nice')",-0.2363906,-0.2396879,-0.003297300000000003
18,"('disagreeable', 'welcoming')",-0.2406021,-0.2262493,0.014352800000000027
19,"('inhospitable', 'hospitable')",-0.3391403,-0.3396197,-0.0004794000000000187
20,"('rough', 'thoughtful')",0.5002136,0.4722241,-0.027989500000000056
21,"('immoral', 'moral')",0.0933827,0.3086438,0.21526110000000004
22,"('untrustworthy', 'trustworthy')",0.0967205,0.1813953,0.08467480000000001
23,"('insincere', 'sincere')",6.7702836,6.7665622,-0.003721399999999875
24,"('dishonest', 'honest')",1.5053792,1.6171373,0.11175810000000008
25,"('egoistic', 'altruistic')",0.8625364,0.7814364,-0.08109999999999995
26,"('hardhearted', 'benevolent')",0.4741115,0.460904,-0.013207500000000039
27,"('hardhearted', 'softhearted')",1.384735,1.242583,-0.14215200000000006
28,"('disloyal', 'loyal')",0.7553078,0.7503641,-0.004943699999999995
29,"('unfair', 'fair')",-0.356219,-0.4396928,-0.08347379999999999
30,"('intolerant', 'tolerant')",0.8756331,0.9703409,0.0947077999999999
31,"('evil', 'good')",-1.214004,-1.2926964,-0.0786924
32,"('unkind', 'kind')",0.8508114,0.9030563,0.05224490000000004
33,"('wrong', 'right')",-0.4920543,-0.4915778,0.0004764999999999908
34,"('mean', 'honorable')",5.0053046,5.1398843,0.13457970000000063
35,"('corrupt', 'incorrupt')",-1.148754,-1.247641,-0.09888699999999995
36,"('hostile', 'amicable')",-0.4723482,-0.6273838,-0.15503560000000005
37,"('fake', 'genuine')",0.9294471,0.9415964,0.01214930000000003
38,"('untruthful', 'truthful')",0.0276404,0.0702819,0.0426415
39,"('exploitative', 'cooperative')",0.01569,0.137715,0.12202500000000001
40,"('stingy', 'generous')",-1.1420742,-1.2846388,-0.14256460000000004
41,"('unforgiving', 'forgiving')",0.365777,0.3969958,0.03121879999999999
42,"('unreliable', 'reliable')",-2.477679,-2.4494504,0.02822860000000027
43,"('irresponsible', 'responsible')",1.1230312,1.2159242,0.09289299999999989
44,"('prejudiced', 'unprejudiced')",-1.0227567,-1.0601577,-0.03740100000000002
45,"('incompetent', 'competent')",-0.0944477,-0.0797899,0.014657799999999999
46,"('uncompetitive', 'competitive')",-0.6661093,-0.5373551,0.12875420000000004
47,"('stupid', 'smart')",5.2215163,5.31411,0.09259370000000011
48,"('unintelligent', 'intelligent')",0.4723193,0.469655,-0.0026643000000000083
49,"('unable', 'able')",-0.502822,-0.4177266,0.08509539999999999
50,"('clumsy', 'skillful')",-0.7125568,-0.821421,-0.10886419999999997
51,"('uneducated', 'educated')",0.9718247,1.0238058,0.05198110000000011
52,"('irrational', 'rational')",-0.378746,-0.5208448,-0.14209879999999997
53,"('uncreative', 'creative')",0.059497,0.0284765,-0.031020500000000003
54,"('incapable', 'capable')",1.247566,1.3424101,0.09484409999999999
55,"('incompetent', 'clever')",1.0319701,1.1132266,0.08125650000000006
56,"('impractical', 'practical')",0.362324,0.4623659,0.10004190000000002
57,"('unimaginative', 'imaginative')",-2.6313119,-2.5783662,0.052945699999999984
58,"('undiscriminating', 'discriminating')",0.2525226,0.2264272,-0.02609539999999999
59,"('foolish', 'wise')",-0.4260289,-0.440914,-0.014885099999999984
60,"('inefficient', 'efficient')",0.8941582,1.0273,0.1331418000000001
61,"('illogical', 'logical')",-0.0111476,-0.0896687,-0.07852110000000001
62,"('incompetent', 'brilliant')",0.7906655,0.8771129,0.08644739999999995
63,"('unperceptive', 'insightful')",0.3641356,0.4147453,0.05060969999999998
64,"('shy', 'confident')",-6.1042948,-5.9782986,0.12599620000000034
65,"('insecure', 'secure')",0.7191827,0.7326933,0.01351060000000004
66,"('inactive', 'active')",-0.943253,-1.0821589,-0.13890590000000003
67,"('doubtful', 'determined')",-1.0631398,-0.9900279,0.07311190000000012
68,"('dependent', 'independent')",-0.5492926,-0.5252119,0.024080700000000066
69,"('lazy', 'industrious')",-1.8940845,-1.886979,0.007105499999999987
70,"('lethargic', 'energetic')",1.273411,1.2158364,-0.05757460000000014
71,"('diffident', 'self-confident')",-0.1051566,-0.1158883,-0.010731699999999997
72,"('unambitious', 'ambitious')",0.7249477,0.7509925,0.02604479999999998
73,"('helpless', 'self-reliant')",-2.5066532,-2.5001202,0.006533000000000122
74,"('undedicated', 'dedicated')",-0.3084672,-0.3460304,-0.03756320000000002
75,"('meek', 'impulsive')",-0.5603835,-0.6067444,-0.04636089999999993
76,"('anxious', 'daring')",0.6568658,0.6197198,-0.03714600000000001
77,"('unmotivated', 'motivated')",-0.9762897,-0.8236176,0.1526721000000001
78,"('nonresilient', 'resilient')",-0.8927353,-0.9036796,-0.010944300000000018
