,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.174684,-0.2862068,-0.11152279999999998
1,"('unfriendly', 'friendly')",0.0788759,-0.0735931,-0.152469
2,"('unlikable', 'likable')",0.2247408,0.2321273,0.007386500000000018
3,"('repellent', 'pleasant')",0.2559618,0.3329008,0.07693899999999998
4,"('disliked', 'liked')",-2.1246776,-2.1887768,-0.0640991999999998
5,"('distant', 'outgoing')",-0.6753847,-0.8297411,-0.15435640000000006
6,"('distant', 'open')",-0.995398,-1.1433025,-0.1479045000000001
7,"('insensitive', 'sensitive')",1.0739868,1.1045617,0.030574900000000182
8,"('unaffectionate', 'affectionate')",-0.5766153,-0.6842635,-0.10764819999999997
9,"('unaffectionate', 'caring')",0.3012918,0.2378994,-0.06339239999999999
10,"('unsympathetic', 'sympathetic')",-0.3107355,-0.3391174,-0.028381900000000015
11,"('unhelpful', 'helpful')",0.7121598,0.7461854,0.03402559999999999
12,"('unsupportive', 'supportive')",-0.1766299,-0.1485525,0.028077400000000002
13,"('impolite', 'polite')",0.1847548,0.1664984,-0.018256400000000006
14,"('antisocial', 'social')",0.5463262,0.5812995,0.034973299999999985
15,"('boring', 'funny')",-0.0151336,-0.1279762,-0.11284260000000002
16,"('unpopular', 'popular')",-0.9124416,-0.8960957,0.016345899999999913
17,"('nasty', 'nice')",-0.8580555,-0.828776,0.029279500000000014
18,"('disagreeable', 'welcoming')",-0.5582924,-0.5482592,0.010033200000000075
19,"('inhospitable', 'hospitable')",-1.0414175,-1.12521,-0.08379249999999994
20,"('rough', 'thoughtful')",0.2518264,0.3449582,0.09313179999999999
21,"('immoral', 'moral')",0.3487832,0.3853303,0.0365471
22,"('untrustworthy', 'trustworthy')",-0.2090989,-0.2215871,-0.012488200000000005
23,"('insincere', 'sincere')",2.2069489,2.1788816,-0.028067300000000017
24,"('dishonest', 'honest')",0.9046974,0.8929285,-0.011768899999999971
25,"('egoistic', 'altruistic')",0.4669496,0.4146349,-0.05231470000000005
26,"('hardhearted', 'benevolent')",0.6708641,0.5573204,-0.11354369999999991
27,"('hardhearted', 'softhearted')",0.3479609,0.3423889,-0.005572000000000021
28,"('disloyal', 'loyal')",0.477346,0.4334596,-0.04388639999999999
29,"('unfair', 'fair')",-0.3923991,-0.4758948,-0.0834957
30,"('intolerant', 'tolerant')",1.2301972,1.2332209,0.0030236999999999625
31,"('evil', 'good')",-1.5053338,-1.5617573,-0.05642349999999996
32,"('unkind', 'kind')",0.3338301,0.3058566,-0.02797350000000004
33,"('wrong', 'right')",0.1233512,0.0619968,-0.061354399999999996
34,"('mean', 'honorable')",2.0544056,2.1298605,0.07545489999999999
