,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.6166205,0.585052,-0.0315685
1,"('unfriendly', 'friendly')",1.5318809,1.490494,-0.041386900000000004
2,"('unlikable', 'likable')",0.1266721,0.21527,0.08859789999999998
3,"('repellent', 'pleasant')",0.8260424,0.7963382,-0.02970419999999996
4,"('disliked', 'liked')",-7.7372731,-7.7369793,0.00029380000000056583
5,"('distant', 'outgoing')",-0.730961,-0.8268217,-0.09586070000000002
6,"('distant', 'open')",-0.1270013,-0.2233808,-0.09637949999999998
7,"('insensitive', 'sensitive')",1.2098004,1.2663381,0.056537700000000024
8,"('unaffectionate', 'affectionate')",0.9037292,0.8335575,-0.07017170000000006
9,"('unaffectionate', 'caring')",1.5143453,1.557023,0.04267770000000004
10,"('unsympathetic', 'sympathetic')",0.8026811,0.8328712,0.030190099999999997
11,"('unhelpful', 'helpful')",2.4598661,2.5503076,0.09044149999999984
12,"('unsupportive', 'supportive')",-1.474666,-1.3893146,0.08535139999999997
13,"('impolite', 'polite')",0.5296631,0.5962811,0.06661799999999996
14,"('antisocial', 'social')",-0.126582,-0.0885042,0.038077799999999995
15,"('boring', 'funny')",0.4723722,0.3484776,-0.12389460000000002
16,"('unpopular', 'popular')",-0.7433849,-0.6960169,0.047367999999999966
17,"('nasty', 'nice')",-0.14138,-0.153876,-0.012496000000000007
18,"('disagreeable', 'welcoming')",0.0524213,0.0922252,0.039803899999999996
19,"('inhospitable', 'hospitable')",-0.2822009,-0.2952705,-0.013069600000000015
20,"('rough', 'thoughtful')",0.191529,0.1360703,-0.0554587
21,"('immoral', 'moral')",-0.120754,-0.004525,0.116229
22,"('untrustworthy', 'trustworthy')",-0.0997417,-0.0821035,0.017638200000000007
23,"('insincere', 'sincere')",6.8620637,6.8408391,-0.021224600000000038
24,"('dishonest', 'honest')",1.7887413,1.8433445,0.05460319999999985
25,"('egoistic', 'altruistic')",0.975175,0.9404026,-0.03477240000000004
26,"('hardhearted', 'benevolent')",0.7349836,0.7672818,0.032298200000000055
27,"('hardhearted', 'softhearted')",1.3288782,1.1890374,-0.1398408
28,"('disloyal', 'loyal')",1.0551213,1.0939641,0.038842800000000066
29,"('unfair', 'fair')",-0.4175592,-0.5515063,-0.13394709999999999
30,"('intolerant', 'tolerant')",0.8987537,1.0230436,0.12428990000000006
31,"('evil', 'good')",-1.3406718,-1.3932114,-0.05253960000000002
32,"('unkind', 'kind')",0.5280449,0.5575169,0.029471999999999943
33,"('wrong', 'right')",-0.2589113,-0.2405646,0.01834670000000002
34,"('mean', 'honorable')",5.4845385,5.6339407,0.14940219999999993
35,"('corrupt', 'incorrupt')",-1.365293,-1.500339,-0.135046
36,"('hostile', 'amicable')",-0.2938303,-0.3795038,-0.08567350000000001
37,"('fake', 'genuine')",0.4699528,0.4495245,-0.02042830000000001
