,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.4789119,0.3938985,-0.08501340000000002
1,"('unfriendly', 'friendly')",1.2255289,1.1488491,-0.07667979999999996
2,"('unlikable', 'likable')",0.0973065,0.1345627,0.0372562
3,"('repellent', 'pleasant')",1.4069616,1.3927029,-0.014258700000000069
4,"('disliked', 'liked')",-7.2537482,-7.3094731,-0.05572489999999952
5,"('distant', 'outgoing')",-0.4776831,-0.5670923,-0.08940919999999997
6,"('distant', 'open')",-0.2472906,-0.3090641,-0.06177350000000001
7,"('insensitive', 'sensitive')",1.1427138,1.1613169,0.018603100000000206
8,"('unaffectionate', 'affectionate')",0.556247,0.437036,-0.11921100000000007
9,"('unaffectionate', 'caring')",1.0673274,1.0864536,0.019126200000000093
10,"('unsympathetic', 'sympathetic')",1.1259717,1.1877678,0.06179610000000002
11,"('unhelpful', 'helpful')",2.2115641,2.2942309,0.08266680000000015
12,"('unsupportive', 'supportive')",-1.1662399,-1.0914446,0.07479530000000012
13,"('impolite', 'polite')",0.5914124,0.6542201,0.06280770000000002
14,"('antisocial', 'social')",0.1643959,0.2056644,0.041268499999999986
15,"('boring', 'funny')",0.642899,0.5249423,-0.11795670000000003
16,"('unpopular', 'popular')",-1.0287632,-1.0401171,-0.011353900000000028
17,"('nasty', 'nice')",-0.3608673,-0.3509696,0.00989770000000001
18,"('disagreeable', 'welcoming')",-0.278171,-0.2872902,-0.009119199999999994
19,"('inhospitable', 'hospitable')",-0.4200631,-0.4132966,0.006766500000000009
20,"('rough', 'thoughtful')",0.5432125,0.4664393,-0.07677319999999999
21,"('immoral', 'moral')",0.4188276,0.5709998,0.15217219999999992
22,"('untrustworthy', 'trustworthy')",0.4369564,0.4751508,0.03819439999999996
23,"('insincere', 'sincere')",6.6157649,6.6772721,0.06150719999999943
24,"('dishonest', 'honest')",1.7443402,1.839671,0.09533080000000016
25,"('egoistic', 'altruistic')",0.8627683,0.7484192,-0.11434910000000009
26,"('hardhearted', 'benevolent')",0.2149548,0.1872118,-0.02774299999999999
27,"('hardhearted', 'softhearted')",1.3585042,1.2402714,-0.11823280000000014
28,"('disloyal', 'loyal')",0.7166866,0.7351916,0.018504999999999994
29,"('unfair', 'fair')",-0.3932194,-0.4378732,-0.04465380000000002
30,"('intolerant', 'tolerant')",1.0628611,1.1002157,0.037354600000000016
31,"('evil', 'good')",-1.4283516,-1.4602178,-0.031866199999999845
32,"('unkind', 'kind')",0.8029595,0.8296303,0.026670799999999995
33,"('wrong', 'right')",-0.6209501,-0.5576811,0.06326899999999991
34,"('mean', 'honorable')",4.7657693,4.9377612,0.1719919000000001
35,"('corrupt', 'incorrupt')",-1.3435032,-1.3879057,-0.0444024999999999
36,"('hostile', 'amicable')",-1.2340398,-1.3099989,-0.07595910000000017
37,"('fake', 'genuine')",0.8951911,0.8522629,-0.04292819999999997
38,"('untruthful', 'truthful')",-0.1834922,-0.1358344,0.0476578
39,"('exploitative', 'cooperative')",0.2988762,0.3632161,0.0643399
40,"('stingy', 'generous')",-0.5943236,-0.7467292,-0.15240560000000003
41,"('unforgiving', 'forgiving')",0.1398392,0.1713874,0.0315482
42,"('unreliable', 'reliable')",-2.2340909,-2.203051,0.03103990000000012
43,"('irresponsible', 'responsible')",0.9062315,0.9474762,0.04124470000000002
44,"('prejudiced', 'unprejudiced')",-1.0325912,-1.1218103,-0.0892191
45,"('incompetent', 'competent')",0.3162478,0.3139964,-0.0022514000000000145
46,"('uncompetitive', 'competitive')",-0.364114,-0.3100673,0.0540467
47,"('stupid', 'smart')",4.9155992,5.0161243,0.10052510000000048
48,"('unintelligent', 'intelligent')",0.8369453,0.7971563,-0.03978899999999996
49,"('unable', 'able')",-0.6234059,-0.551299,0.07210689999999997
50,"('clumsy', 'skillful')",-0.8639391,-0.8841162,-0.02017710000000006
51,"('uneducated', 'educated')",1.2424262,1.2513824,0.00895620000000008
52,"('irrational', 'rational')",-0.8329161,-0.8981828,-0.0652666999999999
53,"('uncreative', 'creative')",0.0391262,-0.0113775,-0.0505037
54,"('incapable', 'capable')",1.1305502,1.2246918,0.09414159999999994
55,"('incompetent', 'clever')",1.5651889,1.5541801,-0.011008800000000152
56,"('impractical', 'practical')",0.4298842,0.5418728,0.11198860000000005
57,"('unimaginative', 'imaginative')",-2.3915167,-2.410742,-0.0192253
58,"('undiscriminating', 'discriminating')",-0.0142485,-0.0626293,-0.0483808
59,"('foolish', 'wise')",-0.881447,-0.8413577,0.040089299999999994
60,"('inefficient', 'efficient')",1.1664674,1.2048352,0.03836780000000006
61,"('illogical', 'logical')",0.2705828,0.2414442,-0.029138600000000014
62,"('incompetent', 'brilliant')",1.6851557,1.7472592,0.06210350000000009
63,"('unperceptive', 'insightful')",0.9363836,0.9541882,0.01780460000000006
64,"('shy', 'confident')",-5.4168725,-5.3547109,0.06216160000000048
65,"('insecure', 'secure')",1.1106288,1.1011844,-0.00944440000000002
66,"('inactive', 'active')",-0.9895829,-1.013189,-0.023606099999999852
67,"('doubtful', 'determined')",-1.1311108,-1.0769795,0.054131300000000104
68,"('dependent', 'independent')",-0.7553841,-0.7528821,0.0025020000000000042
69,"('lazy', 'industrious')",-2.3949466,-2.3569762,0.03797039999999985
70,"('lethargic', 'energetic')",1.9522068,1.8603462,-0.09186059999999996
71,"('diffident', 'self-confident')",-0.382055,-0.3514344,0.030620599999999998
72,"('unambitious', 'ambitious')",0.6500124,0.6734267,0.0234143
73,"('helpless', 'self-reliant')",-2.6390592,-2.6504947,-0.01143549999999971
74,"('undedicated', 'dedicated')",-0.0002893,-0.0758345,-0.07554519999999999
75,"('meek', 'impulsive')",-0.7617231,-0.7526124,0.009110700000000027
76,"('anxious', 'daring')",1.1763889,1.1062424,-0.07014650000000011
77,"('unmotivated', 'motivated')",-0.7807687,-0.7110312,0.06973750000000001
78,"('nonresilient', 'resilient')",-0.7212725,-0.7725262,-0.05125370000000007
79,"('wavering', 'unwavering')",-0.8010078,-0.8395341,-0.0385262999999999
80,"('dominated', 'dominating')",0.258311,0.2922391,0.03392809999999996
81,"('submissive', 'aggressive')",0.9834487,1.0297945,0.04634579999999999
82,"('poor', 'rich')",5.9836494,5.9927377,0.00908830000000016
83,"('powerless', 'powerful')",-1.1797061,-1.1580811,0.021625000000000005
84,"('inferior', 'superior')",0.0183485,0.0333241,0.014975600000000002
85,"('insignificant', 'prestigious')",-2.0063185,-2.0595832,-0.053264700000000165
86,"('uninfluential', 'influential')",0.6823094,0.6735804,-0.008728999999999987
87,"('unsuccessful', 'successful')",-0.3690491,-0.2960881,0.072961
88,"('low', 'eminent')",-0.1824079,-0.186552,-0.004144099999999984
