,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2417071,0.1346492,-0.10705790000000001
1,"('unfriendly', 'friendly')",-0.188083,-0.3330408,-0.14495780000000003
2,"('unlikable', 'likable')",0.7968937,0.8150921,0.018198399999999948
3,"('repellent', 'pleasant')",0.1359394,0.1056666,-0.03027279999999999
4,"('disliked', 'liked')",-1.4555704,-1.494139,-0.038568600000000064
5,"('distant', 'outgoing')",-0.3060012,-0.3707826,-0.06478140000000004
6,"('distant', 'open')",-0.1959148,-0.2551334,-0.05921860000000001
7,"('insensitive', 'sensitive')",-1.0170245,-0.9125013,0.10452320000000004
8,"('unaffectionate', 'affectionate')",-0.604844,-0.8707821,-0.26593809999999996
9,"('unaffectionate', 'caring')",-0.6456231,-0.8095006,-0.1638775
10,"('unsympathetic', 'sympathetic')",-0.7271889,-0.774013,-0.046824099999999924
11,"('unhelpful', 'helpful')",-0.0601014,-0.1746199,-0.1145185
12,"('unsupportive', 'supportive')",-0.8264515,-0.8649257,-0.038474200000000014
13,"('impolite', 'polite')",0.5375405,0.5329909,-0.0045495999999999315
14,"('antisocial', 'social')",0.4883014,0.5899573,0.10165590000000002
15,"('boring', 'funny')",-0.1152128,-0.149382,-0.03416919999999998
16,"('unpopular', 'popular')",0.616229,0.6044517,-0.01177729999999999
17,"('nasty', 'nice')",-0.3810992,-0.3223651,0.05873410000000001
18,"('disagreeable', 'welcoming')",-0.3551871,-0.3698097,-0.014622600000000041
19,"('inhospitable', 'hospitable')",-0.9524491,-0.9902891,-0.037839999999999985
20,"('rough', 'thoughtful')",0.4965476,0.4947441,-0.001803499999999958
21,"('immoral', 'moral')",0.0782392,0.1892838,0.11104460000000001
22,"('untrustworthy', 'trustworthy')",0.6417879,0.6591615,0.01737359999999999
23,"('insincere', 'sincere')",0.6895927,0.5516233,-0.1379693999999999
24,"('dishonest', 'honest')",-0.987545,-0.9715934,0.015951599999999955
25,"('egoistic', 'altruistic')",0.1911573,0.1460432,-0.04511409999999999
26,"('hardhearted', 'benevolent')",-0.1704699,-0.2747812,-0.1043113
27,"('hardhearted', 'softhearted')",-0.8906481,-0.9257487,-0.035100599999999926
28,"('disloyal', 'loyal')",-0.603422,-0.7083169,-0.10489490000000001
29,"('unfair', 'fair')",0.6164228,0.5774479,-0.038974900000000035
30,"('intolerant', 'tolerant')",-0.2105913,-0.2809803,-0.07038900000000001
31,"('evil', 'good')",-0.0923651,-0.1258359,-0.033470799999999995
32,"('unkind', 'kind')",-0.3561577,-0.3406384,0.015519300000000014
33,"('wrong', 'right')",0.4000532,0.3863418,-0.013711399999999985
34,"('mean', 'honorable')",0.987752,1.1010902,0.11333820000000006
35,"('corrupt', 'incorrupt')",0.1479231,0.132216,-0.0157071
36,"('hostile', 'amicable')",0.2567436,0.1044504,-0.15229320000000002
37,"('fake', 'genuine')",-0.2144293,-0.2041788,0.010250499999999996
38,"('untruthful', 'truthful')",0.2442134,0.1884851,-0.05572830000000001
39,"('exploitative', 'cooperative')",0.2196346,0.2923422,0.07270759999999998
40,"('stingy', 'generous')",-0.7938004,-0.8886532,-0.09485280000000007
41,"('unforgiving', 'forgiving')",0.3677859,0.2890311,-0.07875480000000001
42,"('unreliable', 'reliable')",-0.592287,-0.4708364,0.12145060000000002
43,"('irresponsible', 'responsible')",-0.6493671,-0.6563472,-0.006980100000000045
44,"('prejudiced', 'unprejudiced')",0.1775608,0.2999679,0.12240710000000002
45,"('incompetent', 'competent')",-0.3307012,-0.351607,-0.02090580000000003
46,"('uncompetitive', 'competitive')",-0.6033084,-0.65228,-0.048971600000000004
47,"('stupid', 'smart')",0.9366911,1.0815019,0.1448107999999999
48,"('unintelligent', 'intelligent')",-0.9180017,-1.0346723,-0.11667059999999996
49,"('unable', 'able')",-0.5782435,-0.4791957,0.09904780000000002
50,"('clumsy', 'skillful')",0.2751961,0.2682076,-0.006988500000000009
51,"('uneducated', 'educated')",0.3547844,0.3184236,-0.036360800000000026
52,"('irrational', 'rational')",0.1604977,-0.0044313,-0.164929
53,"('uncreative', 'creative')",-0.9478058,-1.0449186,-0.09711279999999989
54,"('incapable', 'capable')",0.3547796,0.3303443,-0.024435299999999993
55,"('incompetent', 'clever')",-0.1169132,-0.1533535,-0.03644030000000001
56,"('impractical', 'practical')",0.3886912,0.4500151,0.06132389999999999
57,"('unimaginative', 'imaginative')",-0.956242,-1.1340402,-0.17779820000000002
58,"('undiscriminating', 'discriminating')",0.351486,0.3106233,-0.04086270000000003
59,"('foolish', 'wise')",-0.5092927,-0.5479968,-0.03870409999999991
60,"('inefficient', 'efficient')",-0.1676547,-0.0829363,0.08471839999999999
61,"('illogical', 'logical')",0.0009289,-0.044429,-0.04535790000000001
62,"('incompetent', 'brilliant')",0.1325994,0.2128937,0.08029429999999999
63,"('unperceptive', 'insightful')",0.4557569,0.4124221,-0.04333480000000001
64,"('shy', 'confident')",-1.3759953,-1.3300914,0.04590390000000011
65,"('insecure', 'secure')",-0.107653,-0.1286229,-0.020969900000000014
66,"('inactive', 'active')",-0.9634364,-0.9407147,0.022721699999999956
67,"('doubtful', 'determined')",0.1778658,0.2106614,0.03279560000000001
68,"('dependent', 'independent')",0.2238938,0.254622,0.03072820000000001
69,"('lazy', 'industrious')",0.684007,0.8106463,0.1266393
70,"('lethargic', 'energetic')",-0.3685805,-0.3624057,0.00617479999999998
71,"('diffident', 'self-confident')",-0.7575273,-0.7289656,0.028561700000000023
72,"('unambitious', 'ambitious')",-0.1440399,-0.2046136,-0.06057370000000001
73,"('helpless', 'self-reliant')",-0.2435611,-0.166388,0.0771731
74,"('undedicated', 'dedicated')",0.071794,0.0305857,-0.041208299999999996
75,"('meek', 'impulsive')",0.2946751,0.2487574,-0.045917700000000033
76,"('anxious', 'daring')",0.0743856,0.173352,0.09896640000000001
77,"('unmotivated', 'motivated')",-0.9821346,-0.9647938,0.017340799999999934
78,"('nonresilient', 'resilient')",0.0936239,0.0879762,-0.005647699999999992
79,"('wavering', 'unwavering')",0.1011316,0.0146381,-0.0864935
80,"('dominated', 'dominating')",-0.2368507,-0.1740634,0.06278729999999999
81,"('submissive', 'aggressive')",-0.3324539,-0.3363083,-0.00385439999999998
82,"('poor', 'rich')",1.3435212,1.3200169,-0.023504300000000145
83,"('powerless', 'powerful')",-0.7143457,-0.7249315,-0.010585799999999979
84,"('inferior', 'superior')",0.1646604,0.1738674,0.009206999999999993
85,"('insignificant', 'prestigious')",0.1237829,0.0004426,-0.1233403
86,"('uninfluential', 'influential')",-0.7937236,-0.9807296,-0.187006
87,"('unsuccessful', 'successful')",-0.2177603,-0.1106233,0.107137
88,"('low', 'eminent')",-0.7119501,-0.7259155,-0.013965400000000017
