,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.3599992,-0.4744073,-0.11440809999999996
1,"('unfriendly', 'friendly')",0.5375265,0.4339069,-0.10361960000000003
2,"('unlikable', 'likable')",0.1341102,0.1844429,0.05033269999999998
3,"('repellent', 'pleasant')",0.1670305,0.2451161,0.0780856
4,"('disliked', 'liked')",-1.0370593,-1.0669281,-0.02986880000000003
5,"('distant', 'outgoing')",0.2533742,0.2441759,-0.009198299999999993
6,"('distant', 'open')",0.0121668,-0.0066153,-0.0187821
7,"('insensitive', 'sensitive')",-0.0319984,-0.0166051,0.015393300000000002
8,"('unaffectionate', 'affectionate')",-0.0394355,-0.1493841,-0.1099486
9,"('unaffectionate', 'caring')",0.6140183,0.5520974,-0.061920900000000056
10,"('unsympathetic', 'sympathetic')",-0.8664719,-0.9074966,-0.041024700000000025
11,"('unhelpful', 'helpful')",0.3187071,0.336452,0.017744899999999952
12,"('unsupportive', 'supportive')",-0.0331278,0.019189,0.0523168
13,"('impolite', 'polite')",-0.063485,-0.1025598,-0.03907480000000001
14,"('antisocial', 'social')",-0.0818037,-0.0993296,-0.01752590000000001
15,"('boring', 'funny')",0.0584748,0.006928,-0.051546800000000004
16,"('unpopular', 'popular')",0.4043831,0.3823144,-0.022068699999999997
17,"('nasty', 'nice')",0.0520778,0.0767105,0.0246327
18,"('disagreeable', 'welcoming')",-0.2935593,-0.2659928,0.02756650000000005
19,"('inhospitable', 'hospitable')",-0.9054845,-0.9106418,-0.00515729999999992
20,"('rough', 'thoughtful')",-0.6646181,-0.5798127,0.08480540000000003
21,"('immoral', 'moral')",-0.3331386,-0.283493,0.04964560000000001
22,"('untrustworthy', 'trustworthy')",-0.2704128,-0.2307652,0.039647600000000005
23,"('insincere', 'sincere')",1.0119808,0.9924796,-0.019501199999999885
24,"('dishonest', 'honest')",0.0779175,0.079925,0.0020074999999999954
25,"('egoistic', 'altruistic')",0.8552461,0.8408338,-0.014412300000000045
26,"('hardhearted', 'benevolent')",0.6564436,0.4929505,-0.1634931
27,"('hardhearted', 'softhearted')",-0.2833434,-0.2639848,0.019358600000000004
28,"('disloyal', 'loyal')",0.2497514,0.0971815,-0.1525699
29,"('unfair', 'fair')",0.2245984,0.2102218,-0.014376600000000017
30,"('intolerant', 'tolerant')",0.2544671,0.2253441,-0.02912300000000001
31,"('evil', 'good')",-0.3002432,-0.2701762,0.03006700000000001
32,"('unkind', 'kind')",0.0590598,-0.0391555,-0.0982153
33,"('wrong', 'right')",0.59898,0.5739916,-0.02498839999999991
34,"('mean', 'honorable')",0.823955,0.9266271,0.10267210000000004
35,"('corrupt', 'incorrupt')",0.0844598,0.0334349,-0.051024900000000005
36,"('hostile', 'amicable')",-0.1776294,-0.3055499,-0.1279205
37,"('fake', 'genuine')",-0.5164388,-0.5008477,0.015591099999999969
38,"('untruthful', 'truthful')",0.0512106,0.0310652,-0.0201454
39,"('exploitative', 'cooperative')",0.2060794,0.2899774,0.083898
40,"('stingy', 'generous')",-0.0051706,0.0318623,0.0370329
41,"('unforgiving', 'forgiving')",0.0894881,0.0765957,-0.012892399999999998
42,"('unreliable', 'reliable')",-0.4297018,-0.3773672,0.05233460000000001
43,"('irresponsible', 'responsible')",-0.2883927,-0.2607715,0.027621200000000012
44,"('prejudiced', 'unprejudiced')",-0.7127965,-0.6641311,0.04866540000000008
45,"('incompetent', 'competent')",-0.2327929,-0.2262394,0.00655349999999999
46,"('uncompetitive', 'competitive')",-0.5014395,-0.5189438,-0.017504299999999917
47,"('stupid', 'smart')",1.0919162,1.0866111,-0.0053050999999999515
48,"('unintelligent', 'intelligent')",-0.6131533,-0.6640813,-0.05092799999999997
49,"('unable', 'able')",-1.1660276,-1.128501,0.03752660000000008
50,"('clumsy', 'skillful')",0.065297,0.0263455,-0.03895149999999999
51,"('uneducated', 'educated')",-0.2690215,-0.3886887,-0.11966719999999997
52,"('irrational', 'rational')",0.4949263,0.4333626,-0.0615637
53,"('uncreative', 'creative')",0.2718929,0.219906,-0.0519869
54,"('incapable', 'capable')",0.0531419,-0.0514001,-0.104542
55,"('incompetent', 'clever')",-0.8447081,-0.8136637,0.031044399999999972
56,"('impractical', 'practical')",-0.2664813,-0.199621,0.06686029999999998
57,"('unimaginative', 'imaginative')",-1.0787935,-1.1152706,-0.03647709999999993
58,"('undiscriminating', 'discriminating')",-0.0418825,-0.037287,0.004595500000000002
59,"('foolish', 'wise')",0.9095219,0.8687698,-0.04075209999999996
60,"('inefficient', 'efficient')",-0.2274752,-0.1296045,0.09787069999999998
61,"('illogical', 'logical')",0.0541013,-0.0104026,-0.0645039
62,"('incompetent', 'brilliant')",-0.2342698,-0.1221816,0.1120882
63,"('unperceptive', 'insightful')",0.3337182,0.3315984,-0.002119800000000005
64,"('shy', 'confident')",-1.4456436,-1.3918833,0.05376029999999998
65,"('insecure', 'secure')",-0.667451,-0.6530454,0.014405600000000018
66,"('inactive', 'active')",0.099254,0.035448,-0.063806
67,"('doubtful', 'determined')",-0.0559409,-0.1043593,-0.0484184
68,"('dependent', 'independent')",-1.3450057,-1.320365,0.02464069999999996
69,"('lazy', 'industrious')",0.5047396,0.5305284,0.025788800000000056
70,"('lethargic', 'energetic')",-0.5313849,-0.5063865,0.024998400000000087
71,"('diffident', 'self-confident')",0.4045393,0.4003611,-0.004178199999999965
72,"('unambitious', 'ambitious')",-0.6721594,-0.6637238,0.008435599999999988
