,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5705685,0.5084131,-0.06215540000000008
1,"('unfriendly', 'friendly')",0.9965267,0.8903637,-0.10616300000000001
2,"('unlikable', 'likable')",0.2295237,0.2870918,0.05756810000000001
3,"('repellent', 'pleasant')",1.4462139,1.3784573,-0.06775660000000006
4,"('disliked', 'liked')",-7.3475135,-7.4182649,-0.0707513999999998
5,"('distant', 'outgoing')",-0.5450172,-0.6754595,-0.1304423
6,"('distant', 'open')",-0.3409237,-0.4494124,-0.1084887
7,"('insensitive', 'sensitive')",1.2914754,1.2843074,-0.007167999999999841
8,"('unaffectionate', 'affectionate')",0.4879916,0.3539837,-0.1340079
9,"('unaffectionate', 'caring')",0.9808985,0.9649956,-0.015902900000000053
10,"('unsympathetic', 'sympathetic')",1.2208808,1.321825,0.10094420000000004
11,"('unhelpful', 'helpful')",2.0887261,2.2129995,0.12427339999999987
12,"('unsupportive', 'supportive')",-1.2172188,-1.1566373,0.060581499999999844
13,"('impolite', 'polite')",0.6483396,0.7111402,0.06280059999999998
14,"('antisocial', 'social')",0.3933074,0.46164,0.06833260000000002
15,"('boring', 'funny')",0.4670688,0.3438406,-0.12322820000000001
16,"('unpopular', 'popular')",-1.0212958,-1.0586128,-0.03731699999999982
17,"('nasty', 'nice')",-0.5651736,-0.5917306,-0.026556999999999942
18,"('disagreeable', 'welcoming')",-0.129821,-0.1917029,-0.06188190000000002
19,"('inhospitable', 'hospitable')",-0.6445379,-0.6561438,-0.011605900000000058
20,"('rough', 'thoughtful')",0.5564439,0.4726231,-0.08382079999999997
21,"('immoral', 'moral')",0.4124017,0.5705381,0.15813640000000007
22,"('untrustworthy', 'trustworthy')",0.4430913,0.4836768,0.0405855
23,"('insincere', 'sincere')",6.6380927,6.6430825,0.004989800000000599
24,"('dishonest', 'honest')",1.5707393,1.6428216,0.07208229999999993
25,"('egoistic', 'altruistic')",0.7702414,0.6603988,-0.10984260000000001
26,"('hardhearted', 'benevolent')",0.190879,0.1847695,-0.00610949999999999
27,"('hardhearted', 'softhearted')",1.4222632,1.2620196,-0.16024360000000004
28,"('disloyal', 'loyal')",0.6831442,0.6962638,0.013119600000000009
29,"('unfair', 'fair')",-0.3837623,-0.4329976,-0.04923529999999998
30,"('intolerant', 'tolerant')",1.2081342,1.2883139,0.08017969999999996
31,"('evil', 'good')",-1.5301409,-1.6000724,-0.06993150000000004
32,"('unkind', 'kind')",0.8211522,0.8461638,0.025011600000000023
33,"('wrong', 'right')",-0.5408709,-0.4976351,0.043235800000000046
34,"('mean', 'honorable')",4.6559979,4.8104733,0.15447539999999993
35,"('corrupt', 'incorrupt')",-1.6470191,-1.7223497,-0.07533060000000003
36,"('hostile', 'amicable')",-1.4005761,-1.5283695,-0.12779339999999983
37,"('fake', 'genuine')",0.8613707,0.8368509,-0.02451980000000009
38,"('untruthful', 'truthful')",-0.3127349,-0.2661269,0.04660799999999998
39,"('exploitative', 'cooperative')",0.1135888,0.1661657,0.052576899999999996
40,"('stingy', 'generous')",-0.5918214,-0.7939734,-0.202152
41,"('unforgiving', 'forgiving')",0.331861,0.3528579,0.020996899999999985
42,"('unreliable', 'reliable')",-2.0473674,-2.0119202,0.03544720000000012
43,"('irresponsible', 'responsible')",1.1251259,1.1633912,0.03826529999999995
