,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.6217279,0.5931475,-0.02858039999999995
1,"('unfriendly', 'friendly')",1.0091632,0.9452539,-0.06390929999999995
2,"('unlikable', 'likable')",0.0219402,0.0607795,0.0388393
3,"('repellent', 'pleasant')",1.376274,1.3624783,-0.013795699999999966
4,"('disliked', 'liked')",-7.6646817,-7.6602487,0.004432999999999687
5,"('distant', 'outgoing')",-0.9290191,-1.1172104,-0.18819130000000006
6,"('distant', 'open')",-0.590488,-0.7451226,-0.15463459999999996
7,"('insensitive', 'sensitive')",1.5033654,1.605292,0.10192659999999987
8,"('unaffectionate', 'affectionate')",0.3720791,0.2195014,-0.15257769999999998
9,"('unaffectionate', 'caring')",1.0186315,1.0269969,0.00836540000000019
10,"('unsympathetic', 'sympathetic')",1.4052848,1.525774,0.12048919999999996
11,"('unhelpful', 'helpful')",2.3097358,2.4027945,0.09305870000000027
12,"('unsupportive', 'supportive')",-1.1715428,-1.0821174,0.0894254000000001
13,"('impolite', 'polite')",0.7810064,0.8400255,0.05901909999999999
14,"('antisocial', 'social')",0.413044,0.4864688,0.07342479999999996
15,"('boring', 'funny')",0.5503601,0.4179292,-0.13243090000000002
16,"('unpopular', 'popular')",-1.1860577,-1.2224896,-0.03643189999999996
17,"('nasty', 'nice')",-0.6493172,-0.6790409,-0.02972369999999991
18,"('disagreeable', 'welcoming')",-0.3638514,-0.3668527,-0.0030012999999999845
19,"('inhospitable', 'hospitable')",-0.6739073,-0.7280423,-0.054135000000000044
20,"('rough', 'thoughtful')",0.8386307,0.8634331,0.024802400000000002
21,"('immoral', 'moral')",0.5549502,0.7698702,0.21492
22,"('untrustworthy', 'trustworthy')",0.520645,0.5888232,0.06817819999999997
23,"('insincere', 'sincere')",6.8911116,6.9042613,0.013149699999999598
24,"('dishonest', 'honest')",1.6213933,1.6912764,0.06988309999999998
25,"('egoistic', 'altruistic')",0.7888201,0.711334,-0.0774861
26,"('hardhearted', 'benevolent')",0.32156,0.330766,0.009205999999999992
27,"('hardhearted', 'softhearted')",1.548436,1.4610254,-0.0874105999999999
28,"('disloyal', 'loyal')",0.7418107,0.7183106,-0.023500100000000024
29,"('unfair', 'fair')",-0.3989867,-0.5029453,-0.10395860000000001
30,"('intolerant', 'tolerant')",1.4392784,1.5212045,0.0819261
31,"('evil', 'good')",-1.6733598,-1.7869269,-0.11356710000000003
32,"('unkind', 'kind')",0.8376511,0.8828044,0.04515330000000006
33,"('wrong', 'right')",-0.7100752,-0.6940436,0.016031600000000035
34,"('mean', 'honorable')",4.9992003,5.1454991,0.14629880000000028
35,"('corrupt', 'incorrupt')",-1.7025824,-1.8447222,-0.14213980000000004
36,"('hostile', 'amicable')",-1.28486,-1.3772069,-0.09234690000000012
37,"('fake', 'genuine')",1.0965959,1.1013557,0.004759799999999981
38,"('untruthful', 'truthful')",-0.1811288,-0.1794858,0.0016430000000000056
39,"('exploitative', 'cooperative')",0.1873709,0.3034452,0.11607430000000002
40,"('stingy', 'generous')",-0.7643499,-0.8892854,-0.12493549999999998
41,"('unforgiving', 'forgiving')",0.442686,0.4835896,0.040903599999999984
42,"('unreliable', 'reliable')",-2.3084263,-2.2391034,0.06932289999999997
43,"('irresponsible', 'responsible')",1.3880245,1.4833272,0.09530269999999996
44,"('prejudiced', 'unprejudiced')",-0.9608148,-0.9822653,-0.02145050000000004
45,"('incompetent', 'competent')",0.5250406,0.5633104,0.03826980000000002
46,"('uncompetitive', 'competitive')",-0.0662211,0.11211,0.17833110000000002
47,"('stupid', 'smart')",5.308353,5.370754,0.062400999999999485
48,"('unintelligent', 'intelligent')",0.6984042,0.6900607,-0.00834350000000006
49,"('unable', 'able')",-0.7566155,-0.6467543,0.10986119999999999
50,"('clumsy', 'skillful')",-0.9940254,-1.0225301,-0.02850470000000005
51,"('uneducated', 'educated')",1.3492127,1.3994663,0.05025360000000001
52,"('irrational', 'rational')",-1.0551548,-1.1846474,-0.12949260000000007
53,"('uncreative', 'creative')",-0.0074051,-0.0275609,-0.020155799999999998
54,"('incapable', 'capable')",1.1278695,1.1782466,0.05037709999999995
55,"('incompetent', 'clever')",1.76162,1.8133766,0.05175660000000004
56,"('impractical', 'practical')",0.5197334,0.6294074,0.10967399999999994
57,"('unimaginative', 'imaginative')",-2.2903239,-2.2583223,0.032001600000000074
58,"('undiscriminating', 'discriminating')",0.2417951,0.2567985,0.015003399999999972
59,"('foolish', 'wise')",-1.1496997,-1.2113139,-0.06161419999999995
60,"('inefficient', 'efficient')",1.4513277,1.5926844,0.1413567
61,"('illogical', 'logical')",0.1533697,0.0902092,-0.0631605
62,"('incompetent', 'brilliant')",1.4297052,1.4766544,0.046949200000000024
63,"('unperceptive', 'insightful')",0.7637128,0.7663046,0.002591800000000033
64,"('shy', 'confident')",-5.8325016,-5.733936,0.0985655999999997
65,"('insecure', 'secure')",1.3906045,1.4461885,0.05558400000000008
66,"('inactive', 'active')",-1.2346678,-1.3485577,-0.11388989999999999
