,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.1208848,-0.2106591,-0.08977429999999999
1,"('unfriendly', 'friendly')",-0.2173696,-0.3267779,-0.10940830000000001
2,"('unlikable', 'likable')",1.2809523,1.3164809,0.03552859999999991
3,"('repellent', 'pleasant')",0.0557847,0.1146994,0.05891470000000001
4,"('disliked', 'liked')",-0.4194948,-0.4096644,0.009830400000000017
5,"('distant', 'outgoing')",0.155148,0.1224537,-0.03269430000000001
6,"('distant', 'open')",-0.2400947,-0.2552516,-0.015156900000000029
7,"('insensitive', 'sensitive')",-0.3799611,-0.3191275,0.06083359999999999
8,"('unaffectionate', 'affectionate')",-0.8556784,-0.9815147,-0.1258363
9,"('unaffectionate', 'caring')",-0.0620827,-0.1176078,-0.0555251
10,"('unsympathetic', 'sympathetic')",-0.9113274,-0.8647831,0.04654429999999998
11,"('unhelpful', 'helpful')",0.7578456,0.7150384,-0.042807200000000045
12,"('unsupportive', 'supportive')",0.5845525,0.6720623,0.08750979999999997
13,"('impolite', 'polite')",0.2266996,0.1963537,-0.03034590000000001
14,"('antisocial', 'social')",0.3435887,0.3839543,0.0403656
15,"('boring', 'funny')",0.6364986,0.5360995,-0.10039910000000007
16,"('unpopular', 'popular')",-0.3412753,-0.3037108,0.0375645
17,"('nasty', 'nice')",-0.4899609,-0.4469385,0.04302239999999996
18,"('disagreeable', 'welcoming')",0.3154084,0.3818682,0.06645980000000001
19,"('inhospitable', 'hospitable')",-0.5664111,-0.6125464,-0.0461353000000001
20,"('rough', 'thoughtful')",-0.2225027,-0.1127923,0.1097104
21,"('immoral', 'moral')",-0.0312386,0.0363477,0.06758629999999999
22,"('untrustworthy', 'trustworthy')",0.2232577,0.2807869,0.0575292
23,"('insincere', 'sincere')",0.89871,0.8478174,-0.050892599999999955
24,"('dishonest', 'honest')",0.1716177,0.1993394,0.027721699999999988
25,"('egoistic', 'altruistic')",-0.1102585,-0.1643258,-0.0540673
26,"('hardhearted', 'benevolent')",0.1022908,-0.0046334,-0.1069242
27,"('hardhearted', 'softhearted')",-0.5267931,-0.5502796,-0.023486499999999966
28,"('disloyal', 'loyal')",-0.6160672,-0.7052618,-0.08919460000000001
29,"('unfair', 'fair')",-0.2534897,-0.2850774,-0.031587699999999996
30,"('intolerant', 'tolerant')",-0.2022099,-0.2183596,-0.01614969999999999
31,"('evil', 'good')",-0.500058,-0.5223372,-0.022279199999999943
32,"('unkind', 'kind')",0.2826994,0.249725,-0.03297439999999999
33,"('wrong', 'right')",0.3699499,0.3594975,-0.010452399999999973
34,"('mean', 'honorable')",1.0610979,1.1301109,0.06901299999999999
35,"('corrupt', 'incorrupt')",-0.6609137,-0.6963268,-0.035413099999999975
36,"('hostile', 'amicable')",-0.1861582,-0.2946521,-0.10849389999999998
37,"('fake', 'genuine')",-1.5412097,-1.4971625,0.044047200000000064
38,"('untruthful', 'truthful')",0.2161841,0.2001447,-0.01603939999999998
39,"('exploitative', 'cooperative')",0.2956792,0.3319507,0.03627150000000001
40,"('stingy', 'generous')",0.453527,0.5366793,0.08315229999999996
41,"('unforgiving', 'forgiving')",0.1839326,0.2233641,0.03943150000000001
42,"('unreliable', 'reliable')",0.425541,0.5142979,0.08875689999999997
43,"('irresponsible', 'responsible')",0.0174393,0.0692972,0.0518579
44,"('prejudiced', 'unprejudiced')",-0.4368889,-0.3450464,0.09184250000000005
45,"('incompetent', 'competent')",-0.7095884,-0.6958477,0.01374070000000005
46,"('uncompetitive', 'competitive')",-0.0561775,0.0664652,0.1226427
47,"('stupid', 'smart')",1.2631402,1.2817864,0.018646200000000057
48,"('unintelligent', 'intelligent')",-1.145304,-1.1801359,-0.034831899999999916
49,"('unable', 'able')",-1.1232256,-1.0453454,0.07788020000000007
50,"('clumsy', 'skillful')",-0.5733503,-0.5534912,0.01985910000000002
51,"('uneducated', 'educated')",1.4147548,1.3105116,-0.10424319999999998
52,"('irrational', 'rational')",-0.1550735,-0.3000898,-0.14501630000000001
53,"('uncreative', 'creative')",0.0144285,0.0242731,0.009844599999999998
54,"('incapable', 'capable')",0.2159653,0.1527044,-0.06326090000000001
55,"('incompetent', 'clever')",-0.0314124,-0.0074853,0.0239271
56,"('impractical', 'practical')",0.3044018,0.3187718,0.014369999999999994
57,"('unimaginative', 'imaginative')",-0.3327449,-0.3038011,0.02894380000000002
58,"('undiscriminating', 'discriminating')",0.1340286,0.1601788,0.026150200000000012
59,"('foolish', 'wise')",0.0656339,-0.0001761,-0.06581
60,"('inefficient', 'efficient')",0.2278379,0.2966247,0.06878680000000001
61,"('illogical', 'logical')",0.1386539,0.132123,-0.006530900000000006
62,"('incompetent', 'brilliant')",0.3705971,0.4881162,0.11751909999999999
63,"('unperceptive', 'insightful')",0.6871149,0.7350981,0.047983200000000004
64,"('shy', 'confident')",-0.5437806,-0.4824899,0.06129069999999992
65,"('insecure', 'secure')",0.2307356,0.1974941,-0.03324150000000001
66,"('inactive', 'active')",0.2077854,0.1685377,-0.039247699999999996
67,"('doubtful', 'determined')",0.1333867,0.084095,-0.049291699999999994
68,"('dependent', 'independent')",-0.2531025,-0.2424964,0.010606100000000007
69,"('lazy', 'industrious')",-0.0807596,-0.0479518,0.0328078
70,"('lethargic', 'energetic')",0.2573196,0.3087707,0.05145110000000003
71,"('diffident', 'self-confident')",0.7443445,0.7377919,-0.0065526000000000195
72,"('unambitious', 'ambitious')",0.2832753,0.3038378,0.020562499999999984
73,"('helpless', 'self-reliant')",-0.0217233,0.0163633,0.0380866
74,"('undedicated', 'dedicated')",1.0259775,1.0739965,0.048019000000000034
75,"('meek', 'impulsive')",0.6419056,0.6894475,0.047541900000000026
76,"('anxious', 'daring')",0.6025617,0.6765198,0.07395810000000003
77,"('unmotivated', 'motivated')",-0.5880438,-0.5365368,0.05150699999999997
78,"('nonresilient', 'resilient')",-0.1375102,-0.0379438,0.0995664
79,"('wavering', 'unwavering')",-0.1521214,-0.2371147,-0.08499330000000002
80,"('dominated', 'dominating')",0.392294,0.4634243,0.07113030000000004
81,"('submissive', 'aggressive')",0.4241521,0.3848567,-0.03929539999999998
82,"('poor', 'rich')",0.6372341,0.6361806,-0.0010535000000000405
83,"('powerless', 'powerful')",0.2961266,0.2772655,-0.01886110000000002
84,"('inferior', 'superior')",-0.3991819,-0.4057325,-0.0065506000000000175
85,"('insignificant', 'prestigious')",-0.1901856,-0.2511625,-0.0609769
86,"('uninfluential', 'influential')",-0.2956683,-0.3729345,-0.07726620000000001
87,"('unsuccessful', 'successful')",0.4305189,0.385266,-0.045252899999999985
88,"('low', 'eminent')",-0.1884879,-0.2810984,-0.09261050000000001
