,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2322219,0.988373,-0.24384890000000015
1,"('unfriendly', 'friendly')",-0.6099007,-0.7138085,-0.1039078
2,"('unlikable', 'likable')",-0.0623488,-0.0451733,0.017175500000000003
3,"('repellent', 'pleasant')",0.3405294,0.3428478,0.0023183999999999982
4,"('disliked', 'liked')",-3.6725344,-3.6913068,-0.018772400000000022
5,"('distant', 'outgoing')",-1.6781052,-1.7427872,-0.0646819999999999
6,"('distant', 'open')",-1.9321494,-1.9732446,-0.0410952
7,"('insensitive', 'sensitive')",1.0680155,1.0626376,-0.0053779000000000465
8,"('unaffectionate', 'affectionate')",-1.2481026,-1.3640656,-0.11596300000000004
9,"('unaffectionate', 'caring')",-0.7306619,-0.8085346,-0.07787270000000002
10,"('unsympathetic', 'sympathetic')",0.6854974,0.5439778,-0.14151960000000008
11,"('unhelpful', 'helpful')",0.9182928,0.8680899,-0.05020290000000005
12,"('unsupportive', 'supportive')",-0.7077386,-0.7369912,-0.029252599999999962
13,"('impolite', 'polite')",0.9434884,0.8846194,-0.05886900000000006
14,"('antisocial', 'social')",2.0602208,1.9548747,-0.10534610000000022
15,"('boring', 'funny')",-0.0473166,-0.154977,-0.1076604
16,"('unpopular', 'popular')",-1.0004842,-1.014694,-0.01420979999999994
17,"('nasty', 'nice')",-0.4298267,-0.4336806,-0.003853900000000021
18,"('disagreeable', 'welcoming')",-1.132612,-1.0776823,0.05492969999999997
19,"('inhospitable', 'hospitable')",-1.6265086,-1.5689787,0.05752990000000002
20,"('rough', 'thoughtful')",0.869126,0.8999845,0.03085850000000001
21,"('immoral', 'moral')",0.7922169,0.8418801,0.04966320000000002
22,"('untrustworthy', 'trustworthy')",0.6150768,0.5910033,-0.02407349999999997
23,"('insincere', 'sincere')",3.3252607,3.2007145,-0.12454619999999972
24,"('dishonest', 'honest')",0.646457,0.6560094,0.009552400000000016
25,"('egoistic', 'altruistic')",-0.3585932,-0.367646,-0.009052799999999972
26,"('hardhearted', 'benevolent')",0.5301292,0.4236807,-0.10644849999999995
27,"('hardhearted', 'softhearted')",0.151714,0.078054,-0.07365999999999999
28,"('disloyal', 'loyal')",0.0324968,-0.0927049,-0.1252017
29,"('unfair', 'fair')",-0.6956764,-0.7815793,-0.0859029
30,"('intolerant', 'tolerant')",0.9507707,0.9196128,-0.03115789999999996
31,"('evil', 'good')",-1.8275366,-1.781629,0.04590760000000005
32,"('unkind', 'kind')",0.4709781,0.3994095,-0.07156860000000004
33,"('wrong', 'right')",-0.578832,-0.6013299,-0.02249789999999996
34,"('mean', 'honorable')",1.7720663,1.8654525,0.09338619999999986
35,"('corrupt', 'incorrupt')",-1.431918,-1.4121924,0.01972560000000012
36,"('hostile', 'amicable')",-1.5944412,-1.6382378,-0.043796600000000074
37,"('fake', 'genuine')",0.2220783,0.2082858,-0.013792500000000013
38,"('untruthful', 'truthful')",-0.3664644,-0.3881627,-0.021698300000000004
39,"('exploitative', 'cooperative')",0.7601702,0.8732917,0.11312149999999999
40,"('stingy', 'generous')",-0.4582653,-0.5329058,-0.0746405
41,"('unforgiving', 'forgiving')",0.9099203,0.8445722,-0.06534810000000002
42,"('unreliable', 'reliable')",-1.1304791,-1.1060376,0.024441500000000005
43,"('irresponsible', 'responsible')",0.394491,0.3195379,-0.0749531
44,"('prejudiced', 'unprejudiced')",-1.4050792,-1.3339905,0.0710887
45,"('incompetent', 'competent')",0.8934862,0.7422793,-0.15120690000000003
46,"('uncompetitive', 'competitive')",0.4712747,0.3382342,-0.1330405
47,"('stupid', 'smart')",3.1912616,3.2025333,0.011271699999999996
48,"('unintelligent', 'intelligent')",0.3943585,0.2489844,-0.1453741
49,"('unable', 'able')",-0.4834967,-0.4263745,0.05712220000000001
50,"('clumsy', 'skillful')",-0.485232,-0.4824667,0.0027652999999999706
51,"('uneducated', 'educated')",1.1011117,0.9912668,-0.10984489999999991
52,"('irrational', 'rational')",-1.2057766,-1.2573835,-0.0516068999999999
53,"('uncreative', 'creative')",-0.7834761,-0.8949748,-0.11149869999999995
54,"('incapable', 'capable')",-0.3819645,-0.4342286,-0.052264100000000036
55,"('incompetent', 'clever')",1.595157,1.5215684,-0.07358859999999989
56,"('impractical', 'practical')",1.4086942,1.3382381,-0.07045609999999991
57,"('unimaginative', 'imaginative')",-0.7134123,-0.9258723,-0.21245999999999998
58,"('undiscriminating', 'discriminating')",0.9965845,0.8978116,-0.09877289999999994
59,"('foolish', 'wise')",-1.4283516,-1.3800729,0.04827870000000001
60,"('inefficient', 'efficient')",1.9551635,1.9252871,-0.029876400000000025
61,"('illogical', 'logical')",0.5515949,0.3762974,-0.1752975
62,"('incompetent', 'brilliant')",0.6106032,0.5504474,-0.06015579999999998
63,"('unperceptive', 'insightful')",0.4291351,0.327996,-0.10113909999999998
64,"('shy', 'confident')",-2.0751582,-2.0466402,0.028518000000000043
65,"('insecure', 'secure')",1.5991409,1.5261666,-0.07297430000000005
66,"('inactive', 'active')",-1.295773,-1.3589162,-0.06314319999999984
67,"('doubtful', 'determined')",-0.31153,-0.3158944,-0.004364400000000046
68,"('dependent', 'independent')",-0.2059506,-0.1450779,0.0608727
69,"('lazy', 'industrious')",-1.2824112,-1.2210162,0.06139500000000009
