,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.8465703,-1.0872626,-0.24069230000000008
1,"('unfriendly', 'friendly')",0.1353534,0.0669758,-0.06837760000000001
2,"('unlikable', 'likable')",-0.0262076,-0.0310696,-0.004861999999999998
3,"('repellent', 'pleasant')",-0.4394292,-0.4237529,0.015676300000000032
4,"('disliked', 'liked')",-2.5617064,-2.4569903,0.10471609999999965
5,"('distant', 'outgoing')",-0.1194365,-0.0964815,0.022955000000000003
6,"('distant', 'open')",-0.3192716,-0.2716292,0.047642399999999974
7,"('insensitive', 'sensitive')",-0.3034687,-0.3105992,-0.00713050000000004
8,"('unaffectionate', 'affectionate')",-0.7953433,-0.9858178,-0.1904745
9,"('unaffectionate', 'caring')",-0.3795939,-0.4899778,-0.11038390000000003
10,"('unsympathetic', 'sympathetic')",-0.8725556,-0.9994148,-0.12685920000000006
11,"('unhelpful', 'helpful')",0.4893365,0.4199671,-0.06936940000000003
12,"('unsupportive', 'supportive')",-1.1292294,-1.1238686,0.005360800000000054
13,"('impolite', 'polite')",-0.389396,-0.5924965,-0.20310049999999996
14,"('antisocial', 'social')",-0.5102217,-0.6346411,-0.12441939999999996
15,"('boring', 'funny')",0.8898593,0.832044,-0.057815300000000014
16,"('unpopular', 'popular')",-0.6549474,-0.6179313,0.037016099999999996
17,"('nasty', 'nice')",-0.8729909,-0.8307019,0.04228900000000002
18,"('disagreeable', 'welcoming')",-0.8311753,-0.8041711,0.027004199999999923
19,"('inhospitable', 'hospitable')",-0.5086779,-0.4393038,0.0693741
20,"('rough', 'thoughtful')",0.1055329,0.1827822,0.0772493
21,"('immoral', 'moral')",0.0792553,0.0605024,-0.018752900000000003
22,"('untrustworthy', 'trustworthy')",0.3075257,0.3110319,0.0035061999999999593
23,"('insincere', 'sincere')",1.7328098,1.5621469,-0.17066290000000017
24,"('dishonest', 'honest')",0.3115953,0.2333416,-0.07825370000000001
25,"('egoistic', 'altruistic')",0.230257,0.230633,0.0003760000000000152
26,"('hardhearted', 'benevolent')",0.0609546,-0.0302125,-0.0911671
27,"('hardhearted', 'softhearted')",-0.2889097,-0.3459334,-0.05702370000000001
28,"('disloyal', 'loyal')",-0.7745397,-0.9160819,-0.14154219999999995
29,"('unfair', 'fair')",0.4161186,0.3489549,-0.06716369999999999
30,"('intolerant', 'tolerant')",0.1365233,0.0755983,-0.06092499999999999
31,"('evil', 'good')",-0.7114969,-0.5686663,0.14283060000000003
32,"('unkind', 'kind')",-0.1200913,-0.2806557,-0.1605644
33,"('wrong', 'right')",0.1622326,0.1937549,0.0315223
34,"('mean', 'honorable')",1.6164072,1.7011459,0.08473869999999994
35,"('corrupt', 'incorrupt')",-0.1059,-0.0303834,0.07551659999999999
36,"('hostile', 'amicable')",-0.5020058,-0.4552806,0.04672519999999997
37,"('fake', 'genuine')",-0.4370779,-0.4616829,-0.024604999999999988
38,"('untruthful', 'truthful')",0.076412,0.071042,-0.00537
39,"('exploitative', 'cooperative')",0.0443478,0.0846129,0.040265100000000005
40,"('stingy', 'generous')",-1.1697161,-1.1770482,-0.0073320999999999525
41,"('unforgiving', 'forgiving')",-0.087395,-0.1245504,-0.037155400000000005
42,"('unreliable', 'reliable')",-1.0819161,-1.0508493,0.03106679999999984
43,"('irresponsible', 'responsible')",-0.4265401,-0.4776282,-0.051088100000000025
44,"('prejudiced', 'unprejudiced')",0.1045542,0.1948374,0.0902832
45,"('incompetent', 'competent')",-0.6777307,-0.7330655,-0.05533480000000002
46,"('uncompetitive', 'competitive')",-1.2144861,-1.2807243,-0.06623819999999991
47,"('stupid', 'smart')",2.017657,1.971429,-0.046227999999999714
48,"('unintelligent', 'intelligent')",0.0765174,-0.028657,-0.1051744
49,"('unable', 'able')",-0.4027015,-0.3202481,0.08245340000000001
50,"('clumsy', 'skillful')",-0.0910108,-0.127247,-0.036236199999999996
51,"('uneducated', 'educated')",0.3389885,0.1637608,-0.17522770000000001
52,"('irrational', 'rational')",0.0452856,-0.022954,-0.0682396
53,"('uncreative', 'creative')",-0.1749108,-0.1746541,0.0002566999999999986
54,"('incapable', 'capable')",0.4721647,0.4419303,-0.030234399999999995
55,"('incompetent', 'clever')",-0.0770517,-0.1930973,-0.1160456
56,"('impractical', 'practical')",0.4951574,0.4044774,-0.09068000000000004
57,"('unimaginative', 'imaginative')",-1.0629988,-1.1062127,-0.04321390000000003
58,"('undiscriminating', 'discriminating')",-0.4373303,-0.4544125,-0.017082199999999992
59,"('foolish', 'wise')",0.2826476,0.3463888,0.0637412
