,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.0193793,-0.0494034,-0.0687827
1,"('unfriendly', 'friendly')",0.9440878,1.0057537,0.06166590000000005
2,"('unlikable', 'likable')",0.2565963,0.32563,0.06903369999999998
3,"('repellent', 'pleasant')",1.2064318,1.218139,0.011707200000000029
4,"('disliked', 'liked')",-7.3176708,-7.2683348,0.04933600000000027
5,"('distant', 'outgoing')",-0.7231469,-0.7785123,-0.05536540000000001
6,"('distant', 'open')",-0.2197269,-0.2391949,-0.019467999999999985
7,"('insensitive', 'sensitive')",0.8823978,0.8987964,0.01639860000000004
8,"('unaffectionate', 'affectionate')",0.7254427,0.7437351,0.018292399999999986
9,"('unaffectionate', 'caring')",1.0976297,1.195325,0.09769530000000004
10,"('unsympathetic', 'sympathetic')",0.8221409,0.8493662,0.027225300000000008
11,"('unhelpful', 'helpful')",1.9092917,1.9265369,0.01724520000000007
12,"('unsupportive', 'supportive')",-1.3949533,-1.2863314,0.10862190000000016
13,"('impolite', 'polite')",0.2378453,0.2293012,-0.008544099999999999
14,"('antisocial', 'social')",0.1557281,0.1315103,-0.02421780000000001
15,"('boring', 'funny')",0.2992293,0.2178711,-0.08135819999999996
16,"('unpopular', 'popular')",-0.884323,-0.8288065,0.05551649999999997
17,"('nasty', 'nice')",-0.4324396,-0.4692938,-0.036854200000000004
18,"('disagreeable', 'welcoming')",-0.2267603,-0.1830443,0.043716000000000005
19,"('inhospitable', 'hospitable')",-0.3782128,-0.3663724,0.011840400000000029
20,"('rough', 'thoughtful')",0.472593,0.4283681,-0.04422490000000001
21,"('immoral', 'moral')",0.0833022,0.1533002,0.06999799999999999
22,"('untrustworthy', 'trustworthy')",0.1340713,0.1548643,0.020793000000000006
23,"('insincere', 'sincere')",6.2409711,6.192451,-0.04852010000000018
24,"('dishonest', 'honest')",1.412098,1.4842823,0.07218429999999998
25,"('egoistic', 'altruistic')",0.7845042,0.7939876,0.00948340000000003
26,"('hardhearted', 'benevolent')",0.2956132,0.3346617,0.039048499999999986
27,"('hardhearted', 'softhearted')",1.4053883,1.3386223,-0.0667660000000001
28,"('disloyal', 'loyal')",0.581367,0.5750278,-0.006339199999999989
29,"('unfair', 'fair')",-0.2367937,-0.3633693,-0.1265756
30,"('intolerant', 'tolerant')",0.9322307,0.9452502,0.013019500000000073
31,"('evil', 'good')",-0.8856421,-0.8559716,0.029670499999999933
32,"('unkind', 'kind')",0.7052252,0.7506103,0.045385099999999956
33,"('wrong', 'right')",-0.531199,-0.4667151,0.06448389999999998
34,"('mean', 'honorable')",4.7564819,4.8373289,0.08084700000000034
35,"('corrupt', 'incorrupt')",-1.0433781,-1.0912007,-0.04782259999999994
36,"('hostile', 'amicable')",-0.6272103,-0.6458893,-0.018679
37,"('fake', 'genuine')",0.6054738,0.6022065,-0.003267299999999973
38,"('untruthful', 'truthful')",-0.2849665,-0.2722612,0.01270530000000003
39,"('exploitative', 'cooperative')",-0.0090603,0.0342921,0.0433524
40,"('stingy', 'generous')",-0.8744708,-0.8921413,-0.017670500000000033
41,"('unforgiving', 'forgiving')",0.2488031,0.2583755,0.009572399999999981
42,"('unreliable', 'reliable')",-2.2218625,-2.1750788,0.04678369999999976
43,"('irresponsible', 'responsible')",0.7440585,0.746688,0.0026295000000000623
44,"('prejudiced', 'unprejudiced')",-1.218581,-1.2768272,-0.05824620000000014
45,"('incompetent', 'competent')",-0.0866643,-0.0835809,0.0030834
46,"('uncompetitive', 'competitive')",-0.8535959,-0.799297,0.05429889999999993
47,"('stupid', 'smart')",5.0445183,5.0804355,0.035917200000000093
48,"('unintelligent', 'intelligent')",0.3545758,0.3256512,-0.028924600000000023
49,"('unable', 'able')",-0.4261473,-0.3881772,0.03797010000000001
