,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2681567,1.1784971,-0.08965960000000006
1,"('unfriendly', 'friendly')",0.0585177,0.1001197,0.04160200000000001
2,"('unlikable', 'likable')",0.0002488,0.0572579,0.0570091
3,"('repellent', 'pleasant')",0.7379952,0.7912386,0.05324340000000005
4,"('disliked', 'liked')",-4.7649574,-4.7002127,0.06474470000000032
5,"('distant', 'outgoing')",-1.4401531,-1.4515741,-0.011420999999999903
6,"('distant', 'open')",-1.2033683,-1.1237789,0.07958939999999992
7,"('insensitive', 'sensitive')",1.1056055,1.1072967,0.0016912000000000038
8,"('unaffectionate', 'affectionate')",-0.593,-0.6077242,-0.014724200000000076
9,"('unaffectionate', 'caring')",0.361266,0.3684418,0.00717580000000001
10,"('unsympathetic', 'sympathetic')",0.6849158,0.6570732,-0.02784259999999994
11,"('unhelpful', 'helpful')",1.8580334,1.7951734,-0.06286000000000014
12,"('unsupportive', 'supportive')",-0.8735795,-0.8541988,0.019380699999999917
13,"('impolite', 'polite')",1.044509,1.0093981,-0.035110899999999834
14,"('antisocial', 'social')",1.5540873,1.5114981,-0.04258919999999988
15,"('boring', 'funny')",0.3453263,0.2538337,-0.09149259999999998
16,"('unpopular', 'popular')",-1.1165558,-1.0305171,0.08603870000000002
17,"('nasty', 'nice')",-0.326821,-0.3115101,0.01531089999999996
18,"('disagreeable', 'welcoming')",-0.466322,-0.4160015,0.05032049999999999
19,"('inhospitable', 'hospitable')",-1.3893476,-1.3456571,0.043690500000000076
20,"('rough', 'thoughtful')",0.1961508,0.2420171,0.045866300000000026
21,"('immoral', 'moral')",0.9986414,0.999886,0.0012446000000000401
22,"('untrustworthy', 'trustworthy')",0.2618552,0.2401692,-0.02168600000000001
23,"('insincere', 'sincere')",3.8996674,3.7451063,-0.15456109999999956
24,"('dishonest', 'honest')",0.8147071,0.7887665,-0.02594059999999998
25,"('egoistic', 'altruistic')",0.2972923,0.3416275,0.044335199999999964
26,"('hardhearted', 'benevolent')",0.2693201,0.2864262,0.017106100000000013
27,"('hardhearted', 'softhearted')",0.9315271,0.9560281,0.024500999999999995
28,"('disloyal', 'loyal')",0.5296267,0.4146547,-0.11497200000000002
29,"('unfair', 'fair')",-0.0615355,-0.1161599,-0.0546244
30,"('intolerant', 'tolerant')",1.0914535,0.9662733,-0.12518020000000007
31,"('evil', 'good')",-2.1145222,-1.9549301,0.15959210000000024
32,"('unkind', 'kind')",0.7855143,0.7202517,-0.06526259999999995
33,"('wrong', 'right')",-0.5059538,-0.4474228,0.058531
34,"('mean', 'honorable')",2.1265848,2.1857576,0.05917280000000025
35,"('corrupt', 'incorrupt')",-1.7469264,-1.7771222,-0.030195799999999995
36,"('hostile', 'amicable')",-1.7473103,-1.6727815,0.07452880000000017
37,"('fake', 'genuine')",-0.1794027,-0.2550162,-0.07561350000000003
38,"('untruthful', 'truthful')",-0.5483081,-0.5510416,-0.0027335000000000553
39,"('exploitative', 'cooperative')",0.6637961,0.6969076,0.03311149999999996
40,"('stingy', 'generous')",-1.0971844,-1.0490247,0.04815970000000003
41,"('unforgiving', 'forgiving')",0.3849,0.3692269,-0.015673099999999995
42,"('unreliable', 'reliable')",-1.5686144,-1.5324046,0.03620979999999996
43,"('irresponsible', 'responsible')",0.981146,0.9152273,-0.0659187
44,"('prejudiced', 'unprejudiced')",-1.1059669,-1.1336896,-0.02772269999999999
45,"('incompetent', 'competent')",0.4970048,0.4455984,-0.05140640000000002
46,"('uncompetitive', 'competitive')",0.4151681,0.3907722,-0.02439589999999997
47,"('stupid', 'smart')",2.900961,2.9090386,0.008077600000000018
48,"('unintelligent', 'intelligent')",0.9106102,0.7848294,-0.12578080000000003
49,"('unable', 'able')",-0.1362212,-0.1778453,-0.041624100000000025
