,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.7171034,-1.0352988,-0.31819540000000013
1,"('unfriendly', 'friendly')",-0.928679,-0.9583708,-0.029691799999999935
2,"('unlikable', 'likable')",0.0090177,-0.040309,-0.0493267
3,"('repellent', 'pleasant')",-0.3694855,-0.4740326,-0.1045471
4,"('disliked', 'liked')",-1.8138858,-1.7291516,0.08473419999999998
5,"('distant', 'outgoing')",-0.5763993,-0.3951656,0.18123369999999994
6,"('distant', 'open')",-1.1134371,-0.8949799,0.21845720000000002
7,"('insensitive', 'sensitive')",-0.6176713,-0.7349724,-0.11730109999999994
8,"('unaffectionate', 'affectionate')",-1.2249567,-1.2393573,-0.014400600000000097
9,"('unaffectionate', 'caring')",-1.3643041,-1.3993616,-0.035057499999999964
10,"('unsympathetic', 'sympathetic')",-1.4586778,-1.7689834,-0.31030559999999996
11,"('unhelpful', 'helpful')",-0.3222771,-0.5401602,-0.2178831
12,"('unsupportive', 'supportive')",-1.6067812,-1.6121982,-0.005417000000000005
13,"('impolite', 'polite')",-0.5640346,-0.8458078,-0.28177319999999995
14,"('antisocial', 'social')",-0.1251712,-0.3851694,-0.25999819999999996
15,"('boring', 'funny')",0.96829,0.9710323,0.0027422999999999753
16,"('unpopular', 'popular')",-0.2393716,-0.2008532,0.03851839999999998
17,"('nasty', 'nice')",-0.1097607,-0.0988857,0.010874999999999996
18,"('disagreeable', 'welcoming')",-0.6405603,-0.6010578,0.039502499999999996
19,"('inhospitable', 'hospitable')",-0.8293722,-0.7828609,0.04651130000000003
20,"('rough', 'thoughtful')",0.1910632,0.1895075,-0.0015556999999999932
21,"('immoral', 'moral')",0.0198645,-0.1173707,-0.1372352
22,"('untrustworthy', 'trustworthy')",0.3275881,0.1781545,-0.1494336
23,"('insincere', 'sincere')",0.9113079,0.6047661,-0.3065418
24,"('dishonest', 'honest')",-0.2476748,-0.3627509,-0.11507609999999999
25,"('egoistic', 'altruistic')",0.5622072,0.6299423,0.06773509999999994
26,"('hardhearted', 'benevolent')",-0.0872557,-0.1451644,-0.057908699999999994
27,"('hardhearted', 'softhearted')",0.3849789,0.3697733,-0.015205599999999986
28,"('disloyal', 'loyal')",-1.1906804,-1.3136969,-0.12301650000000008
29,"('unfair', 'fair')",-0.2399158,-0.2744422,-0.03452640000000001
30,"('intolerant', 'tolerant')",0.5010185,0.2975244,-0.2034941
31,"('evil', 'good')",-0.604843,-0.3363859,0.2684571
32,"('unkind', 'kind')",-0.1858178,-0.3796026,-0.1937848
33,"('wrong', 'right')",0.2030009,0.3103358,0.10733489999999998
34,"('mean', 'honorable')",0.8187829,0.8185724,-0.00021050000000000235
35,"('corrupt', 'incorrupt')",0.3544562,0.6003318,0.24587559999999997
