,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.1195043,-0.253216,-0.1337117
1,"('unfriendly', 'friendly')",-0.6370323,-0.6936389,-0.05660659999999995
2,"('unlikable', 'likable')",0.6698484,0.7097006,0.039852200000000004
3,"('repellent', 'pleasant')",0.5383586,0.5559392,0.017580599999999946
4,"('disliked', 'liked')",-2.328206,-2.360101,-0.03189499999999956
5,"('distant', 'outgoing')",-1.1020134,-1.0917028,0.010310599999999948
6,"('distant', 'open')",-1.1892483,-1.1263316,0.06291669999999994
7,"('insensitive', 'sensitive')",0.2692089,0.351665,0.08245610000000003
8,"('unaffectionate', 'affectionate')",-0.4763925,-0.5201503,-0.04375779999999996
9,"('unaffectionate', 'caring')",0.0374773,0.0684299,0.030952600000000004
10,"('unsympathetic', 'sympathetic')",-0.5463569,-0.6136965,-0.06733959999999994
11,"('unhelpful', 'helpful')",0.3661911,0.3296234,-0.03656769999999998
12,"('unsupportive', 'supportive')",-0.4185788,-0.29984,0.11873879999999998
13,"('impolite', 'polite')",-0.1166534,-0.1641756,-0.0475222
14,"('antisocial', 'social')",1.1393777,1.0781446,-0.06123310000000015
15,"('boring', 'funny')",-0.1039688,-0.1643969,-0.06042810000000001
16,"('unpopular', 'popular')",-0.8430352,-0.7966207,0.046414500000000025
17,"('nasty', 'nice')",-0.3957868,-0.3365147,0.059272099999999994
18,"('disagreeable', 'welcoming')",-0.654333,-0.5878148,0.06651820000000008
19,"('inhospitable', 'hospitable')",-0.759762,-0.8103228,-0.05056079999999996
20,"('rough', 'thoughtful')",0.1377948,0.1536235,0.0158287
21,"('immoral', 'moral')",-0.2173161,-0.1893802,0.027935900000000013
22,"('untrustworthy', 'trustworthy')",0.3477573,0.3594644,0.011707100000000026
23,"('insincere', 'sincere')",2.0822202,1.9881922,-0.094028
24,"('dishonest', 'honest')",0.3300614,0.3830494,0.05298799999999998
25,"('egoistic', 'altruistic')",-0.2016298,-0.1539042,0.04772560000000001
26,"('hardhearted', 'benevolent')",0.229811,0.0973359,-0.13247509999999998
27,"('hardhearted', 'softhearted')",-0.1524942,-0.1122637,0.0402305
28,"('disloyal', 'loyal')",0.0246407,-0.0657395,-0.09038020000000001
29,"('unfair', 'fair')",0.172491,0.0981224,-0.0743686
30,"('intolerant', 'tolerant')",0.3338439,0.3000525,-0.03379140000000003
31,"('evil', 'good')",-0.6396457,-0.5922048,0.04744090000000001
32,"('unkind', 'kind')",0.2670441,0.2204454,-0.04659869999999999
33,"('wrong', 'right')",-0.427007,-0.3840592,0.042947800000000036
34,"('mean', 'honorable')",1.5116998,1.6449111,0.13321130000000014
35,"('corrupt', 'incorrupt')",-0.6179789,-0.5816254,0.03635350000000004
36,"('hostile', 'amicable')",-0.9165215,-0.9650536,-0.04853209999999997
37,"('fake', 'genuine')",-0.0515554,-0.0095666,0.0419888
38,"('untruthful', 'truthful')",-0.280402,-0.2236956,0.05670639999999999
39,"('exploitative', 'cooperative')",0.9424852,1.0167719,0.07428669999999993
40,"('stingy', 'generous')",-0.1898423,-0.0811519,0.10869039999999999
41,"('unforgiving', 'forgiving')",0.3732047,0.3686432,-0.004561499999999996
42,"('unreliable', 'reliable')",-1.0052942,-0.9269535,0.07834070000000004
43,"('irresponsible', 'responsible')",0.0091569,0.0521451,0.0429882
44,"('prejudiced', 'unprejudiced')",-1.2561692,-1.2717141,-0.015544900000000084
45,"('incompetent', 'competent')",0.1649121,0.0891647,-0.0757474
46,"('uncompetitive', 'competitive')",-0.2530036,-0.2711917,-0.018188099999999985
47,"('stupid', 'smart')",1.6874505,1.6914537,0.004003200000000096
48,"('unintelligent', 'intelligent')",-0.4010549,-0.4282497,-0.02719480000000002
49,"('unable', 'able')",-0.7781603,-0.7486194,0.02954089999999998
50,"('clumsy', 'skillful')",-0.1106475,-0.1312124,-0.02056490000000001
51,"('uneducated', 'educated')",0.8491123,0.6745359,-0.17457640000000008
52,"('irrational', 'rational')",-0.9092321,-0.9691295,-0.05989739999999999
53,"('uncreative', 'creative')",-0.7811255,-0.7828884,-0.0017629000000000117
54,"('incapable', 'capable')",-0.3897472,-0.4753575,-0.08561029999999997
55,"('incompetent', 'clever')",0.3969688,0.3482809,-0.048687900000000006
56,"('impractical', 'practical')",0.4624207,0.4697036,0.007282899999999981
57,"('unimaginative', 'imaginative')",-1.403464,-1.4853338,-0.08186979999999999
58,"('undiscriminating', 'discriminating')",0.6773838,0.6072919,-0.07009189999999998
59,"('foolish', 'wise')",-0.1787607,-0.1588997,0.01986099999999999
60,"('inefficient', 'efficient')",0.1431097,0.1441133,0.0010035999999999934
61,"('illogical', 'logical')",-0.053848,-0.139397,-0.08554899999999999
62,"('incompetent', 'brilliant')",0.41459,0.4764727,0.06188270000000001
63,"('unperceptive', 'insightful')",0.4208833,0.4277246,0.006841299999999995
64,"('shy', 'confident')",-1.6639274,-1.6696902,-0.005762800000000068
65,"('insecure', 'secure')",0.3817477,0.2707919,-0.11095580000000005
66,"('inactive', 'active')",-0.4390639,-0.4523565,-0.013292599999999988
