,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.233505,0.1265512,-0.10695379999999999
1,"('unfriendly', 'friendly')",1.0098138,1.1080232,0.0982094
2,"('unlikable', 'likable')",0.3030373,0.4124034,0.10936609999999997
3,"('repellent', 'pleasant')",1.2172509,1.2345756,0.01732470000000008
4,"('disliked', 'liked')",-7.3667199,-7.330345,0.03637489999999932
5,"('distant', 'outgoing')",-0.9654265,-0.9625621,0.002864399999999989
6,"('distant', 'open')",-0.4615476,-0.4486995,0.012848100000000029
7,"('insensitive', 'sensitive')",1.019379,1.0165067,-0.002872299999999939
8,"('unaffectionate', 'affectionate')",0.6059919,0.6359809,0.029988999999999932
9,"('unaffectionate', 'caring')",1.0957162,1.1842907,0.0885745
10,"('unsympathetic', 'sympathetic')",1.0246487,1.021685,-0.0029637000000000135
11,"('unhelpful', 'helpful')",1.9477251,1.9600191,0.012294000000000027
12,"('unsupportive', 'supportive')",-1.2854819,-1.2438634,0.0416185
13,"('impolite', 'polite')",0.5931172,0.5848535,-0.008263699999999985
14,"('antisocial', 'social')",0.1502269,0.1314389,-0.018788
15,"('boring', 'funny')",0.2312274,0.1583118,-0.0729156
16,"('unpopular', 'popular')",-0.848643,-0.7580224,0.09062060000000005
17,"('nasty', 'nice')",-0.6363201,-0.601725,0.0345951000000001
18,"('disagreeable', 'welcoming')",-0.036741,0.0038503,0.040591300000000004
19,"('inhospitable', 'hospitable')",-0.542889,-0.4909429,0.05194609999999994
20,"('rough', 'thoughtful')",0.5399331,0.5036866,-0.03624650000000007
21,"('immoral', 'moral')",0.2101591,0.2504541,0.040295000000000025
22,"('untrustworthy', 'trustworthy')",0.2980599,0.3200296,0.021969700000000036
23,"('insincere', 'sincere')",6.5983591,6.618617,0.020257900000000717
24,"('dishonest', 'honest')",1.5675255,1.6334213,0.06589580000000006
25,"('egoistic', 'altruistic')",0.5597559,0.5637628,0.004006900000000035
26,"('hardhearted', 'benevolent')",0.4547006,0.4536639,-0.0010367000000000015
27,"('hardhearted', 'softhearted')",1.5259757,1.4016623,-0.12431340000000013
28,"('disloyal', 'loyal')",0.6467034,0.6710224,0.02431899999999998
29,"('unfair', 'fair')",-0.1100312,-0.2164771,-0.10644590000000001
30,"('intolerant', 'tolerant')",1.0736063,1.06429,-0.009316300000000055
31,"('evil', 'good')",-1.279536,-1.1828527,0.09668330000000003
32,"('unkind', 'kind')",1.0313141,1.0706681,0.03935400000000011
33,"('wrong', 'right')",-0.5616651,-0.5476285,0.014036600000000066
34,"('mean', 'honorable')",4.750226,4.899564,0.1493380000000002
35,"('corrupt', 'incorrupt')",-1.2193791,-1.2567117,-0.03733260000000005
36,"('hostile', 'amicable')",-0.8824553,-0.8989073,-0.01645199999999991
37,"('fake', 'genuine')",0.7311035,0.7092263,-0.02187720000000004
38,"('untruthful', 'truthful')",-0.1730433,-0.1522093,0.02083400000000002
39,"('exploitative', 'cooperative')",0.2166926,0.238312,0.021619399999999983
40,"('stingy', 'generous')",-0.9708114,-1.0237003,-0.052888900000000016
41,"('unforgiving', 'forgiving')",0.5385125,0.5662322,0.027719700000000014
42,"('unreliable', 'reliable')",-2.4350576,-2.4155449,0.01951269999999994
43,"('irresponsible', 'responsible')",1.1978555,1.1734151,-0.02444040000000003
44,"('prejudiced', 'unprejudiced')",-1.1192327,-1.1489018,-0.029669100000000004
45,"('incompetent', 'competent')",0.0660277,0.0599032,-0.006124499999999998
46,"('uncompetitive', 'competitive')",-0.499395,-0.5186386,-0.019243599999999972
47,"('stupid', 'smart')",5.2424111,5.3321035,0.08969239999999967
48,"('unintelligent', 'intelligent')",0.5804213,0.5348562,-0.045565100000000025
49,"('unable', 'able')",-0.4561219,-0.4052397,0.050882200000000044
50,"('clumsy', 'skillful')",-0.6779507,-0.5984987,0.07945199999999997
51,"('uneducated', 'educated')",1.0369398,1.0408212,0.0038813999999998128
52,"('irrational', 'rational')",-0.7664303,-0.8517628,-0.08533250000000003
53,"('uncreative', 'creative')",-0.045375,0.0075013,0.0528763
54,"('incapable', 'capable')",1.2725465,1.4182595,0.14571299999999998
55,"('incompetent', 'clever')",1.1045687,1.0656359,-0.03893279999999999
56,"('impractical', 'practical')",0.2582375,0.2523255,-0.005912000000000028
57,"('unimaginative', 'imaginative')",-2.7118339,-2.7425519,-0.030718000000000245
58,"('undiscriminating', 'discriminating')",-0.0635555,-0.1002871,-0.0367316
59,"('foolish', 'wise')",-0.484164,-0.4248663,0.05929770000000001
60,"('inefficient', 'efficient')",0.9567277,0.9157116,-0.0410161
61,"('illogical', 'logical')",0.1292951,0.0524719,-0.0768232
62,"('incompetent', 'brilliant')",0.9860639,1.0267376,0.040673699999999924
63,"('unperceptive', 'insightful')",0.5217007,0.5778895,0.05618879999999993
64,"('shy', 'confident')",-5.7831913,-5.7898196,-0.006628300000000031
65,"('insecure', 'secure')",1.1872907,1.1003398,-0.08695089999999994
66,"('inactive', 'active')",-0.9067436,-0.9565014,-0.04975779999999996
67,"('doubtful', 'determined')",-1.1288243,-1.1134584,0.015365899999999932
68,"('dependent', 'independent')",-0.5787206,-0.5774177,0.0013028999999999957
69,"('lazy', 'industrious')",-2.1511616,-2.1045734,0.04658819999999997
70,"('lethargic', 'energetic')",1.4336193,1.3349619,-0.0986574
71,"('diffident', 'self-confident')",-0.4088299,-0.3532124,0.05561750000000004
72,"('unambitious', 'ambitious')",0.603514,0.6147058,0.011191799999999974
73,"('helpless', 'self-reliant')",-2.6102936,-2.6032414,0.007052199999999953
74,"('undedicated', 'dedicated')",-0.1356884,-0.2046634,-0.06897500000000001
75,"('meek', 'impulsive')",-0.8112544,-0.7304591,0.08079530000000001
76,"('anxious', 'daring')",0.8063469,0.753053,-0.053293900000000005
77,"('unmotivated', 'motivated')",-1.21517,-1.1690161,0.04615390000000019
78,"('nonresilient', 'resilient')",-0.9484546,-0.9074236,0.04103100000000004
79,"('wavering', 'unwavering')",-0.8390232,-0.7772625,0.0617607
80,"('dominated', 'dominating')",-0.0505924,-0.0672054,-0.016612999999999996
81,"('submissive', 'aggressive')",0.381677,0.3798251,-0.001851899999999962
82,"('poor', 'rich')",5.698673,5.8569883,0.15831529999999994
83,"('powerless', 'powerful')",-1.0089416,-1.0462898,-0.037348200000000054
84,"('inferior', 'superior')",-0.1343808,-0.092653,0.041727799999999995
85,"('insignificant', 'prestigious')",-1.7134037,-1.6003303,0.11307339999999999
86,"('uninfluential', 'influential')",0.2677414,0.23758,-0.030161400000000005
87,"('unsuccessful', 'successful')",-0.4777165,-0.4072667,0.0704498
88,"('low', 'eminent')",-0.4489905,-0.3975488,0.051441700000000035
