,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.483236,0.4108988,-0.07233719999999999
1,"('unfriendly', 'friendly')",0.7815682,0.7319968,-0.04957140000000004
2,"('unlikable', 'likable')",0.1895955,0.2364162,0.04682069999999999
3,"('repellent', 'pleasant')",1.5554402,1.5040909,-0.05134930000000004
4,"('disliked', 'liked')",-7.5425231,-7.5456703,-0.0031471999999999056
5,"('distant', 'outgoing')",-0.7916451,-0.8683874,-0.07674230000000004
6,"('distant', 'open')",-0.5882592,-0.6554479,-0.06718869999999999
7,"('insensitive', 'sensitive')",1.2793009,1.2932224,0.013921500000000142
8,"('unaffectionate', 'affectionate')",0.3159074,0.2469619,-0.06894549999999999
9,"('unaffectionate', 'caring')",0.9302189,0.9505654,0.020346500000000045
10,"('unsympathetic', 'sympathetic')",1.2085574,1.288368,0.07981060000000006
11,"('unhelpful', 'helpful')",2.1510153,2.2378657,0.08685039999999988
12,"('unsupportive', 'supportive')",-1.1891308,-1.1059959,0.08313490000000012
13,"('impolite', 'polite')",0.6888446,0.7038123,0.014967699999999917
14,"('antisocial', 'social')",0.4317338,0.4527822,0.021048400000000023
15,"('boring', 'funny')",0.3472731,0.2602893,-0.0869838
16,"('unpopular', 'popular')",-1.0493205,-1.055689,-0.006368499999999999
17,"('nasty', 'nice')",-0.4286717,-0.3870424,0.04162929999999998
18,"('disagreeable', 'welcoming')",-0.2439569,-0.239035,0.004921900000000007
19,"('inhospitable', 'hospitable')",-0.6860795,-0.6547342,0.03134529999999991
20,"('rough', 'thoughtful')",0.5952529,0.498368,-0.0968849
21,"('immoral', 'moral')",0.5664204,0.6967155,0.1302951
22,"('untrustworthy', 'trustworthy')",0.4988499,0.5071129,0.008262999999999965
23,"('insincere', 'sincere')",6.723901,6.6838461,-0.04005489999999945
24,"('dishonest', 'honest')",1.6884018,1.741704,0.053302199999999855
25,"('egoistic', 'altruistic')",0.5287277,0.4726589,-0.05606880000000003
26,"('hardhearted', 'benevolent')",0.0423825,0.0635383,0.02115580000000001
27,"('hardhearted', 'softhearted')",1.4428664,1.3211859,-0.12168050000000008
28,"('disloyal', 'loyal')",0.6008711,0.6407233,0.039852200000000004
29,"('unfair', 'fair')",-0.276534,-0.3296161,-0.05308210000000002
30,"('intolerant', 'tolerant')",1.0890146,1.1332696,0.04425499999999993
31,"('evil', 'good')",-1.4567435,-1.4778121,-0.021068599999999993
32,"('unkind', 'kind')",0.7951166,0.844877,0.04976040000000004
33,"('wrong', 'right')",-0.4775043,-0.4281001,0.04940420000000001
34,"('mean', 'honorable')",4.8483933,4.9349153,0.08652200000000043
35,"('corrupt', 'incorrupt')",-1.5921894,-1.6081974,-0.016008000000000022
36,"('hostile', 'amicable')",-1.3485127,-1.4164713,-0.06795860000000009
37,"('fake', 'genuine')",0.8580649,0.8605546,0.002489699999999928
38,"('untruthful', 'truthful')",-0.230575,-0.225161,0.005414000000000002
39,"('exploitative', 'cooperative')",0.3408109,0.3917444,0.050933499999999965
40,"('stingy', 'generous')",-0.9199234,-1.0193166,-0.09939320000000007
41,"('unforgiving', 'forgiving')",0.3508394,0.3628848,0.012045399999999984
42,"('unreliable', 'reliable')",-2.1770756,-2.1428779,0.03419770000000044
43,"('irresponsible', 'responsible')",1.1422112,1.1406482,-0.001562999999999981
44,"('prejudiced', 'unprejudiced')",-1.1213687,-1.1920074,-0.07063869999999994
45,"('incompetent', 'competent')",0.4201879,0.4102279,-0.009960000000000024
46,"('uncompetitive', 'competitive')",-0.2763112,-0.2489276,0.02738359999999998
47,"('stupid', 'smart')",5.15883,5.2169955,0.058165500000000314
48,"('unintelligent', 'intelligent')",0.6619463,0.6436483,-0.018298000000000036
49,"('unable', 'able')",-0.4496031,-0.4053351,0.044267999999999974
50,"('clumsy', 'skillful')",-0.7445952,-0.7465664,-0.0019711999999999508
51,"('uneducated', 'educated')",1.1923098,1.2137615,0.02145169999999985
52,"('irrational', 'rational')",-0.8929821,-0.9647182,-0.07173609999999997
53,"('uncreative', 'creative')",-0.1542935,-0.1947596,-0.040466100000000005
54,"('incapable', 'capable')",1.1120952,1.2040488,0.09195360000000008
55,"('incompetent', 'clever')",1.5975269,1.613323,0.01579609999999998
56,"('impractical', 'practical')",0.7423492,0.8188596,0.07651039999999998
