,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.1601819,-0.2707939,-0.11061199999999999
1,"('unfriendly', 'friendly')",-0.2013417,-0.2070694,-0.0057276999999999745
2,"('unlikable', 'likable')",0.9296655,0.92253,-0.007135500000000072
3,"('repellent', 'pleasant')",0.3786611,0.4064777,0.027816600000000025
4,"('disliked', 'liked')",-2.4326377,-2.4495444,-0.016906700000000274
5,"('distant', 'outgoing')",-0.7327052,-0.7397271,-0.007021900000000025
6,"('distant', 'open')",-0.5793094,-0.5491144,0.030194999999999972
7,"('insensitive', 'sensitive')",0.35312,0.3646801,0.011560100000000018
8,"('unaffectionate', 'affectionate')",-0.4714174,-0.4955711,-0.0241537
9,"('unaffectionate', 'caring')",0.081286,0.0860065,0.0047205000000000025
10,"('unsympathetic', 'sympathetic')",-0.6819636,-0.707927,-0.02596339999999997
11,"('unhelpful', 'helpful')",0.7103933,0.6588098,-0.051583500000000004
12,"('unsupportive', 'supportive')",-0.5546911,-0.5119108,0.04278029999999999
13,"('impolite', 'polite')",0.3941004,0.295079,-0.09902140000000004
14,"('antisocial', 'social')",0.3539716,0.3162444,-0.037727200000000016
15,"('boring', 'funny')",0.3296208,0.2502565,-0.0793643
16,"('unpopular', 'popular')",0.1577123,0.1462008,-0.011511500000000008
17,"('nasty', 'nice')",0.0300172,0.0261442,-0.0038730000000000014
18,"('disagreeable', 'welcoming')",0.0888397,0.1584185,0.0695788
19,"('inhospitable', 'hospitable')",-1.0804245,-1.0794821,0.0009423999999997879
20,"('rough', 'thoughtful')",-0.0671003,0.0114386,0.0785389
21,"('immoral', 'moral')",0.3139228,0.2733803,-0.04054249999999998
22,"('untrustworthy', 'trustworthy')",0.1628997,0.1687667,0.005866999999999983
23,"('insincere', 'sincere')",2.5308458,2.4448619,-0.0859839
24,"('dishonest', 'honest')",0.4293105,0.429803,0.0004925000000000068
25,"('egoistic', 'altruistic')",0.3484328,0.3710193,0.02258650000000001
26,"('hardhearted', 'benevolent')",0.3465296,0.3212803,-0.025249299999999975
27,"('hardhearted', 'softhearted')",0.0512914,0.0904148,0.0391234
28,"('disloyal', 'loyal')",-0.3811029,-0.4415535,-0.060450599999999965
29,"('unfair', 'fair')",-0.2312066,-0.2540662,-0.022859600000000008
30,"('intolerant', 'tolerant')",0.5502872,0.4835993,-0.06668789999999997
31,"('evil', 'good')",-0.8362087,-0.786921,0.049287700000000045
32,"('unkind', 'kind')",0.3199704,0.2622147,-0.057755699999999965
33,"('wrong', 'right')",0.308473,0.3043899,-0.004083100000000006
34,"('mean', 'honorable')",2.1108029,2.1473334,0.03653050000000002
35,"('corrupt', 'incorrupt')",-0.4515493,-0.4406851,0.01086419999999999
36,"('hostile', 'amicable')",-0.2474473,-0.266098,-0.018650699999999992
37,"('fake', 'genuine')",-0.3715267,-0.369458,0.002068699999999979
38,"('untruthful', 'truthful')",0.173938,0.1701928,-0.003745200000000004
39,"('exploitative', 'cooperative')",0.1853636,0.2011969,0.015833300000000022
40,"('stingy', 'generous')",-0.4572609,-0.4016833,0.055577600000000005
41,"('unforgiving', 'forgiving')",0.2211624,0.1983363,-0.022826100000000016
42,"('unreliable', 'reliable')",-0.8548906,-0.8191556,0.03573499999999996
43,"('irresponsible', 'responsible')",-0.2500497,-0.2534319,-0.003382200000000002
44,"('prejudiced', 'unprejudiced')",-0.2587225,-0.2342528,0.02446970000000001
45,"('incompetent', 'competent')",-0.5399872,-0.5465386,-0.006551399999999985
46,"('uncompetitive', 'competitive')",-0.5584847,-0.5872607,-0.028776000000000024
47,"('stupid', 'smart')",2.2642679,2.2747378,0.010469899999999921
48,"('unintelligent', 'intelligent')",-0.0606515,-0.0788629,-0.018211400000000003
49,"('unable', 'able')",-0.6955536,-0.6399077,0.055645900000000026
50,"('clumsy', 'skillful')",0.005029,0.0085651,0.0035361000000000012
51,"('uneducated', 'educated')",0.1873595,0.1021544,-0.0852051
52,"('irrational', 'rational')",-0.1129693,-0.1819641,-0.0689948
53,"('uncreative', 'creative')",-0.5901427,-0.5709578,0.01918490000000006
54,"('incapable', 'capable')",0.2872998,0.2591806,-0.02811920000000001
55,"('incompetent', 'clever')",-0.1184824,-0.1096095,0.008872900000000003
56,"('impractical', 'practical')",-0.0775883,-0.1233186,-0.0457303
57,"('unimaginative', 'imaginative')",-1.4630623,-1.4730637,-0.010001399999999938
58,"('undiscriminating', 'discriminating')",-0.5331414,-0.5180821,0.015059299999999998
59,"('foolish', 'wise')",0.1522406,0.156268,0.0040273999999999865
60,"('inefficient', 'efficient')",0.0643433,0.0634234,-0.0009199000000000013
