,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.6892921,-0.8707988,-0.18150670000000002
1,"('unfriendly', 'friendly')",-0.6686822,-0.742397,-0.07371479999999997
2,"('unlikable', 'likable')",0.5318272,0.5589977,0.027170499999999986
3,"('repellent', 'pleasant')",0.4633846,0.5263483,0.06296370000000001
4,"('disliked', 'liked')",-3.2059849,-3.224949,-0.01896410000000026
5,"('distant', 'outgoing')",-1.0661201,-1.0402606,0.025859499999999924
6,"('distant', 'open')",-0.9547455,-0.893543,0.06120250000000005
7,"('insensitive', 'sensitive')",-0.1006467,-0.0954234,0.0052233
8,"('unaffectionate', 'affectionate')",-0.8364911,-0.9440656,-0.1075744999999999
9,"('unaffectionate', 'caring')",-0.2158955,-0.2116644,0.004231099999999988
10,"('unsympathetic', 'sympathetic')",-0.6561903,-0.6926883,-0.03649800000000003
11,"('unhelpful', 'helpful')",1.2004186,1.1703153,-0.030103299999999944
12,"('unsupportive', 'supportive')",-1.3548406,-1.3345101,0.02033050000000003
13,"('impolite', 'polite')",-0.2073123,-0.2395323,-0.03222
14,"('antisocial', 'social')",-0.3418115,-0.4096416,-0.0678301
15,"('boring', 'funny')",0.5521232,0.442718,-0.10940520000000004
16,"('unpopular', 'popular')",-0.4534731,-0.4558438,-0.0023707000000000034
17,"('nasty', 'nice')",0.1566442,0.1896289,0.03298469999999998
18,"('disagreeable', 'welcoming')",-0.0218992,0.0346726,0.0565718
19,"('inhospitable', 'hospitable')",-0.4957272,-0.484446,0.011281199999999991
20,"('rough', 'thoughtful')",-0.1943423,-0.1956401,-0.0012978000000000156
21,"('immoral', 'moral')",-0.5938987,-0.5685015,0.02539720000000001
22,"('untrustworthy', 'trustworthy')",-0.4098357,-0.3734727,0.036363000000000034
23,"('insincere', 'sincere')",3.4305541,3.307235,-0.12331910000000024
24,"('dishonest', 'honest')",0.2944699,0.3268368,0.032366899999999976
25,"('egoistic', 'altruistic')",0.387959,0.302955,-0.08500400000000002
26,"('hardhearted', 'benevolent')",-0.1346032,-0.1815827,-0.04697950000000001
27,"('hardhearted', 'softhearted')",0.1416595,0.0819294,-0.059730099999999994
28,"('disloyal', 'loyal')",0.0384366,-0.0209913,-0.059427900000000006
29,"('unfair', 'fair')",-0.5249192,-0.5497579,-0.02483869999999999
30,"('intolerant', 'tolerant')",0.3098077,0.3069328,-0.0028749000000000136
31,"('evil', 'good')",-1.0714527,-0.962207,0.1092457
32,"('unkind', 'kind')",-0.0991854,-0.1802029,-0.08101749999999999
33,"('wrong', 'right')",-0.2293833,-0.1950316,0.03435170000000001
34,"('mean', 'honorable')",2.6022773,2.6901289,0.08785160000000003
35,"('corrupt', 'incorrupt')",0.1808289,0.1613285,-0.019500399999999973
36,"('hostile', 'amicable')",-0.3039753,-0.2871928,0.016782499999999978
37,"('fake', 'genuine')",-0.0173053,-0.0145892,0.002716099999999999
38,"('untruthful', 'truthful')",-0.1142739,-0.1034283,0.010845599999999997
39,"('exploitative', 'cooperative')",0.2962395,0.3791703,0.08293080000000003
40,"('stingy', 'generous')",-0.8407186,-0.8871887,-0.04647010000000007
41,"('unforgiving', 'forgiving')",0.3096863,0.2971782,-0.012508100000000022
42,"('unreliable', 'reliable')",-1.4751037,-1.4308274,0.044276299999999935
43,"('irresponsible', 'responsible')",-0.2080332,-0.2127288,-0.004695599999999994
44,"('prejudiced', 'unprejudiced')",-0.7847916,-0.699057,0.0857346
45,"('incompetent', 'competent')",-0.6956746,-0.6988873,-0.0032126999999999573
46,"('uncompetitive', 'competitive')",-0.7370637,-0.7070947,0.029969000000000023
47,"('stupid', 'smart')",2.1848145,2.1277455,-0.057068999999999814
