,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.2368489,-0.5012741,-0.2644251999999999
1,"('unfriendly', 'friendly')",-0.3024343,-0.450333,-0.1478987
2,"('unlikable', 'likable')",0.164452,0.2274065,0.06295450000000002
3,"('repellent', 'pleasant')",-0.6476909,-0.5863717,0.06131919999999991
4,"('disliked', 'liked')",-1.3993522,-1.4545294,-0.055177199999999926
5,"('distant', 'outgoing')",-0.0898685,-0.0903516,-0.0004831000000000002
6,"('distant', 'open')",0.0461217,0.0909579,0.04483619999999999
7,"('insensitive', 'sensitive')",0.1483171,0.1052122,-0.0431049
8,"('unaffectionate', 'affectionate')",-0.0484945,-0.1429369,-0.09444240000000001
9,"('unaffectionate', 'caring')",0.0065635,-0.045465,-0.0520285
10,"('unsympathetic', 'sympathetic')",-1.1765395,-1.3929322,-0.21639269999999988
11,"('unhelpful', 'helpful')",0.1430235,0.0065006,-0.1365229
12,"('unsupportive', 'supportive')",-0.6768418,-0.6328099,0.04403190000000001
13,"('impolite', 'polite')",-0.4718039,-0.6433565,-0.1715526
14,"('antisocial', 'social')",-0.0935276,-0.2120767,-0.1185491
15,"('boring', 'funny')",0.3717319,0.2144462,-0.1572857
16,"('unpopular', 'popular')",-0.3411327,-0.2391554,0.10197730000000002
17,"('nasty', 'nice')",-0.5080972,-0.6110734,-0.10297619999999996
18,"('disagreeable', 'welcoming')",-0.67994,-0.5377982,0.14214179999999998
19,"('inhospitable', 'hospitable')",0.070799,0.0216759,-0.0491231
20,"('rough', 'thoughtful')",0.2865242,0.2710052,-0.015519000000000005
21,"('immoral', 'moral')",-1.0049715,-1.0000516,0.004919899999999977
22,"('untrustworthy', 'trustworthy')",-0.2909708,-0.3890906,-0.09811980000000003
23,"('insincere', 'sincere')",1.3018856,1.1073599,-0.19452570000000002
24,"('dishonest', 'honest')",-0.2338147,-0.3114407,-0.07762600000000003
25,"('egoistic', 'altruistic')",0.6457013,0.7349967,0.08929539999999991
26,"('hardhearted', 'benevolent')",0.0785001,-0.0922466,-0.1707467
27,"('hardhearted', 'softhearted')",-0.0737169,-0.0604714,0.0132455
28,"('disloyal', 'loyal')",-0.4656488,-0.7068637,-0.2412149
29,"('unfair', 'fair')",0.1189474,-0.0022013,-0.1211487
30,"('intolerant', 'tolerant')",-0.0267998,-0.1850137,-0.15821390000000002
31,"('evil', 'good')",-0.3196982,-0.3004662,0.01923199999999997
32,"('unkind', 'kind')",-0.3857566,-0.4950582,-0.1093016
33,"('wrong', 'right')",0.0797709,0.1659055,0.0861346
34,"('mean', 'honorable')",1.8218463,1.846612,0.02476569999999989
35,"('corrupt', 'incorrupt')",0.4721454,0.5018298,0.0296844
36,"('hostile', 'amicable')",0.14612,0.0845693,-0.0615507
37,"('fake', 'genuine')",0.3625201,0.3688259,0.0063057999999999725
38,"('untruthful', 'truthful')",-0.0634975,-0.1037969,-0.0402994
39,"('exploitative', 'cooperative')",-0.2099748,-0.1811622,0.028812599999999994
40,"('stingy', 'generous')",-0.3428816,-0.2832455,0.059636100000000025
41,"('unforgiving', 'forgiving')",0.140489,-0.0405914,-0.1810804
42,"('unreliable', 'reliable')",-1.0239906,-1.0077959,0.016194700000000006
43,"('irresponsible', 'responsible')",-0.8363569,-0.9539787,-0.1176218
44,"('prejudiced', 'unprejudiced')",-0.9113154,-0.8448365,0.06647890000000001
45,"('incompetent', 'competent')",-0.0264656,-0.3338796,-0.307414
46,"('uncompetitive', 'competitive')",-0.7582857,-0.924029,-0.16574330000000004
47,"('stupid', 'smart')",1.566657,1.4925472,-0.0741098
48,"('unintelligent', 'intelligent')",-0.5153456,-0.6228928,-0.10754720000000006
49,"('unable', 'able')",-0.7479043,-0.7481585,-0.0002541999999999822
50,"('clumsy', 'skillful')",0.3440369,0.4001674,0.05613050000000003
51,"('uneducated', 'educated')",0.1915131,0.0507892,-0.14072389999999999
52,"('irrational', 'rational')",-0.5587492,-0.572085,-0.013335800000000009
53,"('uncreative', 'creative')",-0.4366773,-0.468168,-0.03149069999999998
54,"('incapable', 'capable')",-0.1240596,-0.1172353,0.006824300000000005
55,"('incompetent', 'clever')",-0.0269894,-0.1438354,-0.116846
56,"('impractical', 'practical')",0.0056378,-0.1284917,-0.13412949999999998
57,"('unimaginative', 'imaginative')",-1.2276231,-1.4738341,-0.24621099999999996
58,"('undiscriminating', 'discriminating')",0.3412352,0.1853871,-0.15584810000000002
59,"('foolish', 'wise')",-0.1499472,-0.0647018,0.0852454
60,"('inefficient', 'efficient')",-0.3859743,-0.4582601,-0.07228580000000001
61,"('illogical', 'logical')",-0.318326,-0.4869078,-0.1685818
62,"('incompetent', 'brilliant')",-0.4201146,-0.4105221,0.009592500000000004
63,"('unperceptive', 'insightful')",0.1070307,0.0321968,-0.07483390000000001
64,"('shy', 'confident')",-2.12182,-2.1235024,-0.0016823999999999728
65,"('insecure', 'secure')",-0.531919,-0.6963335,-0.16441450000000002
66,"('inactive', 'active')",0.2410251,0.2416539,0.0006288000000000127
67,"('doubtful', 'determined')",-0.2110977,-0.245742,-0.03464429999999999
68,"('dependent', 'independent')",-0.5674002,-0.5298162,0.03758400000000006
69,"('lazy', 'industrious')",0.6240648,0.8041585,0.18009370000000002
70,"('lethargic', 'energetic')",-0.0553043,-0.1640506,-0.10874629999999999
71,"('diffident', 'self-confident')",0.3865339,0.3744817,-0.012052200000000013
72,"('unambitious', 'ambitious')",-0.5648202,-0.5640464,0.0007738000000000467
73,"('helpless', 'self-reliant')",-0.3917829,-0.2660317,0.1257512
74,"('undedicated', 'dedicated')",0.1903021,0.0757052,-0.1145969
75,"('meek', 'impulsive')",0.3486037,0.350594,0.0019903000000000004
76,"('anxious', 'daring')",0.0404261,0.0299898,-0.010436299999999999
77,"('unmotivated', 'motivated')",-1.171589,-1.1350164,0.036572599999999955
78,"('nonresilient', 'resilient')",-0.1543438,-0.0864413,0.0679025
79,"('wavering', 'unwavering')",-0.113197,-0.2285861,-0.11538909999999998
80,"('dominated', 'dominating')",-0.4872183,-0.474821,0.0123973
81,"('submissive', 'aggressive')",-0.4935977,-0.6602519,-0.16665420000000003
82,"('poor', 'rich')",1.5600991,1.4806872,-0.07941189999999998
83,"('powerless', 'powerful')",-0.5536303,-0.59978,-0.04614969999999996
