,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5512911,0.4991087,-0.05218240000000002
1,"('unfriendly', 'friendly')",1.257902,1.2154215,-0.04248050000000014
2,"('unlikable', 'likable')",0.3661178,0.4027379,0.03662009999999999
3,"('repellent', 'pleasant')",1.4801406,1.496711,0.016570399999999985
4,"('disliked', 'liked')",-7.6817945,-7.6845264,-0.0027319000000005644
5,"('distant', 'outgoing')",-0.512424,-0.6187166,-0.10629259999999996
6,"('distant', 'open')",-0.2009035,-0.2891846,-0.0882811
7,"('insensitive', 'sensitive')",1.1835844,1.2111256,0.027541199999999932
8,"('unaffectionate', 'affectionate')",0.7382768,0.6531326,-0.0851442
9,"('unaffectionate', 'caring')",1.189809,1.2080746,0.018265600000000104
10,"('unsympathetic', 'sympathetic')",1.0927831,1.1480247,0.0552416
11,"('unhelpful', 'helpful')",2.2220566,2.291892,0.06983539999999966
12,"('unsupportive', 'supportive')",-1.1661972,-1.0999353,0.06626189999999998
13,"('impolite', 'polite')",0.6192503,0.6226539,0.003403599999999951
14,"('antisocial', 'social')",0.313871,0.3520672,0.038196200000000013
15,"('boring', 'funny')",0.6137908,0.4948665,-0.11892429999999998
16,"('unpopular', 'popular')",-0.8027925,-0.8137975,-0.011004999999999932
17,"('nasty', 'nice')",-0.3218855,-0.3472437,-0.025358199999999997
18,"('disagreeable', 'welcoming')",0.0230434,0.0228776,-0.0001657999999999972
19,"('inhospitable', 'hospitable')",-0.262763,-0.297222,-0.03445899999999996
20,"('rough', 'thoughtful')",0.5399785,0.5243509,-0.015627600000000075
21,"('immoral', 'moral')",0.3091926,0.4432743,0.13408170000000003
22,"('untrustworthy', 'trustworthy')",0.374926,0.4062956,0.0313696
23,"('insincere', 'sincere')",6.9272577,6.914856,-0.012401699999999849
24,"('dishonest', 'honest')",1.7063799,1.739325,0.03294510000000006
25,"('egoistic', 'altruistic')",0.7635925,0.7434294,-0.02016309999999999
26,"('hardhearted', 'benevolent')",0.4817574,0.5060719,0.024314500000000017
27,"('hardhearted', 'softhearted')",1.8488038,1.7393275,-0.10947630000000008
28,"('disloyal', 'loyal')",0.804615,0.8136803,0.009065300000000054
29,"('unfair', 'fair')",-0.2383986,-0.318515,-0.0801164
30,"('intolerant', 'tolerant')",1.015532,1.0507575,0.03522549999999991
31,"('evil', 'good')",-1.2474646,-1.2645263,-0.017061699999999957
32,"('unkind', 'kind')",0.8803421,0.9049739,0.02463179999999998
33,"('wrong', 'right')",-0.4847116,-0.4563931,0.028318500000000024
34,"('mean', 'honorable')",5.0646586,5.1752004,0.11054180000000002
35,"('corrupt', 'incorrupt')",-1.2761399,-1.3523516,-0.0762117
36,"('hostile', 'amicable')",-0.9585076,-1.0460893,-0.08758169999999998
37,"('fake', 'genuine')",0.8857038,0.8512062,-0.03449760000000002
38,"('untruthful', 'truthful')",-0.2519533,-0.2570515,-0.005098199999999997
39,"('exploitative', 'cooperative')",0.1345437,0.1731154,0.038571700000000014
40,"('stingy', 'generous')",-0.691656,-0.7862216,-0.09456559999999992
41,"('unforgiving', 'forgiving')",0.4236439,0.4493206,0.025676699999999997
42,"('unreliable', 'reliable')",-2.1858526,-2.1408789,0.044973699999999894
43,"('irresponsible', 'responsible')",1.2669494,1.3015225,0.03457310000000002
44,"('prejudiced', 'unprejudiced')",-1.1250341,-1.1647724,-0.039738300000000004
45,"('incompetent', 'competent')",0.452262,0.4882144,0.035952399999999995
46,"('uncompetitive', 'competitive')",-0.4538854,-0.3855267,0.0683587
47,"('stupid', 'smart')",5.4821378,5.5056731,0.023535299999999815
48,"('unintelligent', 'intelligent')",0.8037708,0.7982923,-0.005478500000000053
49,"('unable', 'able')",-0.4522079,-0.3928329,0.05937500000000001
50,"('clumsy', 'skillful')",-0.6115306,-0.6508878,-0.03935719999999998
51,"('uneducated', 'educated')",1.0916838,1.121219,0.029535199999999984
52,"('irrational', 'rational')",-0.3877186,-0.4826801,-0.09496149999999998
53,"('uncreative', 'creative')",0.1573658,0.1641046,0.006738799999999989
54,"('incapable', 'capable')",1.2582112,1.3013915,0.04318029999999995
55,"('incompetent', 'clever')",1.4843991,1.5244742,0.04007509999999992
56,"('impractical', 'practical')",0.4129305,0.4882551,0.07532460000000002
57,"('unimaginative', 'imaginative')",-2.4005288,-2.345278,0.055250800000000044
58,"('undiscriminating', 'discriminating')",0.2303156,0.1900572,-0.0402584
59,"('foolish', 'wise')",-0.5406164,-0.5668982,-0.026281800000000022
60,"('inefficient', 'efficient')",0.9784869,1.0388886,0.06040169999999989
61,"('illogical', 'logical')",0.4146325,0.3642367,-0.05039579999999999
62,"('incompetent', 'brilliant')",1.4358944,1.5020521,0.06615769999999999
63,"('unperceptive', 'insightful')",0.8585037,0.8694767,0.01097300000000001
64,"('shy', 'confident')",-5.9543023,-5.9083377,0.045964600000000466
