,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.3974565,0.2717174,-0.1257391
1,"('unfriendly', 'friendly')",0.9864163,0.9234191,-0.06299719999999998
2,"('unlikable', 'likable')",0.0783393,0.1200915,0.0417522
3,"('repellent', 'pleasant')",1.2983136,1.2133559,-0.08495769999999991
4,"('disliked', 'liked')",-7.6330852,-7.5536824,0.07940280000000044
5,"('distant', 'outgoing')",-0.6948936,-0.7553486,-0.060455000000000036
6,"('distant', 'open')",-0.3874122,-0.4548104,-0.06739820000000002
7,"('insensitive', 'sensitive')",1.1742776,1.0938968,-0.08038079999999992
8,"('unaffectionate', 'affectionate')",0.5742266,0.5367356,-0.03749100000000005
9,"('unaffectionate', 'caring')",1.0675255,1.0947298,0.02720430000000018
10,"('unsympathetic', 'sympathetic')",1.3213497,1.3164295,-0.004920200000000152
11,"('unhelpful', 'helpful')",2.1707099,2.1713623,0.0006524000000003305
12,"('unsupportive', 'supportive')",-1.1824962,-1.1033518,0.07914440000000011
13,"('impolite', 'polite')",0.5072886,0.4865805,-0.02070809999999995
14,"('antisocial', 'social')",0.2949436,0.2967151,0.001771500000000037
15,"('boring', 'funny')",0.3759337,0.2646854,-0.11124829999999997
16,"('unpopular', 'popular')",-1.1181557,-1.0999334,0.018222299999999914
17,"('nasty', 'nice')",-0.1764488,-0.1998533,-0.023404500000000023
18,"('disagreeable', 'welcoming')",-0.1396684,-0.1294906,0.010177799999999987
19,"('inhospitable', 'hospitable')",-0.3992482,-0.3412634,0.0579848
20,"('rough', 'thoughtful')",0.5494281,0.3862863,-0.16314179999999995
21,"('immoral', 'moral')",0.4026867,0.4939797,0.09129300000000001
22,"('untrustworthy', 'trustworthy')",0.320149,0.3088856,-0.011263400000000034
23,"('insincere', 'sincere')",6.7763645,6.6501968,-0.12616769999999988
24,"('dishonest', 'honest')",1.828712,1.8595494,0.030837400000000015
25,"('egoistic', 'altruistic')",0.5954765,0.5542473,-0.041229199999999966
26,"('hardhearted', 'benevolent')",0.2178721,0.2670737,0.04920160000000001
27,"('hardhearted', 'softhearted')",1.3915092,1.2154523,-0.17605690000000007
28,"('disloyal', 'loyal')",0.7480438,0.7738458,0.02580199999999999
29,"('unfair', 'fair')",-0.3247963,-0.3863112,-0.06151490000000004
30,"('intolerant', 'tolerant')",1.1541017,1.1608679,0.0067661999999999445
31,"('evil', 'good')",-1.3107244,-1.252254,0.05847040000000003
32,"('unkind', 'kind')",0.845155,0.8724441,0.027289099999999955
33,"('wrong', 'right')",-0.572878,-0.5061072,0.06677080000000002
34,"('mean', 'honorable')",4.7926074,4.8765687,0.08396130000000035
35,"('corrupt', 'incorrupt')",-1.2612167,-1.252158,0.009058699999999975
36,"('hostile', 'amicable')",-1.161274,-1.1627659,-0.0014918999999999905
37,"('fake', 'genuine')",0.8936618,0.8429945,-0.05066729999999997
38,"('untruthful', 'truthful')",-0.0886265,-0.1024544,-0.013827900000000004
39,"('exploitative', 'cooperative')",0.4050375,0.4092021,0.004164600000000018
40,"('stingy', 'generous')",-0.9741079,-1.0871727,-0.11306479999999997
41,"('unforgiving', 'forgiving')",0.3219201,0.3221257,0.00020560000000002798
42,"('unreliable', 'reliable')",-2.2771506,-2.2043128,0.07283780000000029
43,"('irresponsible', 'responsible')",1.1387098,1.0841613,-0.05454849999999989
44,"('prejudiced', 'unprejudiced')",-1.1777397,-1.2651232,-0.08738349999999984
45,"('incompetent', 'competent')",0.2322951,0.141946,-0.09034910000000002
46,"('uncompetitive', 'competitive')",-0.3733468,-0.3773652,-0.004018400000000033
47,"('stupid', 'smart')",5.1993623,5.1877083,-0.011654000000000053
48,"('unintelligent', 'intelligent')",0.6080607,0.5516735,-0.05638719999999997
49,"('unable', 'able')",-0.3879177,-0.361254,0.026663699999999957
50,"('clumsy', 'skillful')",-0.7410194,-0.7188069,0.02221249999999997
51,"('uneducated', 'educated')",1.0402556,1.0452182,0.004962600000000039
52,"('irrational', 'rational')",-0.6619997,-0.6789193,-0.016919600000000035
53,"('uncreative', 'creative')",-0.1167973,-0.1288191,-0.012021799999999985
54,"('incapable', 'capable')",1.2824596,1.3878756,0.10541600000000018
55,"('incompetent', 'clever')",1.3097942,1.2197608,-0.09003340000000004
56,"('impractical', 'practical')",0.6048807,0.6195153,0.014634599999999942
57,"('unimaginative', 'imaginative')",-2.5534459,-2.5475169,0.005928999999999629
58,"('undiscriminating', 'discriminating')",-0.0368454,-0.0892073,-0.0523619
59,"('foolish', 'wise')",-0.5512972,-0.4463864,0.10491080000000003
60,"('inefficient', 'efficient')",1.1965388,1.1046515,-0.0918873
61,"('illogical', 'logical')",0.2098279,0.1231664,-0.08666150000000002
62,"('incompetent', 'brilliant')",1.4983221,1.4373833,-0.06093879999999996
63,"('unperceptive', 'insightful')",0.6104892,0.5922402,-0.01824899999999996
64,"('shy', 'confident')",-5.4150609,-5.2991044,0.11595650000000024
65,"('insecure', 'secure')",1.1888866,1.1418703,-0.04701630000000012
66,"('inactive', 'active')",-0.8130792,-0.8113621,0.001717100000000027
67,"('doubtful', 'determined')",-0.9451121,-0.8802125,0.06489960000000006
68,"('dependent', 'independent')",-0.7667138,-0.7768788,-0.01016499999999998
69,"('lazy', 'industrious')",-2.2432872,-2.156876,0.08641120000000013
70,"('lethargic', 'energetic')",1.6729792,1.4902034,-0.18277580000000015
71,"('diffident', 'self-confident')",-0.2690472,-0.242718,0.026329199999999997
72,"('unambitious', 'ambitious')",0.6676803,0.7017743,0.03409399999999996
73,"('helpless', 'self-reliant')",-2.8052846,-2.7155372,0.08974739999999981
74,"('undedicated', 'dedicated')",0.0227899,-0.0956291,-0.118419
75,"('meek', 'impulsive')",-0.821125,-0.7797197,0.04140529999999998
76,"('anxious', 'daring')",0.9665006,0.867703,-0.09879760000000004
77,"('unmotivated', 'motivated')",-0.9173771,-0.864167,0.05321009999999993
78,"('nonresilient', 'resilient')",-0.6349297,-0.6945607,-0.05963099999999999
79,"('wavering', 'unwavering')",-0.6658644,-0.6401365,0.025727900000000026
80,"('dominated', 'dominating')",0.1913964,0.1831651,-0.008231299999999997
81,"('submissive', 'aggressive')",0.7267229,0.7447817,0.01805880000000004
82,"('poor', 'rich')",5.8291797,5.7531358,-0.07604390000000016
83,"('powerless', 'powerful')",-0.8448446,-0.7809939,0.06385069999999993
84,"('inferior', 'superior')",-0.067495,-0.0322108,0.0352842
85,"('insignificant', 'prestigious')",-2.0124488,-1.9423984,0.07005039999999996
86,"('uninfluential', 'influential')",0.5797871,0.5253405,-0.05444660000000001
87,"('unsuccessful', 'successful')",-0.353061,-0.2802628,0.07279820000000004
88,"('low', 'eminent')",-0.2121496,-0.2014597,0.010689900000000002
