,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2597652,0.0691931,-0.19057209999999997
1,"('unfriendly', 'friendly')",-1.6241644,-1.6699125,-0.04574809999999996
2,"('unlikable', 'likable')",0.0311869,0.061838,0.030651099999999997
3,"('repellent', 'pleasant')",-0.6481229,-0.6427412,0.005381699999999934
4,"('disliked', 'liked')",-2.4685289,-2.4677929,0.0007359999999998479
5,"('distant', 'outgoing')",-1.2971984,-1.2537389,0.043459499999999984
6,"('distant', 'open')",-1.0348886,-0.933012,0.10187659999999998
7,"('insensitive', 'sensitive')",-0.1186113,-0.0977556,0.020855700000000005
8,"('unaffectionate', 'affectionate')",-1.9147259,-1.9699907,-0.0552648
9,"('unaffectionate', 'caring')",-1.8729453,-1.8883399,-0.015394600000000036
10,"('unsympathetic', 'sympathetic')",-1.0283022,-1.0749251,-0.04662290000000002
11,"('unhelpful', 'helpful')",-0.1669909,-0.2146252,-0.04763429999999999
12,"('unsupportive', 'supportive')",-1.7210466,-1.6771138,0.04393279999999988
13,"('impolite', 'polite')",0.5301811,0.4293619,-0.10081919999999994
14,"('antisocial', 'social')",0.9591846,0.8763842,-0.08280040000000011
15,"('boring', 'funny')",0.648558,0.5300583,-0.11849969999999999
16,"('unpopular', 'popular')",-0.1889873,-0.1657489,0.023238399999999992
17,"('nasty', 'nice')",-0.5280394,-0.4908827,0.03715670000000004
18,"('disagreeable', 'welcoming')",-0.7838261,-0.7416007,0.04222539999999997
19,"('inhospitable', 'hospitable')",-1.5537018,-1.4889865,0.06471530000000003
20,"('rough', 'thoughtful')",0.4174168,0.4463888,0.028971999999999998
21,"('immoral', 'moral')",0.6726641,0.6730796,0.0004155000000000131
22,"('untrustworthy', 'trustworthy')",1.1181805,1.0943246,-0.02385590000000004
23,"('insincere', 'sincere')",0.9096446,0.7984894,-0.11115520000000001
24,"('dishonest', 'honest')",-0.0785715,-0.0918359,-0.013264399999999996
25,"('egoistic', 'altruistic')",-0.3535688,-0.369307,-0.01573819999999998
26,"('hardhearted', 'benevolent')",-0.3082093,-0.3904297,-0.08222039999999997
27,"('hardhearted', 'softhearted')",0.0346685,0.0488313,0.014162800000000003
28,"('disloyal', 'loyal')",-1.136867,-1.2551334,-0.1182664
29,"('unfair', 'fair')",0.3002855,0.200275,-0.10001049999999997
30,"('intolerant', 'tolerant')",0.1962983,0.1338757,-0.06242260000000002
31,"('evil', 'good')",-0.6451831,-0.6125303,0.03265280000000004
32,"('unkind', 'kind')",0.3916578,0.3431652,-0.0484926
33,"('wrong', 'right')",-0.1933138,-0.1492845,0.04402930000000002
34,"('mean', 'honorable')",1.0543339,1.1397327,0.08539879999999989
35,"('corrupt', 'incorrupt')",-0.0530323,-0.0371212,0.015911099999999997
36,"('hostile', 'amicable')",-0.8349842,-0.8573624,-0.022378200000000015
37,"('fake', 'genuine')",-0.0663587,-0.0164586,0.0499001
38,"('untruthful', 'truthful')",-0.6244771,-0.6127073,0.011769800000000052
39,"('exploitative', 'cooperative')",1.122676,1.1266934,0.004017399999999949
40,"('stingy', 'generous')",-1.3914744,-1.3885274,0.002946999999999811
41,"('unforgiving', 'forgiving')",0.1898607,0.1645344,-0.025326299999999996
42,"('unreliable', 'reliable')",-0.0391856,-0.0154327,0.0237529
43,"('irresponsible', 'responsible')",-0.3065837,-0.3260041,-0.019420400000000004
44,"('prejudiced', 'unprejudiced')",0.4955631,0.5765269,0.08096379999999997
45,"('incompetent', 'competent')",0.0382923,-0.0043503,-0.0426426
46,"('uncompetitive', 'competitive')",-0.2605059,-0.3051612,-0.04465530000000001
47,"('stupid', 'smart')",2.2725793,2.3020354,0.029456099999999985
48,"('unintelligent', 'intelligent')",-1.0626061,-1.1977869,-0.1351808000000001
49,"('unable', 'able')",-0.5783369,-0.5181273,0.060209600000000085
50,"('clumsy', 'skillful')",-0.1447904,-0.166537,-0.021746599999999977
51,"('uneducated', 'educated')",0.3003902,0.1466673,-0.1537229
52,"('irrational', 'rational')",-0.7194176,-0.7789842,-0.059566600000000025
53,"('uncreative', 'creative')",-1.8130765,-1.8263019,-0.013225400000000054
54,"('incapable', 'capable')",-0.1453446,-0.1618084,-0.0164638
55,"('incompetent', 'clever')",0.4189964,0.3372993,-0.08169709999999997
56,"('impractical', 'practical')",0.6122088,0.5288092,-0.08339960000000002
57,"('unimaginative', 'imaginative')",-1.785324,-1.8516781,-0.06635410000000008
58,"('undiscriminating', 'discriminating')",-0.088186,-0.1323457,-0.04415970000000001
59,"('foolish', 'wise')",-0.4893036,-0.4842298,0.005073800000000017
60,"('inefficient', 'efficient')",0.8645892,0.8190538,-0.04553539999999989
61,"('illogical', 'logical')",-0.4816238,-0.5736686,-0.09204479999999998
62,"('incompetent', 'brilliant')",0.0251793,0.0467331,0.021553799999999998
63,"('unperceptive', 'insightful')",-0.212431,-0.2611657,-0.04873469999999999
64,"('shy', 'confident')",-1.6120347,-1.6062486,0.005786099999999905
65,"('insecure', 'secure')",0.8326165,0.6764617,-0.15615479999999993
66,"('inactive', 'active')",-1.546521,-1.5334351,0.013085900000000095
67,"('doubtful', 'determined')",-0.0299665,-0.0466901,-0.016723599999999998
68,"('dependent', 'independent')",0.1333051,0.0921366,-0.04116850000000001
69,"('lazy', 'industrious')",-0.4265912,-0.297247,0.12934420000000002
70,"('lethargic', 'energetic')",0.2242425,0.1624697,-0.06177280000000002
71,"('diffident', 'self-confident')",-0.9042273,-0.9137473,-0.009520000000000084
72,"('unambitious', 'ambitious')",-0.570285,-0.6002074,-0.029922399999999905
73,"('helpless', 'self-reliant')",-0.2782341,-0.2142659,0.06396819999999998
74,"('undedicated', 'dedicated')",-0.2406723,-0.3190915,-0.07841919999999997
75,"('meek', 'impulsive')",-0.3079092,-0.2526863,0.05522290000000002
76,"('anxious', 'daring')",1.0304814,0.9721612,-0.058320200000000044
77,"('unmotivated', 'motivated')",-0.9408102,-0.9220895,0.018720700000000035
78,"('nonresilient', 'resilient')",-0.9301045,-0.9194618,0.010642700000000005
79,"('wavering', 'unwavering')",-1.0016589,-1.0384028,-0.03674390000000005
80,"('dominated', 'dominating')",0.4884763,0.4767156,-0.011760699999999957
81,"('submissive', 'aggressive')",0.1557939,0.0390399,-0.11675400000000001
82,"('poor', 'rich')",1.312227,1.2860544,-0.02617259999999999
83,"('powerless', 'powerful')",-0.3737654,-0.4414469,-0.06768149999999995
84,"('inferior', 'superior')",-0.0897473,-0.116842,-0.0270947
85,"('insignificant', 'prestigious')",-1.8951952,-1.8633088,0.03188640000000009
86,"('uninfluential', 'influential')",-1.5811669,-1.7529663,-0.17179940000000005
87,"('unsuccessful', 'successful')",0.0873287,0.0439822,-0.043346499999999996
88,"('low', 'eminent')",-0.9357328,-1.0012968,-0.06556399999999996
