,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1865066,0.0426282,-0.1438784
1,"('unfriendly', 'friendly')",1.2945161,1.1600823,-0.13443380000000005
2,"('unlikable', 'likable')",0.6213359,0.5997984,-0.021537500000000098
3,"('repellent', 'pleasant')",-0.1526302,-0.0950867,0.0575435
4,"('disliked', 'liked')",-2.3139204,-2.3358815,-0.021961099999999956
5,"('distant', 'outgoing')",-0.2352888,-0.2449627,-0.009673900000000013
6,"('distant', 'open')",-0.3677031,-0.3536817,0.014021400000000017
7,"('insensitive', 'sensitive')",-0.1243157,-0.1380877,-0.013772000000000006
8,"('unaffectionate', 'affectionate')",0.2896983,0.157925,-0.1317733
9,"('unaffectionate', 'caring')",0.7933685,0.7231862,-0.07018230000000003
10,"('unsympathetic', 'sympathetic')",-0.408261,-0.5006535,-0.09239249999999999
11,"('unhelpful', 'helpful')",0.4223266,0.3130237,-0.10930289999999998
12,"('unsupportive', 'supportive')",0.1666813,0.2213673,0.054685999999999985
13,"('impolite', 'polite')",-0.5191514,-0.5774239,-0.05827249999999995
14,"('antisocial', 'social')",0.1001764,0.0120651,-0.0881113
15,"('boring', 'funny')",0.486684,0.3827652,-0.10391879999999998
16,"('unpopular', 'popular')",-0.3475976,-0.3640159,-0.016418299999999997
17,"('nasty', 'nice')",-0.6268731,-0.6366035,-0.009730400000000028
18,"('disagreeable', 'welcoming')",-0.0464063,-0.0422132,0.004193099999999998
19,"('inhospitable', 'hospitable')",-0.5070943,-0.5561066,-0.04901230000000001
20,"('rough', 'thoughtful')",0.5392048,0.5659247,0.026719899999999908
21,"('immoral', 'moral')",-0.8587084,-0.8778879,-0.019179500000000016
22,"('untrustworthy', 'trustworthy')",-0.5683125,-0.6021516,-0.03383910000000001
23,"('insincere', 'sincere')",2.0664321,1.9309804,-0.13545170000000017
24,"('dishonest', 'honest')",0.1612231,0.1775865,0.0163634
25,"('egoistic', 'altruistic')",0.7513148,0.7374936,-0.013821199999999978
26,"('hardhearted', 'benevolent')",1.9077364,1.7099805,-0.1977559000000002
27,"('hardhearted', 'softhearted')",-0.0245512,-0.0550477,-0.0304965
28,"('disloyal', 'loyal')",0.1892825,0.0289737,-0.1603088
29,"('unfair', 'fair')",-0.7117491,-0.7280924,-0.01634329999999995
30,"('intolerant', 'tolerant')",-0.1008949,-0.1706449,-0.06974999999999999
31,"('evil', 'good')",-0.2638217,-0.1991202,0.0647015
32,"('unkind', 'kind')",0.2735431,0.1579776,-0.11556549999999999
33,"('wrong', 'right')",0.4911979,0.4652881,-0.02590980000000004
34,"('mean', 'honorable')",1.8224913,1.9332968,0.11080549999999989
35,"('corrupt', 'incorrupt')",-0.3750948,-0.3611119,0.01398290000000002
36,"('hostile', 'amicable')",0.1591478,0.0590452,-0.10010260000000001
37,"('fake', 'genuine')",-0.2570201,-0.2470948,0.00992529999999997
38,"('untruthful', 'truthful')",-0.2931566,-0.2959028,-0.002746200000000032
39,"('exploitative', 'cooperative')",0.7430172,0.7396948,-0.0033224000000000586
40,"('stingy', 'generous')",0.6536851,0.7156212,0.06193609999999994
41,"('unforgiving', 'forgiving')",0.662201,0.6162,-0.04600100000000007
42,"('unreliable', 'reliable')",-1.9042957,-1.934369,-0.03007329999999997
43,"('irresponsible', 'responsible')",-0.7811181,-0.817735,-0.03661689999999995
44,"('prejudiced', 'unprejudiced')",-1.7026436,-1.6857037,0.01693990000000012
45,"('incompetent', 'competent')",-0.3663264,-0.4511859,-0.08485949999999998
46,"('uncompetitive', 'competitive')",-0.4336389,-0.4757503,-0.04211140000000002
47,"('stupid', 'smart')",1.666717,1.627181,-0.039536000000000016
48,"('unintelligent', 'intelligent')",0.3715297,0.3183775,-0.05315220000000004
49,"('unable', 'able')",-0.671335,-0.6820115,-0.010676499999999978
50,"('clumsy', 'skillful')",-0.6562914,-0.7009753,-0.0446839
51,"('uneducated', 'educated')",0.1946519,0.0606143,-0.13403759999999998
52,"('irrational', 'rational')",-0.2942739,-0.3983918,-0.10411790000000004
53,"('uncreative', 'creative')",0.3625246,0.2402935,-0.12223109999999998
54,"('incapable', 'capable')",-0.0114731,-0.1607004,-0.1492273
55,"('incompetent', 'clever')",-0.2742523,-0.3252907,-0.051038399999999984
56,"('impractical', 'practical')",-0.0911745,-0.1052401,-0.014065599999999998
57,"('unimaginative', 'imaginative')",-1.0767432,-1.2057874,-0.12904420000000005
58,"('undiscriminating', 'discriminating')",0.6794419,0.6348925,-0.04454940000000007
59,"('foolish', 'wise')",-0.0994938,-0.1350097,-0.03551590000000002
60,"('inefficient', 'efficient')",-0.1113612,-0.0917995,0.019561699999999987
61,"('illogical', 'logical')",-0.1782757,-0.3114224,-0.13314669999999998
62,"('incompetent', 'brilliant')",-0.2332095,-0.2008905,0.03231899999999999
63,"('unperceptive', 'insightful')",0.0540638,0.0293286,-0.024735200000000002
