,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.0136907,-0.1593504,-0.1730411
1,"('unfriendly', 'friendly')",-0.1171429,-0.1851972,-0.06805430000000001
2,"('unlikable', 'likable')",0.4714414,0.4890263,0.017584900000000014
3,"('repellent', 'pleasant')",0.6527844,0.6664483,0.013663899999999951
4,"('disliked', 'liked')",-2.2133207,-2.1740932,0.03922749999999997
5,"('distant', 'outgoing')",-0.9998568,-1.0239139,-0.024057099999999942
6,"('distant', 'open')",-1.0130641,-1.0272849,-0.014220799999999922
7,"('insensitive', 'sensitive')",1.014936,0.9646449,-0.05029110000000003
8,"('unaffectionate', 'affectionate')",-0.8377235,-0.8924747,-0.0547512
9,"('unaffectionate', 'caring')",0.4021383,0.4006961,-0.0014422000000000046
10,"('unsympathetic', 'sympathetic')",-0.2313485,-0.3420074,-0.1106589
11,"('unhelpful', 'helpful')",0.8296732,0.8186353,-0.011037900000000045
12,"('unsupportive', 'supportive')",0.0220242,0.0334528,0.011428599999999997
13,"('impolite', 'polite')",0.3345123,0.2231685,-0.11134379999999999
14,"('antisocial', 'social')",0.4608058,0.4155813,-0.0452245
15,"('boring', 'funny')",0.1983622,0.1403268,-0.05803539999999999
16,"('unpopular', 'popular')",-0.6228788,-0.5989437,0.023935099999999987
17,"('nasty', 'nice')",-0.4385221,-0.413384,0.025138100000000052
18,"('disagreeable', 'welcoming')",-0.3556251,-0.3263929,0.02923220000000004
19,"('inhospitable', 'hospitable')",-1.0189303,-1.0221464,-0.003216099999999944
20,"('rough', 'thoughtful')",0.6098153,0.6289438,0.019128500000000104
21,"('immoral', 'moral')",0.6910953,0.6432233,-0.047871999999999915
22,"('untrustworthy', 'trustworthy')",-0.3506856,-0.402621,-0.05193540000000002
23,"('insincere', 'sincere')",2.6841042,2.5798588,-0.10424540000000038
24,"('dishonest', 'honest')",0.7573512,0.7253081,-0.03204309999999999
25,"('egoistic', 'altruistic')",0.5248866,0.5249064,1.980000000001425e-05
26,"('hardhearted', 'benevolent')",0.2547016,0.2397154,-0.014986199999999977
27,"('hardhearted', 'softhearted')",0.5624069,0.5722516,0.009844699999999929
28,"('disloyal', 'loyal')",0.5241791,0.4465798,-0.07759929999999998
29,"('unfair', 'fair')",-0.0187857,-0.1125552,-0.09376949999999999
30,"('intolerant', 'tolerant')",1.1971282,1.1534297,-0.043698500000000084
31,"('evil', 'good')",-1.1464597,-1.0921387,0.054321000000000064
32,"('unkind', 'kind')",0.6266169,0.5624653,-0.06415160000000009
33,"('wrong', 'right')",-0.1911219,-0.1703961,0.020725800000000016
34,"('mean', 'honorable')",2.4084239,2.4252349,0.01681100000000013
35,"('corrupt', 'incorrupt')",-0.8518447,-0.775458,0.07638670000000003
36,"('hostile', 'amicable')",-1.1942662,-1.2079668,-0.013700599999999952
37,"('fake', 'genuine')",0.4097641,0.3972308,-0.012533300000000025
38,"('untruthful', 'truthful')",0.0611139,0.0748311,0.013717199999999999
39,"('exploitative', 'cooperative')",0.9355247,0.972662,0.03713730000000004
40,"('stingy', 'generous')",0.2627342,0.2641477,0.001413500000000012
41,"('unforgiving', 'forgiving')",0.1945361,0.1539513,-0.040584799999999976
42,"('unreliable', 'reliable')",-1.3452959,-1.3412847,0.0040111999999998815
43,"('irresponsible', 'responsible')",0.2159763,0.1439468,-0.0720295
44,"('prejudiced', 'unprejudiced')",-1.081171,-1.059835,0.02133600000000002
45,"('incompetent', 'competent')",-0.2094384,-0.2927076,-0.08326920000000002
46,"('uncompetitive', 'competitive')",-0.014663,-0.0890993,-0.07443630000000001
47,"('stupid', 'smart')",2.009879,1.9879537,-0.021925300000000147
48,"('unintelligent', 'intelligent')",1.2064178,1.1273367,-0.07908110000000002
49,"('unable', 'able')",-0.1819651,-0.151219,0.0307461
50,"('clumsy', 'skillful')",-0.4396858,-0.377633,0.06205280000000002
