,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.8193922,0.7996105,-0.019781700000000013
1,"('unfriendly', 'friendly')",1.5844342,1.5454448,-0.03898939999999995
2,"('unlikable', 'likable')",0.1612561,0.2590376,0.09778149999999997
3,"('repellent', 'pleasant')",0.8733522,0.8510052,-0.022347000000000006
4,"('disliked', 'liked')",-7.8572989,-7.7842384,0.07306050000000042
5,"('distant', 'outgoing')",-0.9028652,-0.9766317,-0.07376649999999996
6,"('distant', 'open')",-0.3035145,-0.3957002,-0.09218569999999998
7,"('insensitive', 'sensitive')",1.3071912,1.3499382,0.04274699999999987
8,"('unaffectionate', 'affectionate')",0.8163203,0.7374176,-0.07890269999999999
9,"('unaffectionate', 'caring')",1.4904464,1.51626,0.025813599999999992
10,"('unsympathetic', 'sympathetic')",0.8779047,0.8644858,-0.013418900000000011
11,"('unhelpful', 'helpful')",2.4405215,2.5190408,0.07851929999999996
12,"('unsupportive', 'supportive')",-1.3451557,-1.2518389,0.09331679999999998
13,"('impolite', 'polite')",0.72385,0.785067,0.061216999999999966
14,"('antisocial', 'social')",0.0851208,0.1370248,0.051904000000000006
15,"('boring', 'funny')",0.2288772,0.1119223,-0.1169549
16,"('unpopular', 'popular')",-0.685327,-0.6139401,0.07138690000000003
17,"('nasty', 'nice')",-0.2509175,-0.2516757,-0.0007581999999999867
18,"('disagreeable', 'welcoming')",0.2771479,0.3296835,0.052535600000000016
19,"('inhospitable', 'hospitable')",-0.3477658,-0.3742089,-0.026443099999999997
20,"('rough', 'thoughtful')",0.1949667,0.1284778,-0.06648889999999999
21,"('immoral', 'moral')",0.0547087,0.1679843,0.1132756
22,"('untrustworthy', 'trustworthy')",0.0328708,0.065541,0.0326702
23,"('insincere', 'sincere')",6.9902085,6.9217841,-0.06842439999999961
24,"('dishonest', 'honest')",1.9426646,1.9901683,0.047503699999999816
25,"('egoistic', 'altruistic')",1.0243081,1.007315,-0.016993100000000094
26,"('hardhearted', 'benevolent')",0.83428,0.8628236,0.028543600000000002
27,"('hardhearted', 'softhearted')",1.2300301,1.0943019,-0.13572819999999997
28,"('disloyal', 'loyal')",1.1382409,1.1834618,0.0452208999999999
29,"('unfair', 'fair')",-0.4521277,-0.5864513,-0.1343236
30,"('intolerant', 'tolerant')",0.9807624,1.0967667,0.11600430000000006
31,"('evil', 'good')",-1.4785958,-1.5059745,-0.02737870000000009
32,"('unkind', 'kind')",0.6508598,0.6636843,0.012824500000000016
33,"('wrong', 'right')",-0.1632459,-0.1412308,0.02201510000000001
34,"('mean', 'honorable')",5.5785441,5.668134,0.0895899
35,"('corrupt', 'incorrupt')",-1.5715279,-1.6878286,-0.11630070000000003
36,"('hostile', 'amicable')",-0.2468936,-0.3384503,-0.09155669999999999
37,"('fake', 'genuine')",0.3095167,0.2530917,-0.056425
38,"('untruthful', 'truthful')",0.3806152,0.4443205,0.06370530000000002
39,"('exploitative', 'cooperative')",0.5006739,0.6362867,0.13561279999999998
40,"('stingy', 'generous')",-1.1229272,-1.1936273,-0.07070010000000004
41,"('unforgiving', 'forgiving')",0.6854093,0.701441,0.016031699999999982
42,"('unreliable', 'reliable')",-2.9064264,-2.8903471,0.016079299999999908
43,"('irresponsible', 'responsible')",1.3271619,1.3510411,0.0238792000000001
44,"('prejudiced', 'unprejudiced')",-1.7808552,-1.8294082,-0.04855300000000007
45,"('incompetent', 'competent')",0.158363,0.1815242,0.023161199999999993
46,"('uncompetitive', 'competitive')",0.0439077,0.1250922,0.08118449999999999
47,"('stupid', 'smart')",5.7049934,5.6692096,-0.03578379999999992
48,"('unintelligent', 'intelligent')",0.6707647,0.624677,-0.046087699999999954
49,"('unable', 'able')",-0.4861225,-0.4360207,0.05010180000000003
50,"('clumsy', 'skillful')",-0.8941875,-0.934844,-0.040656499999999984
51,"('uneducated', 'educated')",0.7746431,0.7447444,-0.029898700000000056
52,"('irrational', 'rational')",0.1715695,0.0779595,-0.09361000000000001
53,"('uncreative', 'creative')",-0.2274875,-0.3002572,-0.07276969999999999
54,"('incapable', 'capable')",1.0963053,1.0650779,-0.031227400000000127
55,"('incompetent', 'clever')",1.3896607,1.4104703,0.020809599999999984
56,"('impractical', 'practical')",0.3488457,0.373247,0.024401300000000015
57,"('unimaginative', 'imaginative')",-2.7245963,-2.7524002,-0.02780389999999988
58,"('undiscriminating', 'discriminating')",0.2765047,0.2566137,-0.019890999999999992
59,"('foolish', 'wise')",-0.3747898,-0.35028,0.024509800000000026
60,"('inefficient', 'efficient')",1.0765892,1.1547658,0.07817660000000015
61,"('illogical', 'logical')",0.5677634,0.4924492,-0.07531420000000005
62,"('incompetent', 'brilliant')",0.5579735,0.6442725,0.08629900000000001
63,"('unperceptive', 'insightful')",0.2805055,0.325648,0.045142499999999974
64,"('shy', 'confident')",-6.2764418,-6.2183602,0.05808159999999951
65,"('insecure', 'secure')",1.3799771,1.3448925,-0.03508460000000002
66,"('inactive', 'active')",-0.6377418,-0.6946938,-0.056952
67,"('doubtful', 'determined')",-0.9960874,-0.9113804,0.08470699999999998
68,"('dependent', 'independent')",-0.7838364,-0.8413294,-0.057493000000000016
69,"('lazy', 'industrious')",-1.9738145,-1.96631,0.007504500000000025
70,"('lethargic', 'energetic')",1.3278655,1.2761656,-0.05169990000000002
71,"('diffident', 'self-confident')",-0.1023055,-0.0857873,0.016518199999999997
72,"('unambitious', 'ambitious')",0.2467044,0.2426603,-0.004044099999999995
73,"('helpless', 'self-reliant')",-3.0569929,-3.0443458,0.012647100000000133
74,"('undedicated', 'dedicated')",-0.126796,-0.2118962,-0.08510020000000001
75,"('meek', 'impulsive')",-1.3956269,-1.4229701,-0.027343200000000012
76,"('anxious', 'daring')",0.2827351,0.1260785,-0.1566566
77,"('unmotivated', 'motivated')",-1.0408441,-0.9553125,0.08553159999999993
78,"('nonresilient', 'resilient')",-0.547266,-0.5231936,0.024072399999999994
79,"('wavering', 'unwavering')",-0.4547975,-0.5609855,-0.106188
80,"('dominated', 'dominating')",-0.4549223,-0.3884997,0.0664226
81,"('submissive', 'aggressive')",0.1443339,0.1869119,0.042578000000000005
82,"('poor', 'rich')",5.8406407,5.7720151,-0.06862559999999984
83,"('powerless', 'powerful')",-0.8017963,-0.8197713,-0.017974999999999963
84,"('inferior', 'superior')",-0.2332122,-0.2452796,-0.012067399999999978
85,"('insignificant', 'prestigious')",-1.2493101,-1.2632131,-0.013902999999999999
86,"('uninfluential', 'influential')",0.1375929,0.0810039,-0.05658899999999999
87,"('unsuccessful', 'successful')",-0.5269346,-0.5213852,0.005549400000000038
88,"('low', 'eminent')",-0.4720979,-0.5115697,-0.0394718
