,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2357847,0.1442446,-0.09154010000000001
1,"('unfriendly', 'friendly')",1.5472831,1.5395809,-0.007702199999999992
2,"('unlikable', 'likable')",0.2374645,0.2527346,0.015270099999999981
3,"('repellent', 'pleasant')",0.9960663,0.9065818,-0.08948449999999997
4,"('disliked', 'liked')",-7.4414395,-7.5753048,-0.1338652999999992
5,"('distant', 'outgoing')",-0.4540499,-0.6496364,-0.1955865
6,"('distant', 'open')",-0.0614491,-0.1851387,-0.12368959999999998
7,"('insensitive', 'sensitive')",1.0480499,1.105102,0.05705209999999994
8,"('unaffectionate', 'affectionate')",0.9622298,0.8973127,-0.06491710000000006
9,"('unaffectionate', 'caring')",1.4306286,1.5278887,0.09726010000000018
10,"('unsympathetic', 'sympathetic')",0.9082017,1.0406366,0.13243490000000002
11,"('unhelpful', 'helpful')",1.9908995,2.1505306,0.15963110000000014
12,"('unsupportive', 'supportive')",-1.2103522,-1.1223346,0.08801759999999992
13,"('impolite', 'polite')",-0.0949929,0.004667,0.09965990000000001
14,"('antisocial', 'social')",-0.2063622,-0.1634271,0.042935100000000004
15,"('boring', 'funny')",0.4328705,0.2868698,-0.14600069999999998
16,"('unpopular', 'popular')",-0.7698946,-0.8682444,-0.09834980000000004
17,"('nasty', 'nice')",-0.9223417,-1.0050779,-0.08273620000000004
18,"('disagreeable', 'welcoming')",-0.070726,-0.0615811,0.009144899999999997
19,"('inhospitable', 'hospitable')",-0.2987741,-0.3273909,-0.028616799999999998
20,"('rough', 'thoughtful')",0.4031426,0.3914948,-0.011647800000000041
21,"('immoral', 'moral')",-0.1370386,0.0375823,0.17462090000000002
22,"('untrustworthy', 'trustworthy')",0.1039405,0.1865789,0.08263839999999999
23,"('insincere', 'sincere')",6.7748534,6.8636121,0.08875870000000052
24,"('dishonest', 'honest')",1.4205442,1.5458045,0.1252603000000001
25,"('egoistic', 'altruistic')",1.0383813,0.9093021,-0.12907919999999995
26,"('hardhearted', 'benevolent')",0.3336284,0.434579,0.1009506
27,"('hardhearted', 'softhearted')",1.2904383,1.087174,-0.20326429999999984
28,"('disloyal', 'loyal')",0.7816593,0.8615038,0.0798445000000001
29,"('unfair', 'fair')",-0.3497764,-0.4460977,-0.0963213
30,"('intolerant', 'tolerant')",0.9245526,1.0428111,0.11825850000000004
31,"('evil', 'good')",-1.3097229,-1.4421906,-0.13246770000000008
32,"('unkind', 'kind')",0.9317612,0.9718506,0.04008940000000005
33,"('wrong', 'right')",-0.4584518,-0.415983,0.04246880000000003
34,"('mean', 'honorable')",4.8747802,5.1014386,0.22665839999999982
35,"('corrupt', 'incorrupt')",-1.1799288,-1.2907959,-0.11086709999999989
36,"('hostile', 'amicable')",-0.6929741,-0.7349862,-0.0420121
37,"('fake', 'genuine')",0.7175837,0.7257464,0.008162699999999967
38,"('untruthful', 'truthful')",0.0780508,0.1793672,0.1013164
39,"('exploitative', 'cooperative')",-0.3511694,-0.2199706,0.13119880000000003
40,"('stingy', 'generous')",-0.9775184,-1.1918863,-0.21436789999999994
41,"('unforgiving', 'forgiving')",0.1470069,0.2115871,0.0645802
42,"('unreliable', 'reliable')",-2.4090407,-2.4364141,-0.027373400000000103
43,"('irresponsible', 'responsible')",0.8204745,0.9378771,0.11740260000000002
44,"('prejudiced', 'unprejudiced')",-1.2117344,-1.2545662,-0.042831799999999864
45,"('incompetent', 'competent')",-0.0543437,-0.0881991,-0.0338554
46,"('uncompetitive', 'competitive')",-0.6414209,-0.5214458,0.1199751
47,"('stupid', 'smart')",5.1424927,5.2667357,0.12424299999999988
48,"('unintelligent', 'intelligent')",0.5173959,0.5150907,-0.0023052000000000072
49,"('unable', 'able')",-0.5369363,-0.4506262,0.08631010000000006
50,"('clumsy', 'skillful')",-0.3660575,-0.4252112,-0.05915370000000003
51,"('uneducated', 'educated')",1.2131332,1.2088725,-0.004260699999999895
52,"('irrational', 'rational')",-0.47416,-0.5877318,-0.1135718
53,"('uncreative', 'creative')",0.3487342,0.2921219,-0.056612300000000004
54,"('incapable', 'capable')",1.6076042,1.7830795,0.1754753
55,"('incompetent', 'clever')",1.2638877,1.2824371,0.01854940000000016
56,"('impractical', 'practical')",0.1818508,0.2858321,0.10398129999999997
57,"('unimaginative', 'imaginative')",-2.5141733,-2.530021,-0.01584770000000013
58,"('undiscriminating', 'discriminating')",0.2821681,0.3005633,0.0183952
59,"('foolish', 'wise')",-0.4223844,-0.3811762,0.04120819999999997
60,"('inefficient', 'efficient')",0.6546889,0.7770155,0.12232659999999995
61,"('illogical', 'logical')",0.0231567,-0.0491117,-0.0722684
62,"('incompetent', 'brilliant')",0.7795922,0.7747889,-0.004803299999999955
63,"('unperceptive', 'insightful')",0.5789384,0.5997504,0.020812000000000053
64,"('shy', 'confident')",-5.9937452,-5.9928521,0.000893099999999869
65,"('insecure', 'secure')",0.8092077,0.8339275,0.02471980000000007
66,"('inactive', 'active')",-0.7031009,-0.8267249,-0.12362399999999996
67,"('doubtful', 'determined')",-1.2806877,-1.276613,0.004074700000000098
68,"('dependent', 'independent')",-0.401508,-0.3962871,0.005220899999999973
69,"('lazy', 'industrious')",-2.0170298,-2.0287087,-0.011678900000000159
70,"('lethargic', 'energetic')",1.6081598,1.4845378,-0.1236219999999999
71,"('diffident', 'self-confident')",0.0662972,0.0497644,-0.0165328
72,"('unambitious', 'ambitious')",0.442821,0.4881889,0.04536789999999996
73,"('helpless', 'self-reliant')",-2.7719213,-2.7741713,-0.0022500000000000853
74,"('undedicated', 'dedicated')",0.0026967,-0.0415084,-0.0442051
75,"('meek', 'impulsive')",-0.5506826,-0.577513,-0.026830400000000032
76,"('anxious', 'daring')",0.7088703,0.6064708,-0.10239949999999998
77,"('unmotivated', 'motivated')",-0.8444633,-0.6813648,0.16309850000000004
78,"('nonresilient', 'resilient')",-0.5710529,-0.5536649,0.01738799999999996
79,"('wavering', 'unwavering')",-0.4966067,-0.6166834,-0.12007669999999998
80,"('dominated', 'dominating')",-0.1096438,-0.0591623,0.0504815
81,"('submissive', 'aggressive')",0.5690141,0.6502727,0.08125860000000007
82,"('poor', 'rich')",6.1767668,6.1911928,0.014425999999999384
83,"('powerless', 'powerful')",-1.028106,-0.9818653,0.04624069999999991
84,"('inferior', 'superior')",0.0314114,0.051484,0.020072600000000003
85,"('insignificant', 'prestigious')",-1.3741413,-1.377512,-0.0033707000000000598
86,"('uninfluential', 'influential')",0.4884815,0.4754605,-0.013021000000000005
87,"('unsuccessful', 'successful')",-0.5019581,-0.4278723,0.07408579999999998
88,"('low', 'eminent')",-0.2977487,-0.2839987,0.013749999999999984
