,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.3330345,-0.4953783,-0.16234379999999998
1,"('unfriendly', 'friendly')",0.3834388,0.3212084,-0.06223040000000002
2,"('unlikable', 'likable')",0.2717755,0.3258151,0.05403960000000002
3,"('repellent', 'pleasant')",0.3232205,0.3568391,0.0336186
4,"('disliked', 'liked')",-3.2624789,-3.2328615,0.029617400000000238
5,"('distant', 'outgoing')",-0.4737061,-0.4869585,-0.013252399999999998
6,"('distant', 'open')",-0.651008,-0.653224,-0.0022159999999999958
7,"('insensitive', 'sensitive')",0.3201557,0.348573,0.028417300000000034
8,"('unaffectionate', 'affectionate')",-0.5918308,-0.6298352,-0.03800440000000005
9,"('unaffectionate', 'caring')",-0.0365834,-0.0364756,0.00010780000000000511
10,"('unsympathetic', 'sympathetic')",-1.0373499,-1.0685701,-0.031220200000000142
11,"('unhelpful', 'helpful')",0.6592222,0.6665447,0.0073225000000000096
12,"('unsupportive', 'supportive')",-1.2632446,-1.153707,0.1095375999999999
13,"('impolite', 'polite')",-0.1277983,-0.2162479,-0.08844959999999999
14,"('antisocial', 'social')",0.1156512,0.0933808,-0.022270399999999996
15,"('boring', 'funny')",0.3716887,0.28051,-0.0911787
16,"('unpopular', 'popular')",-0.0273133,0.0268383,0.054151599999999994
17,"('nasty', 'nice')",-0.2339058,-0.2281162,0.005789600000000006
18,"('disagreeable', 'welcoming')",-0.0870589,-0.0303468,0.056712099999999994
19,"('inhospitable', 'hospitable')",-0.9987739,-0.9976204,0.0011535000000000295
20,"('rough', 'thoughtful')",0.7010121,0.7395356,0.03852349999999993
21,"('immoral', 'moral')",-0.1361019,-0.1875341,-0.05143220000000001
22,"('untrustworthy', 'trustworthy')",-0.0670776,-0.0807143,-0.013636700000000002
23,"('insincere', 'sincere')",3.0619187,2.966713,-0.09520570000000017
24,"('dishonest', 'honest')",-0.0228324,-0.055606,-0.0327736
25,"('egoistic', 'altruistic')",0.9551443,0.9189211,-0.0362231999999999
26,"('hardhearted', 'benevolent')",0.5116098,0.4735785,-0.03803129999999999
27,"('hardhearted', 'softhearted')",0.2901364,0.315832,0.025695599999999985
28,"('disloyal', 'loyal')",0.0774294,0.0195358,-0.057893599999999996
29,"('unfair', 'fair')",-0.2897107,-0.4098941,-0.1201834
30,"('intolerant', 'tolerant')",0.8802087,0.8349769,-0.04523179999999993
31,"('evil', 'good')",-0.9781164,-0.992374,-0.014257599999999981
32,"('unkind', 'kind')",0.7818611,0.7539527,-0.027908399999999944
33,"('wrong', 'right')",-0.6864334,-0.7147059,-0.028272500000000034
34,"('mean', 'honorable')",3.0003652,3.0794813,0.0791160999999998
35,"('corrupt', 'incorrupt')",-0.2933916,-0.311061,-0.017669400000000002
36,"('hostile', 'amicable')",-0.6126918,-0.6652167,-0.052524899999999985
37,"('fake', 'genuine')",-0.2982322,-0.2935285,0.004703699999999977
38,"('untruthful', 'truthful')",-0.1223397,-0.1019942,0.020345500000000002
39,"('exploitative', 'cooperative')",0.5065609,0.5490147,0.042453799999999986
40,"('stingy', 'generous')",-0.3313862,-0.2877955,0.04359070000000004
41,"('unforgiving', 'forgiving')",0.1400629,0.1227945,-0.01726839999999999
42,"('unreliable', 'reliable')",-1.8422682,-1.6706182,0.17164999999999986
43,"('irresponsible', 'responsible')",-0.3786584,-0.3411179,0.03754050000000003
44,"('prejudiced', 'unprejudiced')",-0.4123183,-0.4308716,-0.018553299999999995
45,"('incompetent', 'competent')",-0.4227031,-0.4345833,-0.011880200000000007
46,"('uncompetitive', 'competitive')",-0.5202333,-0.5174414,0.0027918999999999583
47,"('stupid', 'smart')",2.7624777,2.773517,0.011039300000000196
48,"('unintelligent', 'intelligent')",0.996369,0.9326339,-0.06373509999999993
49,"('unable', 'able')",0.2634248,0.3330088,0.06958399999999998
