,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.9738076,0.954845,-0.01896259999999994
1,"('unfriendly', 'friendly')",0.9166734,0.8018404,-0.11483299999999996
2,"('unlikable', 'likable')",-0.1989056,-0.1600312,0.038874399999999976
3,"('repellent', 'pleasant')",1.4195157,1.4520591,0.0325434
4,"('disliked', 'liked')",-7.798612,-7.7523424,0.046269600000000466
5,"('distant', 'outgoing')",-1.5725375,-1.6782926,-0.1057551000000001
6,"('distant', 'open')",-0.9486516,-1.0721427,-0.12349109999999985
7,"('insensitive', 'sensitive')",2.0019136,1.9978,-0.0041135999999999395
8,"('unaffectionate', 'affectionate')",0.1359478,0.0060994,-0.1298484
9,"('unaffectionate', 'caring')",1.027452,0.9926169,-0.03483510000000001
10,"('unsympathetic', 'sympathetic')",2.0754234,2.1242032,0.04877980000000015
11,"('unhelpful', 'helpful')",2.2609461,2.373978,0.11303190000000019
12,"('unsupportive', 'supportive')",-1.092829,-1.0400846,0.052744400000000136
13,"('impolite', 'polite')",1.0780091,1.1455413,0.06753220000000004
14,"('antisocial', 'social')",0.5547704,0.6264415,0.07167109999999999
15,"('boring', 'funny')",0.3502713,0.2838027,-0.06646859999999999
16,"('unpopular', 'popular')",-1.4629859,-1.4628105,0.00017540000000004774
17,"('nasty', 'nice')",-0.5070902,-0.5075095,-0.0004192999999999003
18,"('disagreeable', 'welcoming')",-0.3447413,-0.4045178,-0.05977650000000001
19,"('inhospitable', 'hospitable')",-0.9507365,-0.9790731,-0.028336600000000045
20,"('rough', 'thoughtful')",1.4068598,1.3481316,-0.05872820000000001
21,"('immoral', 'moral')",0.9304459,1.0882987,0.1578527999999999
22,"('untrustworthy', 'trustworthy')",0.4767248,0.5609943,0.08426949999999994
23,"('insincere', 'sincere')",6.9273836,6.8781701,-0.04921349999999958
24,"('dishonest', 'honest')",2.0394164,2.1059273,0.06651089999999993
25,"('egoistic', 'altruistic')",0.7141715,0.6290143,-0.08515719999999993
26,"('hardhearted', 'benevolent')",0.527683,0.4940136,-0.033669400000000016
27,"('hardhearted', 'softhearted')",1.7149085,1.561324,-0.1535845
28,"('disloyal', 'loyal')",0.7738484,0.7324037,-0.0414447
29,"('unfair', 'fair')",-0.4720941,-0.5268357,-0.0547416
30,"('intolerant', 'tolerant')",1.5537984,1.6172363,0.06343790000000005
31,"('evil', 'good')",-2.0173151,-2.0351116,-0.017796500000000215
32,"('unkind', 'kind')",1.4059552,1.4273427,0.021387500000000115
33,"('wrong', 'right')",-0.5946949,-0.6414815,-0.04678660000000001
34,"('mean', 'honorable')",5.2369559,5.3445799,0.10762400000000039
35,"('corrupt', 'incorrupt')",-1.8985294,-2.0235437,-0.1250142999999999
36,"('hostile', 'amicable')",-0.913991,-1.0955677,-0.18157669999999992
37,"('fake', 'genuine')",1.3385006,1.3037977,-0.03470289999999987
38,"('untruthful', 'truthful')",-0.4006663,-0.3675023,0.03316399999999997
39,"('exploitative', 'cooperative')",0.7338317,0.799888,0.06605630000000007
40,"('stingy', 'generous')",-0.965474,-1.0847852,-0.11931119999999995
41,"('unforgiving', 'forgiving')",0.5131717,0.4480352,-0.06513649999999999
42,"('unreliable', 'reliable')",-2.2811715,-2.1978509,0.08332059999999997
