,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1953484,0.0209443,-0.1744041
1,"('unfriendly', 'friendly')",-0.4660092,-0.4480552,0.017954000000000025
2,"('unlikable', 'likable')",1.1697677,1.1948621,0.02509439999999996
3,"('repellent', 'pleasant')",0.9334237,0.9364063,0.0029826000000000574
4,"('disliked', 'liked')",-1.6172505,-1.6655811,-0.04833060000000011
5,"('distant', 'outgoing')",-1.1298972,-1.0883809,0.04151630000000006
6,"('distant', 'open')",-1.2779624,-1.1980043,0.07995810000000003
7,"('insensitive', 'sensitive')",0.3279586,0.3574382,0.029479599999999995
8,"('unaffectionate', 'affectionate')",-1.1062628,-1.1213009,-0.015038099999999943
9,"('unaffectionate', 'caring')",0.0245682,0.0654378,0.040869600000000006
10,"('unsympathetic', 'sympathetic')",0.1335562,0.0575093,-0.07604690000000001
11,"('unhelpful', 'helpful')",1.2648649,1.2428544,-0.022010500000000155
12,"('unsupportive', 'supportive')",0.0377349,0.0854951,0.0477602
13,"('impolite', 'polite')",0.4342179,0.3465441,-0.08767379999999997
14,"('antisocial', 'social')",1.1394419,1.0200946,-0.11934730000000005
15,"('boring', 'funny')",-0.0086914,-0.0487081,-0.040016699999999995
16,"('unpopular', 'popular')",-0.3301957,-0.2594928,0.07070289999999996
17,"('nasty', 'nice')",-0.1602095,-0.0876115,0.07259800000000001
18,"('disagreeable', 'welcoming')",-0.8562944,-0.7031608,0.15313359999999998
19,"('inhospitable', 'hospitable')",-0.6868803,-0.6510037,0.035876600000000036
20,"('rough', 'thoughtful')",0.1360228,0.1771143,0.0410915
21,"('immoral', 'moral')",1.128726,1.1178047,-0.010921299999999912
22,"('untrustworthy', 'trustworthy')",0.4226218,0.4266597,0.004037899999999983
23,"('insincere', 'sincere')",1.7372293,1.6173698,-0.11985950000000001
24,"('dishonest', 'honest')",-0.2994089,-0.2952648,0.004144099999999984
25,"('egoistic', 'altruistic')",0.1618332,0.2542711,0.09243790000000002
26,"('hardhearted', 'benevolent')",-0.2745606,-0.3219377,-0.047377100000000005
27,"('hardhearted', 'softhearted')",-0.4242376,-0.3362664,0.08797119999999997
28,"('disloyal', 'loyal')",0.1081035,0.0309271,-0.0771764
29,"('unfair', 'fair')",0.1193939,0.0542278,-0.0651661
30,"('intolerant', 'tolerant')",0.1778939,0.0941917,-0.08370219999999999
31,"('evil', 'good')",-0.8470774,-0.6708322,0.1762452
32,"('unkind', 'kind')",0.7363093,0.7107911,-0.025518200000000046
33,"('wrong', 'right')",-0.500464,-0.4560478,0.04441620000000002
34,"('mean', 'honorable')",1.3011585,1.3994979,0.09833939999999997
35,"('corrupt', 'incorrupt')",-1.0740652,-1.0373458,0.03671939999999996
36,"('hostile', 'amicable')",-0.9073698,-0.8643609,0.04300890000000002
37,"('fake', 'genuine')",-0.0158413,-0.0437974,-0.0279561
38,"('untruthful', 'truthful')",0.0548715,0.0360913,-0.018780199999999997
39,"('exploitative', 'cooperative')",0.1392138,0.2335837,0.0943699
40,"('stingy', 'generous')",-0.5872905,-0.5245041,0.06278640000000002
41,"('unforgiving', 'forgiving')",0.1767906,0.1655553,-0.011235300000000004
42,"('unreliable', 'reliable')",-0.3551285,-0.3364586,0.018669900000000017
43,"('irresponsible', 'responsible')",0.299133,0.281591,-0.017542000000000002
44,"('prejudiced', 'unprejudiced')",-0.8034548,-0.7480824,0.05537239999999999
45,"('incompetent', 'competent')",0.5074662,0.444731,-0.06273519999999999
46,"('uncompetitive', 'competitive')",0.5726379,0.532651,-0.03998690000000005
47,"('stupid', 'smart')",1.1178789,1.0662723,-0.05160659999999995
48,"('unintelligent', 'intelligent')",0.0986994,0.0173659,-0.0813335
49,"('unable', 'able')",0.0466514,0.0718508,0.025199400000000004
50,"('clumsy', 'skillful')",0.6378284,0.6119379,-0.025890499999999927
51,"('uneducated', 'educated')",1.3948711,1.1629938,-0.23187730000000006
52,"('irrational', 'rational')",-0.541417,-0.6159351,-0.07451809999999992
53,"('uncreative', 'creative')",0.0828264,0.1690043,0.0861779
54,"('incapable', 'capable')",-0.1111492,-0.1781333,-0.06698409999999999
55,"('incompetent', 'clever')",0.7659381,0.7001843,-0.06575379999999997
56,"('impractical', 'practical')",1.0043427,0.969569,-0.03477370000000002
57,"('unimaginative', 'imaginative')",0.1671913,0.1116735,-0.05551779999999999
58,"('undiscriminating', 'discriminating')",0.8148415,0.7685021,-0.04633940000000003
59,"('foolish', 'wise')",-0.0118186,-0.0546885,-0.0428699
60,"('inefficient', 'efficient')",1.182123,1.1307526,-0.05137039999999993
61,"('illogical', 'logical')",0.5405531,0.4855593,-0.05499379999999998
62,"('incompetent', 'brilliant')",1.062835,1.0552541,-0.0075809000000000015
63,"('unperceptive', 'insightful')",0.550978,0.5318514,-0.019126599999999994
64,"('shy', 'confident')",-1.0843968,-1.1734347,-0.08903790000000011
65,"('insecure', 'secure')",0.9644278,0.8583594,-0.10606839999999995
66,"('inactive', 'active')",-0.3892354,-0.361307,0.02792840000000002
67,"('doubtful', 'determined')",-0.1962074,-0.2707972,-0.07458980000000001
68,"('dependent', 'independent')",0.0882877,0.0530912,-0.0351965
69,"('lazy', 'industrious')",-0.5619756,-0.4941242,0.0678514
70,"('lethargic', 'energetic')",0.8536073,0.7858003,-0.06780699999999995
71,"('diffident', 'self-confident')",0.0319577,0.0553633,0.0234056
72,"('unambitious', 'ambitious')",0.5375769,0.4785609,-0.05901600000000001
73,"('helpless', 'self-reliant')",-0.3311802,-0.2822493,0.0489309
74,"('undedicated', 'dedicated')",0.9481521,0.9672863,0.01913419999999999
75,"('meek', 'impulsive')",0.5421732,0.5690367,0.02686349999999993
76,"('anxious', 'daring')",0.6176113,0.5601375,-0.05747380000000002
77,"('unmotivated', 'motivated')",0.2944999,0.3411247,0.04662480000000002
78,"('nonresilient', 'resilient')",0.3751538,0.5071058,0.13195200000000007
79,"('wavering', 'unwavering')",0.1604575,0.1499537,-0.010503800000000008
80,"('dominated', 'dominating')",0.9784857,0.9469831,-0.03150260000000005
81,"('submissive', 'aggressive')",0.7825586,0.5672618,-0.21529679999999995
82,"('poor', 'rich')",1.4122439,1.3370502,-0.07519370000000003
83,"('powerless', 'powerful')",-0.1124987,-0.2327052,-0.12020650000000001
84,"('inferior', 'superior')",-0.38749,-0.4213793,-0.03388930000000001
85,"('insignificant', 'prestigious')",-0.5432616,-0.5073286,0.03593299999999999
86,"('uninfluential', 'influential')",0.1777516,0.0930616,-0.08469000000000002
87,"('unsuccessful', 'successful')",1.2820301,1.1854048,-0.09662530000000014
88,"('low', 'eminent')",-0.4194647,-0.5527075,-0.1332428
