,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.5381912,-0.6569268,-0.11873560000000005
1,"('unfriendly', 'friendly')",0.0224322,-0.0436334,-0.0660656
2,"('unlikable', 'likable')",1.1564219,1.1682422,0.011820299999999895
3,"('repellent', 'pleasant')",-0.2615222,-0.2346236,0.026898599999999995
4,"('disliked', 'liked')",-1.193932,-1.187346,0.006585999999999981
5,"('distant', 'outgoing')",-0.0497521,-0.0641505,-0.014398399999999999
6,"('distant', 'open')",-0.1811544,-0.1815626,-0.00040819999999999745
7,"('insensitive', 'sensitive')",-0.3520143,-0.3230572,0.028957100000000013
8,"('unaffectionate', 'affectionate')",0.1061844,0.0613474,-0.044836999999999995
9,"('unaffectionate', 'caring')",0.4091519,0.4087373,-0.0004145999999999872
10,"('unsympathetic', 'sympathetic')",-1.1328068,-1.178818,-0.04601119999999992
11,"('unhelpful', 'helpful')",0.7035571,0.6206496,-0.08290750000000002
12,"('unsupportive', 'supportive')",0.0536759,0.149024,0.09534809999999999
13,"('impolite', 'polite')",-0.0285033,-0.0647553,-0.036252000000000006
14,"('antisocial', 'social')",0.3148209,0.3235958,0.008774899999999974
15,"('boring', 'funny')",0.6527722,0.5644441,-0.08832810000000002
16,"('unpopular', 'popular')",-0.6344348,-0.580994,0.053440799999999955
17,"('nasty', 'nice')",-0.1443108,-0.1100269,0.03428389999999999
18,"('disagreeable', 'welcoming')",0.1525445,0.234778,0.08223349999999999
19,"('inhospitable', 'hospitable')",-0.4198732,-0.4583531,-0.03847990000000001
20,"('rough', 'thoughtful')",0.0401889,0.1123481,0.0721592
21,"('immoral', 'moral')",-0.355217,-0.3339552,0.021261799999999997
22,"('untrustworthy', 'trustworthy')",-0.2008531,-0.1772018,0.023651300000000014
23,"('insincere', 'sincere')",1.2032359,1.092588,-0.11064790000000002
24,"('dishonest', 'honest')",0.3697737,0.3815782,0.011804499999999996
25,"('egoistic', 'altruistic')",0.463406,0.4407942,-0.02261179999999996
26,"('hardhearted', 'benevolent')",0.5596571,0.4792611,-0.08039600000000002
27,"('hardhearted', 'softhearted')",-0.0940725,-0.0839438,0.010128700000000004
28,"('disloyal', 'loyal')",-0.2461804,-0.3350806,-0.08890020000000001
29,"('unfair', 'fair')",-0.218553,-0.2936086,-0.0750556
30,"('intolerant', 'tolerant')",-0.0573231,-0.1061832,-0.048860100000000004
31,"('evil', 'good')",-0.0902258,-0.0680748,0.02215099999999999
32,"('unkind', 'kind')",0.1978504,0.1712673,-0.0265831
33,"('wrong', 'right')",0.3153235,0.2886785,-0.026644999999999974
34,"('mean', 'honorable')",1.5639328,1.6439131,0.07998030000000012
35,"('corrupt', 'incorrupt')",-0.3865413,-0.3906463,-0.004105000000000025
36,"('hostile', 'amicable')",0.3171882,0.2246161,-0.09257209999999996
37,"('fake', 'genuine')",-0.6366281,-0.632242,0.004386100000000059
38,"('untruthful', 'truthful')",0.2692441,0.2671354,-0.0021086999999999634
39,"('exploitative', 'cooperative')",0.4900385,0.5545198,0.06448130000000002
40,"('stingy', 'generous')",0.7652502,0.812051,0.046800799999999976
41,"('unforgiving', 'forgiving')",0.3844727,0.4056914,0.02121869999999998
42,"('unreliable', 'reliable')",-0.4668105,-0.407983,0.05882750000000003
43,"('irresponsible', 'responsible')",-0.9103662,-0.8715261,0.038840100000000044
44,"('prejudiced', 'unprejudiced')",-0.8218202,-0.7171999,0.1046203
45,"('incompetent', 'competent')",-1.2181649,-1.2778275,-0.05966259999999979
46,"('uncompetitive', 'competitive')",-0.7046503,-0.6828799,0.021770399999999968
47,"('stupid', 'smart')",1.0183185,1.024596,0.006277500000000158
48,"('unintelligent', 'intelligent')",-0.6492712,-0.7314494,-0.08217819999999998
49,"('unable', 'able')",-0.695043,-0.6642141,0.030828899999999937
50,"('clumsy', 'skillful')",-0.3435808,-0.3537493,-0.01016849999999997
51,"('uneducated', 'educated')",1.1755413,0.9811754,-0.19436589999999987
52,"('irrational', 'rational')",0.0276206,-0.0999971,-0.1276177
53,"('uncreative', 'creative')",-0.11132,-0.1556864,-0.0443664
54,"('incapable', 'capable')",0.1459888,0.0559757,-0.0900131
55,"('incompetent', 'clever')",-0.229349,-0.2560107,-0.026661699999999983
56,"('impractical', 'practical')",-0.404403,-0.4071444,-0.002741400000000005
57,"('unimaginative', 'imaginative')",-0.7842232,-0.8631811,-0.07895790000000003
58,"('undiscriminating', 'discriminating')",0.6723297,0.6573445,-0.014985200000000032
59,"('foolish', 'wise')",-0.1379037,-0.184223,-0.04631930000000001
60,"('inefficient', 'efficient')",-0.529052,-0.4872662,0.041785799999999984
61,"('illogical', 'logical')",0.271605,0.202646,-0.06895899999999999
62,"('incompetent', 'brilliant')",-0.1060513,-0.0581776,0.0478737
63,"('unperceptive', 'insightful')",0.3708461,0.3642533,-0.00659280000000001
64,"('shy', 'confident')",-1.383198,-1.3526043,0.030593699999999835
65,"('insecure', 'secure')",-0.114177,-0.1727187,-0.0585417
66,"('inactive', 'active')",0.5304504,0.5073441,-0.023106300000000024
67,"('doubtful', 'determined')",-0.2366159,-0.2931101,-0.056494199999999994
