,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1232662,-0.0452673,-0.1685335
1,"('unfriendly', 'friendly')",-0.0838899,-0.1180065,-0.0341166
2,"('unlikable', 'likable')",0.5204507,0.5348127,0.014361999999999986
3,"('repellent', 'pleasant')",1.0197033,0.9450675,-0.07463580000000003
4,"('disliked', 'liked')",-3.9024316,-3.8954296,0.007001999999999953
5,"('distant', 'outgoing')",-1.2036144,-1.1354681,0.06814629999999999
6,"('distant', 'open')",-1.4160229,-1.3473904,0.06863249999999987
7,"('insensitive', 'sensitive')",0.9132127,0.9056269,-0.007585799999999976
8,"('unaffectionate', 'affectionate')",-0.9121052,-0.9097694,0.002335799999999999
9,"('unaffectionate', 'caring')",-0.0776656,-0.0224772,0.0551884
10,"('unsympathetic', 'sympathetic')",0.3045611,0.1915327,-0.11302839999999997
11,"('unhelpful', 'helpful')",1.2319638,1.1900261,-0.041937699999999856
12,"('unsupportive', 'supportive')",-0.6372177,-0.5766331,0.06058459999999999
13,"('impolite', 'polite')",0.047758,-0.0548592,-0.10261719999999999
14,"('antisocial', 'social')",0.6788574,0.578426,-0.10043140000000006
15,"('boring', 'funny')",-0.1346723,-0.1769807,-0.042308399999999996
16,"('unpopular', 'popular')",-0.5080222,-0.4958565,0.012165700000000002
17,"('nasty', 'nice')",-0.7963876,-0.7654149,0.030972699999999964
18,"('disagreeable', 'welcoming')",-0.4886256,-0.5025586,-0.013932999999999973
19,"('inhospitable', 'hospitable')",-1.2517224,-1.2338415,0.017880899999999977
20,"('rough', 'thoughtful')",0.6027085,0.570313,-0.03239550000000002
21,"('immoral', 'moral')",0.4835123,0.3998261,-0.08368619999999999
22,"('untrustworthy', 'trustworthy')",0.3195098,0.2275555,-0.09195430000000002
23,"('insincere', 'sincere')",3.4277067,3.3224813,-0.10522539999999969
24,"('dishonest', 'honest')",0.8269357,0.8437547,0.016818999999999917
25,"('egoistic', 'altruistic')",0.2251386,0.2567482,0.03160959999999999
26,"('hardhearted', 'benevolent')",0.3057739,0.2713032,-0.034470699999999965
27,"('hardhearted', 'softhearted')",0.100256,0.0828069,-0.017449099999999995
28,"('disloyal', 'loyal')",0.6420226,0.6387073,-0.003315300000000021
29,"('unfair', 'fair')",-0.5194016,-0.6182714,-0.09886980000000001
30,"('intolerant', 'tolerant')",1.256318,1.1785374,-0.07778060000000009
31,"('evil', 'good')",-1.7033806,-1.6572728,0.04610779999999992
32,"('unkind', 'kind')",0.1995198,0.1281128,-0.071407
33,"('wrong', 'right')",-0.3910219,-0.3560464,0.03497549999999999
34,"('mean', 'honorable')",2.6789604,2.7387128,0.05975240000000026
35,"('corrupt', 'incorrupt')",-1.3618691,-1.2467551,0.11511400000000016
36,"('hostile', 'amicable')",-1.679774,-1.7114674,-0.03169339999999998
37,"('fake', 'genuine')",-0.1103908,-0.070189,0.040201799999999996
38,"('untruthful', 'truthful')",-0.2515424,-0.1757712,0.07577120000000001
39,"('exploitative', 'cooperative')",0.7857316,0.8215102,0.035778599999999994
40,"('stingy', 'generous')",-0.3424371,-0.3409472,0.0014898999999999885
41,"('unforgiving', 'forgiving')",0.1458277,0.044244,-0.1015837
42,"('unreliable', 'reliable')",-1.6146486,-1.6389913,-0.02434270000000005
43,"('irresponsible', 'responsible')",0.3791275,0.3444893,-0.03463820000000001
44,"('prejudiced', 'unprejudiced')",-1.1941847,-1.2381474,-0.0439626999999998
45,"('incompetent', 'competent')",0.1994141,0.0517541,-0.14766
46,"('uncompetitive', 'competitive')",0.5074546,0.4685945,-0.03886009999999995
47,"('stupid', 'smart')",2.408197,2.3968183,-0.011378699999999853
48,"('unintelligent', 'intelligent')",1.101016,1.0246674,-0.07634859999999999
49,"('unable', 'able')",-0.2258332,-0.1755162,0.050317
50,"('clumsy', 'skillful')",-0.2643093,-0.257299,0.007010300000000025
51,"('uneducated', 'educated')",0.8527116,0.7202848,-0.13242680000000007
52,"('irrational', 'rational')",-0.8943178,-0.9209898,-0.026671999999999918
53,"('uncreative', 'creative')",-0.2168686,-0.2349927,-0.018124100000000004
54,"('incapable', 'capable')",0.1850336,0.1916827,0.006649100000000019
55,"('incompetent', 'clever')",1.1283389,1.0063853,-0.12195359999999988
56,"('impractical', 'practical')",0.3306817,0.2870672,-0.0436145
57,"('unimaginative', 'imaginative')",-1.3544245,-1.4904937,-0.1360692000000001
58,"('undiscriminating', 'discriminating')",0.3721999,0.2869876,-0.08521229999999996
59,"('foolish', 'wise')",-0.5079768,-0.4319843,0.07599250000000002
60,"('inefficient', 'efficient')",1.1159292,1.0458711,-0.07005810000000001
61,"('illogical', 'logical')",0.2616542,0.1418319,-0.11982229999999999
62,"('incompetent', 'brilliant')",1.518639,1.5266696,0.008030599999999888
63,"('unperceptive', 'insightful')",0.8794721,0.8249144,-0.05455769999999993
64,"('shy', 'confident')",-2.3738641,-2.3967166,-0.022852499999999942
65,"('insecure', 'secure')",0.7186827,0.5553494,-0.16333330000000001
66,"('inactive', 'active')",-0.6019476,-0.5333375,0.06861010000000001
67,"('doubtful', 'determined')",-0.1263072,-0.1095528,0.016754400000000003
68,"('dependent', 'independent')",0.0591881,0.0140739,-0.0451142
69,"('lazy', 'industrious')",-0.9170259,-0.7982393,0.11878659999999996
70,"('lethargic', 'energetic')",0.8544183,0.7416791,-0.11273919999999993
71,"('diffident', 'self-confident')",-0.2747053,-0.2118444,0.0628609
72,"('unambitious', 'ambitious')",0.230176,0.240062,0.009886000000000006
73,"('helpless', 'self-reliant')",-1.3896383,-1.3292575,0.06038080000000012
74,"('undedicated', 'dedicated')",0.2263253,0.1664013,-0.059924000000000005
75,"('meek', 'impulsive')",-0.8332952,-0.7992974,0.03399779999999997
76,"('anxious', 'daring')",1.1253752,1.0632523,-0.06212289999999987
77,"('unmotivated', 'motivated')",0.1401644,0.1469328,0.006768400000000008
78,"('nonresilient', 'resilient')",0.3032175,0.3586571,0.05543960000000003
