,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.4585616,-0.5949795,-0.13641789999999998
1,"('unfriendly', 'friendly')",-1.0240223,-1.1154222,-0.09139990000000009
2,"('unlikable', 'likable')",0.1811615,0.2187698,0.03760829999999998
3,"('repellent', 'pleasant')",-0.3235565,-0.3363149,-0.012758400000000003
4,"('disliked', 'liked')",-2.8580281,-2.8309321,0.027095999999999787
5,"('distant', 'outgoing')",-0.8873043,-0.8552955,0.03200880000000006
6,"('distant', 'open')",-1.0947342,-1.057715,0.03701920000000003
7,"('insensitive', 'sensitive')",-0.3399182,-0.3734114,-0.0334932
8,"('unaffectionate', 'affectionate')",-1.4597819,-1.5939836,-0.13420169999999998
9,"('unaffectionate', 'caring')",-1.1766947,-1.2655857,-0.08889099999999983
10,"('unsympathetic', 'sympathetic')",-1.1215833,-1.2225395,-0.10095619999999994
11,"('unhelpful', 'helpful')",0.0478722,0.0026982,-0.045174
12,"('unsupportive', 'supportive')",-1.6320794,-1.6379628,-0.005883399999999872
13,"('impolite', 'polite')",-0.3874427,-0.4130236,-0.025580900000000018
14,"('antisocial', 'social')",0.262546,0.1631723,-0.09937370000000001
15,"('boring', 'funny')",0.4281092,0.3440049,-0.08410430000000002
16,"('unpopular', 'popular')",-0.7873117,-0.7394658,0.0478459
17,"('nasty', 'nice')",-0.6931512,-0.6553273,0.03782390000000002
18,"('disagreeable', 'welcoming')",-0.5695154,-0.5380846,0.03143079999999998
19,"('inhospitable', 'hospitable')",-1.3543635,-1.2428484,0.11151510000000009
20,"('rough', 'thoughtful')",0.4011227,0.3722814,-0.028841300000000014
21,"('immoral', 'moral')",-0.2722746,-0.2553934,0.016881199999999985
22,"('untrustworthy', 'trustworthy')",0.5144402,0.5189171,0.004476900000000006
23,"('insincere', 'sincere')",1.7570576,1.6225094,-0.1345482
24,"('dishonest', 'honest')",-0.0596949,-0.0917936,-0.0320987
25,"('egoistic', 'altruistic')",0.3140664,0.295112,-0.018954400000000038
26,"('hardhearted', 'benevolent')",0.6760671,0.5981825,-0.07788460000000008
27,"('hardhearted', 'softhearted')",0.5774689,0.5175756,-0.05989329999999993
28,"('disloyal', 'loyal')",-0.8994491,-1.0467565,-0.1473074000000001
29,"('unfair', 'fair')",-0.2300483,-0.3110038,-0.08095549999999999
30,"('intolerant', 'tolerant')",0.4230554,0.3526426,-0.07041280000000005
31,"('evil', 'good')",-1.1043468,-1.0151399,0.08920689999999998
32,"('unkind', 'kind')",0.1594043,0.1322797,-0.0271246
33,"('wrong', 'right')",-0.2015242,-0.1634847,0.038039499999999976
34,"('mean', 'honorable')",1.7298587,1.7994963,0.06963759999999986
35,"('corrupt', 'incorrupt')",0.2375605,0.3170415,0.07948099999999997
36,"('hostile', 'amicable')",-0.7804028,-0.7761404,0.0042623999999999995
37,"('fake', 'genuine')",0.0557991,0.0899784,0.0341793
38,"('untruthful', 'truthful')",-0.7159004,-0.7159978,-9.740000000002524e-05
39,"('exploitative', 'cooperative')",0.5759786,0.5839463,0.007967700000000022
40,"('stingy', 'generous')",-0.452589,-0.5452624,-0.09267340000000002
41,"('unforgiving', 'forgiving')",0.2167657,0.1147235,-0.1020422
42,"('unreliable', 'reliable')",-0.8726913,-0.7890842,0.08360709999999993
43,"('irresponsible', 'responsible')",-0.6484405,-0.6863136,-0.03787309999999999
44,"('prejudiced', 'unprejudiced')",0.1178975,0.1761694,0.0582719
45,"('incompetent', 'competent')",-0.6808864,-0.7252581,-0.044371700000000014
46,"('uncompetitive', 'competitive')",-0.6846634,-0.6603981,0.024265300000000045
47,"('stupid', 'smart')",2.0499931,2.0514701,0.0014769999999999506
48,"('unintelligent', 'intelligent')",-0.2299896,-0.3824055,-0.15241590000000002
49,"('unable', 'able')",-0.6457634,-0.6145355,0.031227899999999975
50,"('clumsy', 'skillful')",-0.1943488,-0.1684673,0.0258815
51,"('uneducated', 'educated')",-0.1173874,-0.1919057,-0.07451830000000001
52,"('irrational', 'rational')",-0.6092256,-0.7202813,-0.11105569999999998
53,"('uncreative', 'creative')",-1.4493954,-1.4397507,0.00964469999999995
54,"('incapable', 'capable')",-0.6403857,-0.6024579,0.037927799999999956
55,"('incompetent', 'clever')",-0.1029616,-0.2043846,-0.101423
56,"('impractical', 'practical')",-0.3367701,-0.3139882,0.02278190000000002
57,"('unimaginative', 'imaginative')",-1.7578429,-1.8150483,-0.05720539999999996
58,"('undiscriminating', 'discriminating')",0.2470312,0.1583793,-0.0886519
59,"('foolish', 'wise')",-0.1183815,-0.1349377,-0.016556199999999993
60,"('inefficient', 'efficient')",0.5761796,0.5144692,-0.061710400000000054
61,"('illogical', 'logical')",-0.7261171,-0.8283868,-0.10226970000000002
62,"('incompetent', 'brilliant')",-0.0855118,-0.1062175,-0.020705700000000007
63,"('unperceptive', 'insightful')",-0.1712019,-0.2144582,-0.0432563
64,"('shy', 'confident')",-2.0952805,-2.045458,0.04982249999999988
65,"('insecure', 'secure')",0.3556593,0.2170446,-0.1386147
66,"('inactive', 'active')",-0.943848,-0.9232261,0.02062189999999997
67,"('doubtful', 'determined')",-0.3625703,-0.3597895,0.0027808000000000277
68,"('dependent', 'independent')",-0.0024071,0.0108369,0.013244
69,"('lazy', 'industrious')",-0.3384454,-0.2006894,0.13775600000000002
70,"('lethargic', 'energetic')",0.0560925,0.0437294,-0.012363100000000002
71,"('diffident', 'self-confident')",-0.6708642,-0.6659832,0.004881000000000024
72,"('unambitious', 'ambitious')",-0.0691177,-0.1739172,-0.10479949999999999
73,"('helpless', 'self-reliant')",-0.4858405,-0.4112219,0.07461860000000003
74,"('undedicated', 'dedicated')",-0.164626,-0.1866826,-0.02205660000000001
75,"('meek', 'impulsive')",0.332331,0.4231843,0.09085330000000003
76,"('anxious', 'daring')",0.4256318,0.331738,-0.09389380000000003
77,"('unmotivated', 'motivated')",-0.8959944,-0.8602731,0.035721299999999956
78,"('nonresilient', 'resilient')",-0.7102444,-0.7101078,0.00013660000000004224
79,"('wavering', 'unwavering')",-0.778581,-0.7801304,-0.001549400000000034
