,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.3823054,0.2617429,-0.12056250000000002
1,"('unfriendly', 'friendly')",-0.1696195,-0.253723,-0.08410349999999997
2,"('unlikable', 'likable')",-0.0980316,-0.0865212,0.01151039999999999
3,"('repellent', 'pleasant')",0.651958,0.6744714,0.022513400000000017
4,"('disliked', 'liked')",-1.9579726,-1.9880171,-0.03004450000000003
5,"('distant', 'outgoing')",-1.6414791,-1.6214335,0.020045599999999997
6,"('distant', 'open')",-1.7451982,-1.7173389,0.02785930000000003
7,"('insensitive', 'sensitive')",0.8325514,0.8495737,0.017022299999999935
8,"('unaffectionate', 'affectionate')",-0.6844578,-0.7508162,-0.06635840000000004
9,"('unaffectionate', 'caring')",-0.1014472,-0.1225226,-0.021075399999999994
10,"('unsympathetic', 'sympathetic')",-0.2347627,-0.2914201,-0.056657400000000024
11,"('unhelpful', 'helpful')",1.1301444,1.0870887,-0.04305570000000003
12,"('unsupportive', 'supportive')",-0.1613102,-0.1416203,0.019689899999999982
13,"('impolite', 'polite')",0.6755111,0.6219204,-0.05359069999999999
14,"('antisocial', 'social')",0.8714922,0.8687151,-0.002777100000000088
15,"('boring', 'funny')",-0.1039123,-0.1778241,-0.07391180000000001
16,"('unpopular', 'popular')",-0.5131825,-0.4638981,0.049284400000000006
17,"('nasty', 'nice')",-0.5741261,-0.504722,0.06940409999999997
18,"('disagreeable', 'welcoming')",-0.6419967,-0.6024511,0.03954559999999996
19,"('inhospitable', 'hospitable')",-2.1469538,-2.1605627,-0.013608899999999924
20,"('rough', 'thoughtful')",0.3140942,0.3290227,0.014928500000000011
21,"('immoral', 'moral')",0.360179,0.3604115,0.00023249999999996884
22,"('untrustworthy', 'trustworthy')",0.4839866,0.4821134,-0.0018731999999999638
23,"('insincere', 'sincere')",2.0977288,1.9979017,-0.09982710000000017
24,"('dishonest', 'honest')",0.8116448,0.8000752,-0.011569600000000069
25,"('egoistic', 'altruistic')",0.4755122,0.4608025,-0.014709699999999992
26,"('hardhearted', 'benevolent')",0.3582596,0.3241879,-0.03407170000000004
27,"('hardhearted', 'softhearted')",-0.0782301,-0.0769836,0.0012464999999999976
28,"('disloyal', 'loyal')",0.6447248,0.5679114,-0.07681340000000003
29,"('unfair', 'fair')",-0.8576216,-0.9710167,-0.11339509999999997
30,"('intolerant', 'tolerant')",0.8430934,0.7922853,-0.05080810000000002
31,"('evil', 'good')",-1.6986725,-1.6630185,0.035654000000000075
32,"('unkind', 'kind')",0.2913963,0.2606189,-0.03077740000000001
33,"('wrong', 'right')",-0.2483774,-0.2226081,0.025769299999999995
34,"('mean', 'honorable')",1.7642598,1.8310791,0.06681929999999991
35,"('corrupt', 'incorrupt')",-0.9032233,-0.8568626,0.04636069999999992
36,"('hostile', 'amicable')",-1.1284877,-1.1321382,-0.003650500000000001
37,"('fake', 'genuine')",-0.8062506,-0.8345709,-0.028320299999999965
38,"('untruthful', 'truthful')",0.1798217,0.1361834,-0.04363829999999999
39,"('exploitative', 'cooperative')",0.6943312,0.7379264,0.043595199999999945
40,"('stingy', 'generous')",0.1844151,0.2222219,0.0378068
41,"('unforgiving', 'forgiving')",0.2401239,0.2150064,-0.025117500000000015
42,"('unreliable', 'reliable')",-1.0500363,-0.9622397,0.08779659999999989
43,"('irresponsible', 'responsible')",0.0625203,0.0332907,-0.0292296
44,"('prejudiced', 'unprejudiced')",-0.6208512,-0.593558,0.027293200000000017
45,"('incompetent', 'competent')",-0.0122076,-0.0878534,-0.0756458
46,"('uncompetitive', 'competitive')",0.5637841,0.5104707,-0.053313399999999955
47,"('stupid', 'smart')",1.9491866,2.0065947,0.05740809999999996
48,"('unintelligent', 'intelligent')",0.918617,0.7211425,-0.1974745
49,"('unable', 'able')",-0.6748146,-0.6900198,-0.015205199999999919
50,"('clumsy', 'skillful')",-0.5777051,-0.5468305,0.030874599999999974
51,"('uneducated', 'educated')",0.3061715,0.1376255,-0.16854599999999997
52,"('irrational', 'rational')",-1.1493242,-1.2404766,-0.09115240000000013
53,"('uncreative', 'creative')",-0.6799261,-0.6866987,-0.0067726000000000175
54,"('incapable', 'capable')",-1.0089568,-1.0441982,-0.03524140000000009
55,"('incompetent', 'clever')",0.9069615,0.7942749,-0.11268659999999997
56,"('impractical', 'practical')",0.287514,0.2449363,-0.042577699999999996
57,"('unimaginative', 'imaginative')",-0.6410872,-0.6918862,-0.05079900000000004
58,"('undiscriminating', 'discriminating')",0.1562807,0.1104133,-0.04586739999999999
59,"('foolish', 'wise')",-0.6693006,-0.6485072,0.020793400000000073
60,"('inefficient', 'efficient')",1.1368995,1.0552672,-0.08163229999999988
61,"('illogical', 'logical')",0.1125119,0.0350209,-0.077491
62,"('incompetent', 'brilliant')",0.47583,0.4128587,-0.06297129999999995
63,"('unperceptive', 'insightful')",0.4360966,0.3959161,-0.04018050000000001
64,"('shy', 'confident')",-1.719675,-1.7412567,-0.021581700000000037
65,"('insecure', 'secure')",0.8221147,0.7164356,-0.10567910000000003
66,"('inactive', 'active')",-1.804851,-1.7518093,0.05304170000000008
67,"('doubtful', 'determined')",-0.1021303,-0.0947124,0.007417899999999991
68,"('dependent', 'independent')",-0.2740803,-0.3526595,-0.07857920000000002
69,"('lazy', 'industrious')",-0.9342509,-0.8247032,0.10954770000000003
70,"('lethargic', 'energetic')",0.7061265,0.6698119,-0.036314599999999975
71,"('diffident', 'self-confident')",0.2167642,0.221662,0.004897800000000008
72,"('unambitious', 'ambitious')",0.2138032,0.1839611,-0.02984210000000001
73,"('helpless', 'self-reliant')",-0.4147945,-0.3890062,0.025788299999999986
74,"('undedicated', 'dedicated')",-0.1222344,-0.2070437,-0.08480929999999999
75,"('meek', 'impulsive')",-0.5554739,-0.5460011,0.009472799999999948
76,"('anxious', 'daring')",-0.074878,-0.1380889,-0.06321089999999999
77,"('unmotivated', 'motivated')",-0.4227191,-0.4714887,-0.04876959999999997
78,"('nonresilient', 'resilient')",-0.5611977,-0.5015551,0.05964259999999999
79,"('wavering', 'unwavering')",-1.6667945,-1.6960333,-0.02923880000000012
80,"('dominated', 'dominating')",0.500068,0.5097666,0.009698600000000002
81,"('submissive', 'aggressive')",0.8593993,0.7651654,-0.09423389999999998
82,"('poor', 'rich')",1.6455448,1.6159307,-0.029614099999999866
83,"('powerless', 'powerful')",-0.2805538,-0.3540924,-0.07353859999999995
84,"('inferior', 'superior')",0.2708466,0.2229239,-0.047922699999999985
85,"('insignificant', 'prestigious')",-1.5206147,-1.5079631,0.012651600000000096
86,"('uninfluential', 'influential')",-0.3471737,-0.5128939,-0.16572020000000004
87,"('unsuccessful', 'successful')",-0.1586136,-0.2085627,-0.049949099999999996
88,"('low', 'eminent')",-0.1643205,-0.2934433,-0.1291228
