,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5555344,0.4578322,-0.09770219999999996
1,"('unfriendly', 'friendly')",0.9961168,0.9594056,-0.036711200000000055
2,"('unlikable', 'likable')",0.182638,0.2421072,0.0594692
3,"('repellent', 'pleasant')",1.3718973,1.2779474,-0.09394990000000014
4,"('disliked', 'liked')",-7.5597788,-7.5811746,-0.021395799999999632
5,"('distant', 'outgoing')",-0.7043413,-0.8099938,-0.10565250000000004
6,"('distant', 'open')",-0.4475944,-0.531789,-0.08419459999999995
7,"('insensitive', 'sensitive')",1.2374984,1.2380625,0.0005641000000000673
8,"('unaffectionate', 'affectionate')",0.5289574,0.4450709,-0.08388650000000003
9,"('unaffectionate', 'caring')",1.1515493,1.1843514,0.032802099999999834
10,"('unsympathetic', 'sympathetic')",1.2443997,1.2750866,0.030686900000000072
11,"('unhelpful', 'helpful')",2.0113552,2.0766558,0.06530060000000004
12,"('unsupportive', 'supportive')",-1.1546675,-1.0952917,0.05937579999999998
13,"('impolite', 'polite')",0.5948869,0.6092051,0.014318200000000059
14,"('antisocial', 'social')",0.4277029,0.4561204,0.028417499999999984
15,"('boring', 'funny')",0.2992491,0.1857581,-0.11349099999999998
16,"('unpopular', 'popular')",-1.0492853,-1.0613665,-0.012081200000000125
17,"('nasty', 'nice')",-0.2863227,-0.3255008,-0.039178099999999993
18,"('disagreeable', 'welcoming')",-0.1424645,-0.1514591,-0.00899460000000002
19,"('inhospitable', 'hospitable')",-0.3976578,-0.3784205,0.019237300000000013
20,"('rough', 'thoughtful')",0.5161992,0.4445869,-0.07161229999999996
21,"('immoral', 'moral')",0.4257367,0.5447971,0.11906040000000001
22,"('untrustworthy', 'trustworthy')",0.6001552,0.6325294,0.03237420000000002
23,"('insincere', 'sincere')",6.7507636,6.7367677,-0.013995900000000283
24,"('dishonest', 'honest')",1.7864397,1.8556571,0.06921739999999987
25,"('egoistic', 'altruistic')",0.6398885,0.5786065,-0.06128199999999995
26,"('hardhearted', 'benevolent')",0.2211452,0.2629783,0.04183310000000001
27,"('hardhearted', 'softhearted')",1.3980448,1.2548135,-0.14323130000000006
28,"('disloyal', 'loyal')",0.577655,0.5813102,0.0036551999999999696
29,"('unfair', 'fair')",-0.1772274,-0.2371708,-0.05994339999999998
30,"('intolerant', 'tolerant')",1.2506271,1.3146387,0.06401159999999995
31,"('evil', 'good')",-1.4368046,-1.4455878,-0.00878319999999988
32,"('unkind', 'kind')",0.9960272,1.0337547,0.037727500000000025
33,"('wrong', 'right')",-0.4074371,-0.3562839,0.05115320000000001
34,"('mean', 'honorable')",4.8342739,4.970969,0.13669509999999985
35,"('corrupt', 'incorrupt')",-1.4618616,-1.4942965,-0.03243489999999993
36,"('hostile', 'amicable')",-1.1630061,-1.2216079,-0.058601799999999926
37,"('fake', 'genuine')",0.9259996,0.9037006,-0.02229900000000007
38,"('untruthful', 'truthful')",-0.2911466,-0.2736239,0.017522700000000002
39,"('exploitative', 'cooperative')",0.3634053,0.4275206,0.06411529999999999
40,"('stingy', 'generous')",-0.9099815,-1.0799911,-0.17000959999999998
41,"('unforgiving', 'forgiving')",0.3492861,0.3683302,0.019044100000000008
42,"('unreliable', 'reliable')",-2.2484557,-2.2473568,0.0010989000000001248
43,"('irresponsible', 'responsible')",1.1414761,1.1535185,0.012042399999999898
44,"('prejudiced', 'unprejudiced')",-1.1748735,-1.2222362,-0.04736270000000009
45,"('incompetent', 'competent')",0.2717838,0.2426089,-0.02917490000000003
46,"('uncompetitive', 'competitive')",-0.3779811,-0.3558217,0.022159399999999996
47,"('stupid', 'smart')",5.4022021,5.4818946,0.07969250000000017
48,"('unintelligent', 'intelligent')",0.4824728,0.4139895,-0.06848329999999997
