,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.0708285,-0.244819,-0.1739905
1,"('unfriendly', 'friendly')",0.5004514,0.3503917,-0.15005970000000002
2,"('unlikable', 'likable')",0.7134406,0.678286,-0.035154600000000036
3,"('repellent', 'pleasant')",0.7172328,0.6894865,-0.0277463
4,"('disliked', 'liked')",-2.370152,-2.3698654,0.0002865999999999147
5,"('distant', 'outgoing')",-1.1000103,-1.1371765,-0.03716619999999993
6,"('distant', 'open')",-1.1656257,-1.2278103,-0.06218459999999992
7,"('insensitive', 'sensitive')",0.8149079,0.7443772,-0.07053070000000006
8,"('unaffectionate', 'affectionate')",-0.4352104,-0.5336388,-0.09842839999999997
9,"('unaffectionate', 'caring')",0.6404049,0.5728501,-0.06755480000000003
10,"('unsympathetic', 'sympathetic')",-0.2719242,-0.461493,-0.18956879999999998
11,"('unhelpful', 'helpful')",0.7618005,0.7003511,-0.06144939999999999
12,"('unsupportive', 'supportive')",-0.1178083,-0.1606979,-0.0428896
13,"('impolite', 'polite')",0.1459466,0.038569,-0.10737760000000002
14,"('antisocial', 'social')",0.5529752,0.5070522,-0.04592300000000005
15,"('boring', 'funny')",0.0135722,-0.05085,-0.0644222
16,"('unpopular', 'popular')",-0.5608751,-0.5606741,0.00020100000000000673
17,"('nasty', 'nice')",-0.9195097,-0.900769,0.018740699999999944
18,"('disagreeable', 'welcoming')",-0.148201,-0.2282342,-0.0800332
19,"('inhospitable', 'hospitable')",-1.5868472,-1.6202063,-0.033359099999999975
20,"('rough', 'thoughtful')",-0.1198819,-0.0872211,0.032660800000000004
21,"('immoral', 'moral')",0.6260941,0.5564811,-0.06961300000000004
22,"('untrustworthy', 'trustworthy')",0.074167,-0.0042939,-0.0784609
23,"('insincere', 'sincere')",2.5347223,2.3383428,-0.19637949999999993
24,"('dishonest', 'honest')",1.3364292,1.2746282,-0.061800999999999995
25,"('egoistic', 'altruistic')",0.8518165,0.8265339,-0.025282599999999933
26,"('hardhearted', 'benevolent')",0.8466271,0.740288,-0.10633910000000002
27,"('hardhearted', 'softhearted')",0.124509,0.1097215,-0.014787499999999995
28,"('disloyal', 'loyal')",0.454407,0.3380568,-0.11635020000000001
29,"('unfair', 'fair')",-0.1569685,-0.2312814,-0.07431289999999999
30,"('intolerant', 'tolerant')",0.5443171,0.4442481,-0.10006900000000002
31,"('evil', 'good')",-1.2583788,-1.2728065,-0.014427699999999932
32,"('unkind', 'kind')",0.3626467,0.2537148,-0.10893189999999997
