,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.9076513,0.8357933,-0.07185800000000009
1,"('unfriendly', 'friendly')",0.9406352,0.8372103,-0.10342490000000004
2,"('unlikable', 'likable')",0.3377256,0.3296043,-0.008121299999999998
3,"('repellent', 'pleasant')",0.442877,0.4845823,0.0417053
4,"('disliked', 'liked')",-4.3160869,-4.2922053,0.02388160000000017
5,"('distant', 'outgoing')",-1.112906,-1.1741101,-0.061204100000000095
6,"('distant', 'open')",-0.9045542,-0.9811985,-0.0766443
7,"('insensitive', 'sensitive')",0.9733189,1.0382657,0.06494679999999997
8,"('unaffectionate', 'affectionate')",0.1227443,-0.0311487,-0.153893
9,"('unaffectionate', 'caring')",0.9942111,0.9389194,-0.055291700000000055
10,"('unsympathetic', 'sympathetic')",0.3936002,0.4146185,0.02101829999999999
11,"('unhelpful', 'helpful')",1.3177018,1.3493612,0.03165939999999989
12,"('unsupportive', 'supportive')",0.0215971,0.1300067,0.1084096
13,"('impolite', 'polite')",0.5456751,0.5104192,-0.03525590000000001
14,"('antisocial', 'social')",1.1111051,1.1336496,0.022544499999999967
15,"('boring', 'funny')",0.5874394,0.4867057,-0.10073369999999993
16,"('unpopular', 'popular')",-0.9281292,-0.9800562,-0.051927000000000056
17,"('nasty', 'nice')",-0.6005762,-0.6105304,-0.009954200000000024
18,"('disagreeable', 'welcoming')",-0.3754863,-0.3857082,-0.010221900000000006
19,"('inhospitable', 'hospitable')",-1.2940823,-1.3414586,-0.04737630000000004
20,"('rough', 'thoughtful')",0.4737832,0.5631485,0.08936530000000004
21,"('immoral', 'moral')",0.7669097,0.8530313,0.08612160000000002
22,"('untrustworthy', 'trustworthy')",0.3067746,0.3291772,0.022402599999999995
23,"('insincere', 'sincere')",4.2824041,4.2000525,-0.08235159999999997
24,"('dishonest', 'honest')",1.2479606,1.2360214,-0.011939200000000039
25,"('egoistic', 'altruistic')",0.7442074,0.6762833,-0.06792409999999993
26,"('hardhearted', 'benevolent')",0.9403811,0.8490773,-0.09130379999999994
