,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.6075101,0.5219134,-0.08559670000000008
1,"('unfriendly', 'friendly')",1.0459735,1.0053855,-0.040587999999999846
2,"('unlikable', 'likable')",-0.0005499,0.0680084,0.0685583
3,"('repellent', 'pleasant')",1.4818612,1.423508,-0.058353199999999994
4,"('disliked', 'liked')",-7.4945114,-7.4827405,0.01177090000000014
5,"('distant', 'outgoing')",-0.6888519,-0.7429217,-0.05406980000000006
6,"('distant', 'open')",-0.4533409,-0.4944606,-0.04111969999999998
7,"('insensitive', 'sensitive')",1.213886,1.1844242,-0.029461799999999982
8,"('unaffectionate', 'affectionate')",0.5550287,0.4999325,-0.05509620000000004
9,"('unaffectionate', 'caring')",1.0605582,1.0994684,0.038910199999999895
10,"('unsympathetic', 'sympathetic')",1.406201,1.4370142,0.030813199999999874
11,"('unhelpful', 'helpful')",1.9620128,2.0425751,0.0805623000000002
12,"('unsupportive', 'supportive')",-1.1009465,-1.0212343,0.07971220000000012
13,"('impolite', 'polite')",0.7040065,0.7642186,0.06021209999999999
14,"('antisocial', 'social')",0.3756309,0.4131145,0.037483600000000006
15,"('boring', 'funny')",0.2502995,0.1602207,-0.09007880000000001
16,"('unpopular', 'popular')",-0.9446156,-0.9165487,0.028066900000000006
17,"('nasty', 'nice')",-0.3565886,-0.3676386,-0.011050000000000004
18,"('disagreeable', 'welcoming')",-0.0830441,-0.0848882,-0.0018441000000000013
19,"('inhospitable', 'hospitable')",-0.4711725,-0.435844,0.035328499999999985
20,"('rough', 'thoughtful')",0.5293258,0.4290867,-0.10023909999999997
21,"('immoral', 'moral')",0.4326696,0.5164917,0.08382210000000001
22,"('untrustworthy', 'trustworthy')",0.4862626,0.5207321,0.03446950000000004
23,"('insincere', 'sincere')",6.6813362,6.6800468,-0.001289399999999219
24,"('dishonest', 'honest')",1.8234959,1.9278115,0.10431560000000006
25,"('egoistic', 'altruistic')",0.7236094,0.6454021,-0.07820729999999998
26,"('hardhearted', 'benevolent')",0.3998817,0.3735611,-0.026320600000000027
27,"('hardhearted', 'softhearted')",1.4114102,1.2857914,-0.12561880000000003
28,"('disloyal', 'loyal')",0.5996474,0.6082853,0.008637899999999976
29,"('unfair', 'fair')",-0.2980579,-0.3533153,-0.05525740000000001
30,"('intolerant', 'tolerant')",1.1143613,1.1403742,0.026012899999999783
31,"('evil', 'good')",-1.2689942,-1.2481323,0.0208619000000001
32,"('unkind', 'kind')",0.9999834,1.0287513,0.028767899999999957
33,"('wrong', 'right')",-0.5776993,-0.5270869,0.0506124
34,"('mean', 'honorable')",4.9045529,5.0575415,0.15298860000000047
35,"('corrupt', 'incorrupt')",-1.5601458,-1.5617446,-0.0015988000000000113
36,"('hostile', 'amicable')",-1.0796845,-1.1462935,-0.06660900000000014
37,"('fake', 'genuine')",0.8393056,0.798851,-0.04045460000000001
38,"('untruthful', 'truthful')",-0.209008,-0.1683697,0.04063829999999999
