,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.6670898,0.5308037,-0.13628609999999997
1,"('unfriendly', 'friendly')",1.3222034,1.2700416,-0.052161799999999925
2,"('unlikable', 'likable')",0.0874693,0.1614081,0.0739388
3,"('repellent', 'pleasant')",0.8726171,0.8925183,0.019901199999999952
4,"('disliked', 'liked')",-7.7699942,-7.6794431,0.09055109999999988
5,"('distant', 'outgoing')",-0.8563249,-0.907112,-0.050787099999999974
6,"('distant', 'open')",-0.4091914,-0.4558868,-0.0466954
7,"('insensitive', 'sensitive')",1.1098865,1.1565608,0.04667430000000006
8,"('unaffectionate', 'affectionate')",0.6862843,0.6291249,-0.05715939999999997
9,"('unaffectionate', 'caring')",1.4083258,1.4338476,0.025521799999999928
10,"('unsympathetic', 'sympathetic')",1.269157,1.3357607,0.06660369999999993
11,"('unhelpful', 'helpful')",2.1994209,2.2116768,0.01225590000000043
12,"('unsupportive', 'supportive')",-1.1355016,-1.0528509,0.08265070000000008
13,"('impolite', 'polite')",0.6155213,0.6113126,-0.004208700000000065
14,"('antisocial', 'social')",0.2278879,0.2493041,0.021416199999999996
15,"('boring', 'funny')",0.3423722,0.2255427,-0.1168295
16,"('unpopular', 'popular')",-0.9510915,-0.9470126,0.004078899999999996
17,"('nasty', 'nice')",0.2085808,0.1902025,-0.018378300000000014
18,"('disagreeable', 'welcoming')",-0.2112641,-0.1961692,0.015094900000000022
19,"('inhospitable', 'hospitable')",-0.4294853,-0.3616752,0.06781010000000004
20,"('rough', 'thoughtful')",0.9504563,0.9119364,-0.03851990000000005
21,"('immoral', 'moral')",0.5660556,0.7241188,0.15806319999999996
22,"('untrustworthy', 'trustworthy')",0.2924523,0.3413615,0.048909199999999986
23,"('insincere', 'sincere')",7.1824509,7.0837625,-0.09868840000000034
24,"('dishonest', 'honest')",1.5992139,1.7010288,0.10181489999999993
25,"('egoistic', 'altruistic')",0.6091953,0.5847796,-0.02441570000000004
26,"('hardhearted', 'benevolent')",1.1024023,1.0206174,-0.08178490000000016
27,"('hardhearted', 'softhearted')",1.5409204,1.4470904,-0.09383000000000008
28,"('disloyal', 'loyal')",0.7268941,0.6966263,-0.030267799999999956
29,"('unfair', 'fair')",-0.5784974,-0.639439,-0.06094159999999993
30,"('intolerant', 'tolerant')",1.4893999,1.5061698,0.016769899999999893
31,"('evil', 'good')",-1.4964772,-1.494031,0.002446199999999843
32,"('unkind', 'kind')",1.0784577,1.1142742,0.03581650000000014
33,"('wrong', 'right')",-0.4664105,-0.453307,0.01310349999999999
34,"('mean', 'honorable')",5.3813401,5.4696708,0.0883307000000002
35,"('corrupt', 'incorrupt')",-1.3273663,-1.3483759,-0.02100959999999996
36,"('hostile', 'amicable')",-0.2544424,-0.3751898,-0.1207474
37,"('fake', 'genuine')",1.0738193,1.114555,0.04073569999999993
38,"('untruthful', 'truthful')",-0.0049542,0.0377181,0.042672299999999996
39,"('exploitative', 'cooperative')",0.1340919,0.2248755,0.09078359999999999
40,"('stingy', 'generous')",-1.3258135,-1.4606718,-0.1348583000000001
41,"('unforgiving', 'forgiving')",0.7176929,0.666817,-0.050875899999999974
42,"('unreliable', 'reliable')",-2.7951426,-2.7197435,0.07539910000000027
43,"('irresponsible', 'responsible')",1.1850712,1.1978812,0.012809999999999988
