,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.4199003,0.4119613,-0.00793900000000003
1,"('unfriendly', 'friendly')",1.369535,1.2910304,-0.07850460000000004
2,"('unlikable', 'likable')",0.0450158,0.1094457,0.06442990000000001
3,"('repellent', 'pleasant')",1.0946581,1.067013,-0.027645099999999978
4,"('disliked', 'liked')",-7.7550119,-7.7272137,0.027798200000000328
5,"('distant', 'outgoing')",-0.5292836,-0.6534839,-0.12420030000000004
6,"('distant', 'open')",-0.1121528,-0.2071533,-0.09500050000000002
7,"('insensitive', 'sensitive')",1.1100518,1.1187372,0.008685400000000065
8,"('unaffectionate', 'affectionate')",0.7227286,0.6058952,-0.11683340000000009
9,"('unaffectionate', 'caring')",1.2804682,1.280708,0.0002397999999999012
10,"('unsympathetic', 'sympathetic')",1.0685872,1.1471194,0.07853219999999994
11,"('unhelpful', 'helpful')",2.1645897,2.2038524,0.039262700000000095
12,"('unsupportive', 'supportive')",-1.1858241,-1.1087274,0.07709670000000002
13,"('impolite', 'polite')",0.5529094,0.6363136,0.08340420000000004
14,"('antisocial', 'social')",-0.0191881,0.0685802,0.0877683
15,"('boring', 'funny')",0.332228,0.2168211,-0.11540690000000003
16,"('unpopular', 'popular')",-1.0617196,-1.0380261,0.023693500000000034
17,"('nasty', 'nice')",-0.550894,-0.5420406,0.008853400000000011
18,"('disagreeable', 'welcoming')",-0.0452662,-0.0521613,-0.006895100000000001
19,"('inhospitable', 'hospitable')",-0.2467549,-0.2903254,-0.04357050000000001
20,"('rough', 'thoughtful')",0.7496691,0.6808123,-0.06885679999999994
21,"('immoral', 'moral')",0.1673305,0.3166531,0.14932260000000003
22,"('untrustworthy', 'trustworthy')",0.4155939,0.5019744,0.08638050000000003
23,"('insincere', 'sincere')",6.8349934,6.784236,-0.050757400000000175
24,"('dishonest', 'honest')",1.7970199,1.8506252,0.05360530000000008
25,"('egoistic', 'altruistic')",0.7513321,0.6711142,-0.08021789999999995
26,"('hardhearted', 'benevolent')",0.4764227,0.4566161,-0.019806599999999952
27,"('hardhearted', 'softhearted')",1.5389505,1.4440466,-0.09490390000000004
28,"('disloyal', 'loyal')",0.8029261,0.7673165,-0.03560960000000002
29,"('unfair', 'fair')",-0.2333357,-0.2820485,-0.04871279999999997
30,"('intolerant', 'tolerant')",1.0480032,1.1238291,0.07582590000000011
31,"('evil', 'good')",-1.3940328,-1.3970487,-0.0030159000000000713
32,"('unkind', 'kind')",1.0449598,1.0924678,0.047508000000000106
33,"('wrong', 'right')",-0.4052649,-0.3985012,0.006763699999999984
34,"('mean', 'honorable')",5.0185362,5.1195043,0.10096810000000023
35,"('corrupt', 'incorrupt')",-1.1953332,-1.3034928,-0.1081595999999998
36,"('hostile', 'amicable')",-0.9822,-1.1270747,-0.14487470000000013
37,"('fake', 'genuine')",0.9072378,0.8442446,-0.06299319999999997
38,"('untruthful', 'truthful')",-0.1660808,-0.1567381,0.00934270000000001
39,"('exploitative', 'cooperative')",0.4732541,0.5189412,0.04568709999999998
40,"('stingy', 'generous')",-0.9588711,-1.0714226,-0.11255150000000003
41,"('unforgiving', 'forgiving')",0.470035,0.5290613,0.059026299999999976
42,"('unreliable', 'reliable')",-2.3076654,-2.2655194,0.042145999999999795
43,"('irresponsible', 'responsible')",1.3504198,1.3775709,0.027151099999999984
44,"('prejudiced', 'unprejudiced')",-1.0949536,-1.1437985,-0.04884489999999997
45,"('incompetent', 'competent')",0.1398947,0.1843664,0.0444717
46,"('uncompetitive', 'competitive')",-0.4274903,-0.3422023,0.08528799999999997
47,"('stupid', 'smart')",5.4643789,5.5521259,0.08774700000000024
