,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5352767,0.4675377,-0.06773900000000005
1,"('unfriendly', 'friendly')",0.2636861,0.2384736,-0.02521249999999997
2,"('unlikable', 'likable')",0.50099,0.5500545,0.049064499999999955
3,"('repellent', 'pleasant')",0.1068149,0.1222972,0.01548229999999999
4,"('disliked', 'liked')",-1.6527084,-1.6402769,0.01243150000000015
5,"('distant', 'outgoing')",-0.4393962,-0.4427681,-0.0033718999999999832
6,"('distant', 'open')",-0.528135,-0.5163605,0.011774500000000021
7,"('insensitive', 'sensitive')",0.7964188,0.8271267,0.03070790000000001
8,"('unaffectionate', 'affectionate')",-0.4147105,-0.4246744,-0.009963900000000026
9,"('unaffectionate', 'caring')",0.6073382,0.6709518,0.06361359999999994
10,"('unsympathetic', 'sympathetic')",0.3531145,0.4003855,0.04727100000000001
11,"('unhelpful', 'helpful')",1.326391,1.3611703,0.034779299999999846
12,"('unsupportive', 'supportive')",0.606487,0.7454067,0.13891969999999998
13,"('impolite', 'polite')",0.9909643,0.9899269,-0.0010373999999999661
14,"('antisocial', 'social')",0.4123767,0.3869988,-0.02537790000000001
15,"('boring', 'funny')",0.4650383,0.4152092,-0.049829100000000015
16,"('unpopular', 'popular')",-0.6994222,-0.6446992,0.054722999999999966
17,"('nasty', 'nice')",-0.126036,-0.083424,0.04261200000000001
18,"('disagreeable', 'welcoming')",-0.6157807,-0.5999335,0.01584719999999995
19,"('inhospitable', 'hospitable')",-0.5888466,-0.5890266,-0.00017999999999995797
20,"('rough', 'thoughtful')",-0.0905932,-0.0045371,0.0860561
21,"('immoral', 'moral')",0.5417507,0.6076037,0.06585299999999994
22,"('untrustworthy', 'trustworthy')",0.3635531,0.3829335,0.019380399999999964
23,"('insincere', 'sincere')",2.334674,2.3122156,-0.0224584000000001
24,"('dishonest', 'honest')",0.2665902,0.2784562,0.011865999999999988
25,"('egoistic', 'altruistic')",0.6893041,0.6733095,-0.01599459999999997
26,"('hardhearted', 'benevolent')",0.3329712,0.2693686,-0.06360260000000001
27,"('hardhearted', 'softhearted')",0.4980856,0.516945,0.01885939999999997
28,"('disloyal', 'loyal')",0.1476313,0.1404377,-0.0071935999999999944
29,"('unfair', 'fair')",-0.5439642,-0.6057679,-0.06180370000000002
30,"('intolerant', 'tolerant')",1.1807141,1.1406976,-0.04001650000000012
31,"('evil', 'good')",-1.4819789,-1.5255202,-0.043541300000000005
32,"('unkind', 'kind')",0.8939521,0.910358,0.016405899999999973
33,"('wrong', 'right')",0.120097,0.0909498,-0.029147199999999998
34,"('mean', 'honorable')",1.8918364,1.974611,0.08277459999999981
35,"('corrupt', 'incorrupt')",-1.4693602,-1.4706199,-0.0012597000000000858
36,"('hostile', 'amicable')",-1.2402812,-1.3038511,-0.06356989999999985
37,"('fake', 'genuine')",-0.0823407,-0.0350233,0.0473174
38,"('untruthful', 'truthful')",0.5313835,0.5774739,0.046090399999999976
39,"('exploitative', 'cooperative')",0.5967118,0.6611653,0.06445349999999994
40,"('stingy', 'generous')",0.1178222,0.1508637,0.03304149999999999
41,"('unforgiving', 'forgiving')",0.525659,0.5443873,0.01872830000000003
42,"('unreliable', 'reliable')",-0.0573042,0.0234157,0.0807199
43,"('irresponsible', 'responsible')",0.7583805,0.8665785,0.10819800000000002
44,"('prejudiced', 'unprejudiced')",-0.5153869,-0.5115619,0.0038249999999999673
45,"('incompetent', 'competent')",0.5644296,0.587335,0.022905400000000076
46,"('uncompetitive', 'competitive')",1.3121526,1.3880934,0.07594080000000014
47,"('stupid', 'smart')",1.6574099,1.7297543,0.07234439999999998
48,"('unintelligent', 'intelligent')",-0.1279457,-0.1462521,-0.0183064
49,"('unable', 'able')",-0.4263369,-0.3201027,0.1062342
50,"('clumsy', 'skillful')",-0.1165335,-0.0384721,0.0780614
51,"('uneducated', 'educated')",0.6342086,0.5129654,-0.1212432
52,"('irrational', 'rational')",-0.8390487,-0.9130218,-0.07397310000000001
53,"('uncreative', 'creative')",-0.3875422,-0.3577103,0.029831900000000022
54,"('incapable', 'capable')",0.1044715,0.0997595,-0.004711999999999994
55,"('incompetent', 'clever')",0.7565086,0.7711717,0.01466310000000004
56,"('impractical', 'practical')",1.2144649,1.2621595,0.04769460000000003
57,"('unimaginative', 'imaginative')",-0.6325167,-0.6269148,0.0056019000000000485
58,"('undiscriminating', 'discriminating')",0.3185124,0.3074949,-0.011017499999999958
59,"('foolish', 'wise')",-0.5237541,-0.5433251,-0.019571000000000005
60,"('inefficient', 'efficient')",1.3130449,1.3620966,0.04905170000000014
61,"('illogical', 'logical')",-0.0651,-0.1129643,-0.0478643
62,"('incompetent', 'brilliant')",1.2053713,1.2946148,0.08924350000000003
63,"('unperceptive', 'insightful')",1.1700171,1.233798,0.06378090000000003
64,"('shy', 'confident')",-1.1556445,-1.1741508,-0.018506300000000087
65,"('insecure', 'secure')",0.393974,0.3168773,-0.07709670000000002
66,"('inactive', 'active')",-0.5460231,-0.5558084,-0.009785299999999997
67,"('doubtful', 'determined')",0.1969543,0.1530212,-0.0439331
68,"('dependent', 'independent')",-0.486384,-0.5356801,-0.04929610000000001
69,"('lazy', 'industrious')",-0.4713476,-0.4171827,0.05416489999999996
70,"('lethargic', 'energetic')",1.0355937,1.0446395,0.009045799999999993
71,"('diffident', 'self-confident')",0.4274711,0.4543732,0.026902099999999984
72,"('unambitious', 'ambitious')",-0.057769,-0.0373982,0.0203708
73,"('helpless', 'self-reliant')",0.0277668,0.0608749,0.0331081
74,"('undedicated', 'dedicated')",0.5389488,0.5798327,0.04088389999999997
75,"('meek', 'impulsive')",-0.3995133,-0.3531501,0.04636319999999999
76,"('anxious', 'daring')",0.6248865,0.666658,0.04177149999999996
77,"('unmotivated', 'motivated')",-0.2543249,-0.2159901,0.03833480000000003
78,"('nonresilient', 'resilient')",0.0318124,0.1623614,0.130549
79,"('wavering', 'unwavering')",-0.6209602,-0.625917,-0.0049567999999999834
80,"('dominated', 'dominating')",0.6920387,0.7293205,0.03728180000000003
81,"('submissive', 'aggressive')",0.993943,0.9383081,-0.05563490000000004
82,"('poor', 'rich')",0.9558634,0.932293,-0.02357039999999999
83,"('powerless', 'powerful')",0.0457119,0.0395693,-0.006142599999999998
84,"('inferior', 'superior')",0.4741772,0.4268152,-0.047362000000000015
85,"('insignificant', 'prestigious')",-0.7844791,-0.7822792,0.0021999000000000324
86,"('uninfluential', 'influential')",0.0001918,-0.0376726,-0.0378644
87,"('unsuccessful', 'successful')",0.7305954,0.7528028,0.022207399999999988
88,"('low', 'eminent')",-0.4711042,-0.5593927,-0.08828849999999999
