,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.1352474,-0.263737,-0.1284896
1,"('unfriendly', 'friendly')",-1.1853362,-1.2509816,-0.06564539999999996
2,"('unlikable', 'likable')",0.1494104,0.1768812,0.02747079999999999
3,"('repellent', 'pleasant')",-0.7029895,-0.6807228,0.022266700000000084
4,"('disliked', 'liked')",-1.8215908,-1.8304589,-0.008868099999999934
5,"('distant', 'outgoing')",-0.7079003,-0.7166244,-0.008724100000000012
6,"('distant', 'open')",-0.8027126,-0.7764845,0.026228099999999976
7,"('insensitive', 'sensitive')",-0.7306732,-0.6969123,0.03376089999999998
8,"('unaffectionate', 'affectionate')",-0.8953022,-0.965006,-0.06970379999999998
9,"('unaffectionate', 'caring')",-1.0069581,-1.0102627,-0.00330459999999988
10,"('unsympathetic', 'sympathetic')",-1.472113,-1.4940165,-0.021903500000000076
11,"('unhelpful', 'helpful')",-0.2352693,-0.2141841,0.0210852
12,"('unsupportive', 'supportive')",-1.2070565,-1.1708823,0.036174200000000045
13,"('impolite', 'polite')",-0.2626172,-0.3173373,-0.054720099999999994
14,"('antisocial', 'social')",-0.0601376,-0.0958676,-0.03573
15,"('boring', 'funny')",0.6468626,0.5272129,-0.11964969999999997
16,"('unpopular', 'popular')",-0.5623392,-0.5439307,0.01840850000000005
17,"('nasty', 'nice')",-0.4509912,-0.3982573,0.0527339
18,"('disagreeable', 'welcoming')",-0.8450473,-0.7835943,0.06145299999999998
19,"('inhospitable', 'hospitable')",-0.9294358,-0.8786961,0.050739700000000054
20,"('rough', 'thoughtful')",-0.0307531,-0.1157823,-0.0850292
21,"('immoral', 'moral')",-0.1252505,-0.0681722,0.057078299999999985
22,"('untrustworthy', 'trustworthy')",0.0889675,0.0637714,-0.0251961
23,"('insincere', 'sincere')",0.8791117,0.7925543,-0.0865574
24,"('dishonest', 'honest')",-0.8718098,-0.8602757,0.011534099999999992
25,"('egoistic', 'altruistic')",0.2595643,0.2111837,-0.048380600000000024
26,"('hardhearted', 'benevolent')",0.235473,0.0832201,-0.15225289999999997
27,"('hardhearted', 'softhearted')",-0.1591513,-0.1823941,-0.023242800000000008
28,"('disloyal', 'loyal')",-0.7016977,-0.8390508,-0.1373531
29,"('unfair', 'fair')",0.2845083,0.2938208,0.009312500000000001
30,"('intolerant', 'tolerant')",-0.3927738,-0.4296988,-0.036924999999999986
31,"('evil', 'good')",-0.986756,-0.9459473,0.04080869999999992
32,"('unkind', 'kind')",0.3646988,0.354743,-0.009955800000000015
33,"('wrong', 'right')",-0.3183684,-0.2971541,0.02121430000000002
34,"('mean', 'honorable')",0.9832071,1.0444321,0.061225000000000085
35,"('corrupt', 'incorrupt')",0.2526307,0.2288206,-0.023810099999999973
36,"('hostile', 'amicable')",-0.63481,-0.6945824,-0.05977240000000006
37,"('fake', 'genuine')",-0.5731021,-0.5284693,0.04463279999999992
38,"('untruthful', 'truthful')",-0.3362778,-0.3313891,0.004888700000000024
39,"('exploitative', 'cooperative')",-0.3407008,-0.3159198,0.024781000000000053
40,"('stingy', 'generous')",-1.0320437,-1.0859961,-0.05395240000000001
41,"('unforgiving', 'forgiving')",-0.3872013,-0.4486749,-0.06147359999999996
42,"('unreliable', 'reliable')",-1.1318014,-1.0832374,0.04856400000000005
