,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5401588,0.4392002,-0.10095860000000006
1,"('unfriendly', 'friendly')",0.83142,0.7868075,-0.044612500000000055
2,"('unlikable', 'likable')",0.0361434,0.0885124,0.052369000000000006
3,"('repellent', 'pleasant')",1.2428723,1.241644,-0.00122829999999996
4,"('disliked', 'liked')",-8.1055275,-8.1413355,-0.035807999999999396
5,"('distant', 'outgoing')",-1.1785393,-1.2547984,-0.07625910000000014
6,"('distant', 'open')",-0.7166788,-0.7725449,-0.05586610000000003
7,"('insensitive', 'sensitive')",1.2675864,1.3296106,0.062024200000000196
8,"('unaffectionate', 'affectionate')",0.1868442,0.1168593,-0.06998489999999999
9,"('unaffectionate', 'caring')",0.943287,0.9710895,0.027802500000000063
10,"('unsympathetic', 'sympathetic')",1.3789912,1.452967,0.07397579999999992
11,"('unhelpful', 'helpful')",2.2334021,2.3150185,0.0816163999999997
12,"('unsupportive', 'supportive')",-1.273352,-1.2230902,0.050261800000000134
13,"('impolite', 'polite')",0.7115386,0.7145108,0.0029721999999999804
14,"('antisocial', 'social')",0.4920678,0.5149172,0.022849399999999964
15,"('boring', 'funny')",0.1529311,0.033474,-0.11945709999999998
16,"('unpopular', 'popular')",-1.2124189,-1.1684766,0.0439423000000001
17,"('nasty', 'nice')",-0.2968627,-0.3130697,-0.016207000000000027
18,"('disagreeable', 'welcoming')",-0.2528534,-0.2632784,-0.010425000000000018
19,"('inhospitable', 'hospitable')",-0.7826528,-0.7996442,-0.01699139999999999
20,"('rough', 'thoughtful')",0.8182484,0.7597022,-0.05854619999999999
21,"('immoral', 'moral')",0.6146633,0.7142637,0.09960039999999992
22,"('untrustworthy', 'trustworthy')",0.4003935,0.381104,-0.019289500000000015
23,"('insincere', 'sincere')",7.2285444,7.2616261,0.033081700000000325
24,"('dishonest', 'honest')",1.5131588,1.5813818,0.06822299999999992
25,"('egoistic', 'altruistic')",0.3012196,0.2135882,-0.08763139999999997
26,"('hardhearted', 'benevolent')",0.7431182,0.7094776,-0.03364059999999991
27,"('hardhearted', 'softhearted')",1.3907579,1.2857974,-0.10496050000000001
28,"('disloyal', 'loyal')",0.7584919,0.7944437,0.03595179999999998
29,"('unfair', 'fair')",-0.2521328,-0.3305015,-0.07836870000000001
30,"('intolerant', 'tolerant')",1.5166931,1.5443258,0.027632700000000066
31,"('evil', 'good')",-1.7112512,-1.7432951,-0.032043900000000125
32,"('unkind', 'kind')",0.9821703,1.0501569,0.0679865999999999
33,"('wrong', 'right')",-0.6931398,-0.6968484,-0.003708600000000062
34,"('mean', 'honorable')",5.34529,5.4885999,0.14330989999999932
35,"('corrupt', 'incorrupt')",-1.8093093,-1.8700139,-0.0607046
36,"('hostile', 'amicable')",-0.9144805,-1.0102846,-0.09580410000000006
37,"('fake', 'genuine')",0.7798268,0.7519931,-0.027833700000000072
38,"('untruthful', 'truthful')",-0.1689183,-0.1121437,0.056774599999999995
39,"('exploitative', 'cooperative')",0.3310302,0.3907871,0.0597569
40,"('stingy', 'generous')",-1.3621989,-1.4572477,-0.09504879999999982
41,"('unforgiving', 'forgiving')",0.5683462,0.5402478,-0.02809840000000008
42,"('unreliable', 'reliable')",-2.5529612,-2.5519215,0.0010396999999997547
43,"('irresponsible', 'responsible')",1.4401795,1.4458905,0.005711000000000022
