,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.5975432,0.363722,-0.23382120000000006
1,"('unfriendly', 'friendly')",-0.6339082,-0.6629778,-0.029069599999999918
2,"('unlikable', 'likable')",-0.4484238,-0.3760244,0.0723994
3,"('repellent', 'pleasant')",-0.1389294,-0.0273516,0.1115778
4,"('disliked', 'liked')",-2.9263742,-3.0717514,-0.14537719999999998
5,"('distant', 'outgoing')",-0.9882501,-1.0657884,-0.07753829999999995
6,"('distant', 'open')",-0.971493,-1.0196123,-0.048119299999999865
7,"('insensitive', 'sensitive')",0.9809793,1.0393886,0.05840930000000011
8,"('unaffectionate', 'affectionate')",-0.7894933,-0.9379832,-0.14848990000000006
9,"('unaffectionate', 'caring')",-0.4017551,-0.4725494,-0.07079430000000003
10,"('unsympathetic', 'sympathetic')",-0.4253661,-0.4950644,-0.06969829999999999
11,"('unhelpful', 'helpful')",0.1970345,0.262943,0.06590849999999998
12,"('unsupportive', 'supportive')",-1.1451693,-1.1545221,-0.00935280000000005
13,"('impolite', 'polite')",0.2472105,0.1994015,-0.04780899999999999
14,"('antisocial', 'social')",0.5208666,0.4101647,-0.11070189999999996
15,"('boring', 'funny')",0.5147984,0.338837,-0.1759614
16,"('unpopular', 'popular')",-0.2411334,-0.2570274,-0.01589400000000002
17,"('nasty', 'nice')",-0.6847801,-0.6934023,-0.008622200000000024
18,"('disagreeable', 'welcoming')",-0.661048,-0.5039179,0.15713009999999994
19,"('inhospitable', 'hospitable')",-1.0621169,-1.0227616,0.03935529999999998
20,"('rough', 'thoughtful')",0.0647443,0.1359071,0.0711628
21,"('immoral', 'moral')",0.0849097,0.239981,0.1550713
22,"('untrustworthy', 'trustworthy')",0.6552076,0.6857667,0.03055909999999995
23,"('insincere', 'sincere')",2.5804343,2.6501761,0.06974180000000008
24,"('dishonest', 'honest')",0.650566,0.7062055,0.055639500000000064
25,"('egoistic', 'altruistic')",0.5040871,0.5354248,0.031337700000000024
26,"('hardhearted', 'benevolent')",0.250311,0.0636583,-0.1866527
27,"('hardhearted', 'softhearted')",0.3445134,0.3516635,0.007150099999999993
28,"('disloyal', 'loyal')",0.241048,0.0529564,-0.18809160000000003
29,"('unfair', 'fair')",-0.2214584,-0.3469462,-0.12548779999999998
30,"('intolerant', 'tolerant')",0.5142565,0.5112231,-0.003033399999999964
31,"('evil', 'good')",-0.9962218,-1.0560612,-0.05983939999999999
32,"('unkind', 'kind')",0.5914063,0.6103835,0.018977199999999916
33,"('wrong', 'right')",-0.1143425,-0.1376699,-0.023327400000000012
34,"('mean', 'honorable')",1.8013365,2.0022811,0.20094459999999992
35,"('corrupt', 'incorrupt')",-0.3248641,-0.4705798,-0.1457157
36,"('hostile', 'amicable')",-0.7371321,-0.8012094,-0.0640773
37,"('fake', 'genuine')",0.129289,0.1221269,-0.007162099999999991
38,"('untruthful', 'truthful')",-0.3014398,-0.3393715,-0.03793170000000001
39,"('exploitative', 'cooperative')",0.7320237,0.9045649,0.17254119999999995
40,"('stingy', 'generous')",-0.1276551,-0.1674628,-0.0398077
41,"('unforgiving', 'forgiving')",0.5090283,0.4372228,-0.07180549999999997
42,"('unreliable', 'reliable')",-1.7791549,-1.7055116,0.07364330000000008
43,"('irresponsible', 'responsible')",-0.1391939,-0.1050212,0.034172700000000014
44,"('prejudiced', 'unprejudiced')",-1.0887434,-0.9245702,0.16417320000000002
45,"('incompetent', 'competent')",0.5707806,0.4244372,-0.14634339999999996
46,"('uncompetitive', 'competitive')",-0.027168,-0.0322951,-0.005127099999999999
47,"('stupid', 'smart')",2.8129367,2.9585575,0.1456208000000001
48,"('unintelligent', 'intelligent')",-0.5731406,-0.6473272,-0.07418659999999999
49,"('unable', 'able')",-0.7049076,-0.6878468,0.017060799999999987
50,"('clumsy', 'skillful')",-0.9134229,-0.9093285,0.0040944000000000536
51,"('uneducated', 'educated')",-0.0827366,-0.1402026,-0.05746600000000002
52,"('irrational', 'rational')",-1.0668357,-1.0959171,-0.029081400000000146
53,"('uncreative', 'creative')",-0.9766173,-1.015356,-0.038738699999999904
54,"('incapable', 'capable')",-0.6154415,-0.5947839,0.020657599999999943
55,"('incompetent', 'clever')",1.2111921,1.1926462,-0.018545900000000115
56,"('impractical', 'practical')",0.6331674,0.5963043,-0.03686310000000004
57,"('unimaginative', 'imaginative')",-1.9355212,-2.1323835,-0.19686230000000005
58,"('undiscriminating', 'discriminating')",0.5884437,0.4589271,-0.12951660000000004
59,"('foolish', 'wise')",-0.6600164,-0.6619378,-0.001921400000000073
60,"('inefficient', 'efficient')",0.6195013,0.7169268,0.09742549999999994
61,"('illogical', 'logical')",-0.1229602,-0.2397575,-0.1167973
62,"('incompetent', 'brilliant')",-0.0077992,0.1000074,0.1078066
63,"('unperceptive', 'insightful')",-0.0291518,-0.0189516,0.0102002
64,"('shy', 'confident')",-3.1111386,-3.1085752,0.0025633999999996604
65,"('insecure', 'secure')",0.6814132,0.6938372,0.01242399999999999
66,"('inactive', 'active')",-1.280693,-1.4193916,-0.1386985999999999
67,"('doubtful', 'determined')",-0.1803371,-0.2054004,-0.02506330000000001
68,"('dependent', 'independent')",-0.3674149,-0.3368258,0.03058909999999998
69,"('lazy', 'industrious')",-0.8378386,-0.825057,0.012781599999999949
70,"('lethargic', 'energetic')",0.6785808,0.7007303,0.022149500000000044
71,"('diffident', 'self-confident')",-0.24763,-0.294725,-0.047095000000000026
72,"('unambitious', 'ambitious')",-0.3771069,-0.3986031,-0.021496199999999965
73,"('helpless', 'self-reliant')",-1.1061426,-1.1299817,-0.023839100000000002
74,"('undedicated', 'dedicated')",0.3470502,0.2231541,-0.12389609999999998
75,"('meek', 'impulsive')",-0.3720543,-0.3656668,0.00638749999999999
76,"('anxious', 'daring')",0.1262507,0.0720062,-0.05424449999999999
77,"('unmotivated', 'motivated')",-0.9427832,-0.8515444,0.09123880000000006
78,"('nonresilient', 'resilient')",-0.9426834,-0.961574,-0.01889060000000009
79,"('wavering', 'unwavering')",-0.9672028,-1.127979,-0.16077620000000004
80,"('dominated', 'dominating')",0.7961147,0.8010317,0.00491700000000006
81,"('submissive', 'aggressive')",0.0834967,0.1561942,0.07269750000000001
82,"('poor', 'rich')",2.2539705,2.3147272,0.06075670000000022
83,"('powerless', 'powerful')",-0.3489411,-0.4393955,-0.09045439999999999
84,"('inferior', 'superior')",-0.3339294,-0.4400672,-0.1061378
85,"('insignificant', 'prestigious')",-1.7033274,-1.8340858,-0.13075839999999994
86,"('uninfluential', 'influential')",-0.3375744,-0.5697424,-0.23216799999999999
87,"('unsuccessful', 'successful')",-0.0654931,-0.1435139,-0.0780208
88,"('low', 'eminent')",-1.2336561,-1.1992245,0.03443160000000001
