,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.6164062,0.480626,-0.13578020000000002
1,"('unfriendly', 'friendly')",1.0791037,1.0180317,-0.061072000000000015
2,"('unlikable', 'likable')",0.0889095,0.1267418,0.037832299999999985
3,"('repellent', 'pleasant')",1.2048046,1.1814189,-0.023385699999999954
4,"('disliked', 'liked')",-7.5584097,-7.5584365,-2.679999999966043e-05
5,"('distant', 'outgoing')",-0.5455397,-0.6349311,-0.08939140000000001
6,"('distant', 'open')",-0.2671188,-0.3429031,-0.07578430000000003
7,"('insensitive', 'sensitive')",1.2959903,1.2552374,-0.04075289999999998
8,"('unaffectionate', 'affectionate')",0.5432936,0.4487724,-0.09452120000000003
9,"('unaffectionate', 'caring')",1.0236528,1.0331699,0.009517100000000056
10,"('unsympathetic', 'sympathetic')",1.2728383,1.2974493,0.02461099999999994
11,"('unhelpful', 'helpful')",1.941417,1.9719664,0.03054939999999995
12,"('unsupportive', 'supportive')",-1.1125255,-1.0806361,0.03188940000000007
13,"('impolite', 'polite')",0.5494019,0.5425749,-0.0068270000000000275
14,"('antisocial', 'social')",0.4374376,0.4633956,0.025958000000000037
15,"('boring', 'funny')",0.3074431,0.1786287,-0.12881440000000002
16,"('unpopular', 'popular')",-1.1024144,-1.1113204,-0.00890600000000008
17,"('nasty', 'nice')",-0.4774611,-0.5028539,-0.025392799999999938
18,"('disagreeable', 'welcoming')",-0.1425083,-0.1306128,0.011895500000000003
19,"('inhospitable', 'hospitable')",-0.4616786,-0.459413,0.0022655999999999787
20,"('rough', 'thoughtful')",0.5447118,0.4647199,-0.07999189999999995
21,"('immoral', 'moral')",0.3291608,0.4465178,0.11735700000000004
22,"('untrustworthy', 'trustworthy')",0.5533751,0.580649,0.027273899999999962
23,"('insincere', 'sincere')",6.7708938,6.7013897,-0.06950409999999962
24,"('dishonest', 'honest')",1.6978887,1.7290705,0.031181799999999926
25,"('egoistic', 'altruistic')",0.61439,0.5797037,-0.03468629999999995
26,"('hardhearted', 'benevolent')",0.4094286,0.3885209,-0.020907699999999974
27,"('hardhearted', 'softhearted')",1.5155875,1.3863008,-0.12928669999999998
28,"('disloyal', 'loyal')",0.7585098,0.7484195,-0.010090299999999996
29,"('unfair', 'fair')",-0.1936705,-0.2465623,-0.05289180000000002
30,"('intolerant', 'tolerant')",1.1172024,1.177315,0.06011259999999985
31,"('evil', 'good')",-1.267976,-1.2187953,0.049180699999999966
32,"('unkind', 'kind')",0.9930511,0.9890334,-0.004017700000000013
33,"('wrong', 'right')",-0.6283067,-0.581447,0.04685969999999995
34,"('mean', 'honorable')",4.8603079,4.9784354,0.11812750000000083
35,"('corrupt', 'incorrupt')",-1.3540098,-1.3596294,-0.005619599999999947
36,"('hostile', 'amicable')",-1.311918,-1.3181556,-0.006237600000000176
37,"('fake', 'genuine')",0.9466528,0.9090569,-0.037595900000000015
38,"('untruthful', 'truthful')",-0.1580347,-0.1621681,-0.004133400000000009
39,"('exploitative', 'cooperative')",0.3183177,0.3482246,0.029906900000000014
40,"('stingy', 'generous')",-0.8585069,-1.0198977,-0.16139080000000006
41,"('unforgiving', 'forgiving')",0.3567154,0.3693878,0.012672399999999973
42,"('unreliable', 'reliable')",-2.3653478,-2.3347543,0.030593499999999718
43,"('irresponsible', 'responsible')",1.2046463,1.1685088,-0.036137500000000156
44,"('prejudiced', 'unprejudiced')",-1.0741125,-1.1141343,-0.040021799999999885
45,"('incompetent', 'competent')",0.4048771,0.3450776,-0.059799500000000005
46,"('uncompetitive', 'competitive')",-0.4038752,-0.3664336,0.037441599999999964
47,"('stupid', 'smart')",5.564508,5.599526,0.035017999999999994
48,"('unintelligent', 'intelligent')",0.5631739,0.497987,-0.06518689999999999
49,"('unable', 'able')",-0.4795827,-0.4299739,0.04960879999999995
50,"('clumsy', 'skillful')",-0.8839194,-0.8851274,-0.0012079999999999869
51,"('uneducated', 'educated')",1.1296062,1.1137345,-0.015871699999999933
52,"('irrational', 'rational')",-0.7066109,-0.7768832,-0.07027229999999995
53,"('uncreative', 'creative')",-0.0781862,-0.0963519,-0.018165700000000007
54,"('incapable', 'capable')",1.2014763,1.2717753,0.07029900000000011
55,"('incompetent', 'clever')",1.4460254,1.4130236,-0.03300179999999986
56,"('impractical', 'practical')",0.4520989,0.4807221,0.02862319999999996
57,"('unimaginative', 'imaginative')",-2.4427477,-2.4756782,-0.032930499999999974
58,"('undiscriminating', 'discriminating')",0.1300488,0.0777304,-0.05231839999999999
59,"('foolish', 'wise')",-0.6209708,-0.5702994,0.05067140000000003
60,"('inefficient', 'efficient')",1.1633341,1.132983,-0.030351099999999853
61,"('illogical', 'logical')",0.2910029,0.2144406,-0.0765623
62,"('incompetent', 'brilliant')",1.3766424,1.3359661,-0.04067629999999989
63,"('unperceptive', 'insightful')",0.7398331,0.6974438,-0.042389300000000074
