,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.305653,0.2286695,-0.07698350000000001
1,"('unfriendly', 'friendly')",1.1459691,1.0715165,-0.07445260000000009
2,"('unlikable', 'likable')",-0.005712,0.0303185,0.0360305
3,"('repellent', 'pleasant')",1.2912636,1.2674475,-0.023816099999999896
4,"('disliked', 'liked')",-7.8735901,-7.8913386,-0.017748499999999723
5,"('distant', 'outgoing')",-0.4003369,-0.510705,-0.11036809999999997
6,"('distant', 'open')",-0.1092852,-0.2051957,-0.09591050000000001
7,"('insensitive', 'sensitive')",1.2726011,1.2373545,-0.03524660000000002
8,"('unaffectionate', 'affectionate')",0.6415296,0.5264201,-0.11510950000000009
9,"('unaffectionate', 'caring')",1.0967817,1.0993492,0.002567500000000056
10,"('unsympathetic', 'sympathetic')",1.2413725,1.3169871,0.07561459999999998
11,"('unhelpful', 'helpful')",1.978027,2.048336,0.07030899999999995
12,"('unsupportive', 'supportive')",-1.285037,-1.2369731,0.04806390000000005
13,"('impolite', 'polite')",0.2701306,0.3757751,0.10564449999999997
14,"('antisocial', 'social')",-0.0406555,0.0528679,0.0935234
15,"('boring', 'funny')",0.6913479,0.5682392,-0.12310869999999996
16,"('unpopular', 'popular')",-1.0231324,-1.0321995,-0.009067099999999995
17,"('nasty', 'nice')",-0.5810091,-0.5817406,-0.0007315000000001071
18,"('disagreeable', 'welcoming')",-0.225702,-0.2420809,-0.016378899999999974
19,"('inhospitable', 'hospitable')",-0.402216,-0.4527591,-0.05054310000000001
20,"('rough', 'thoughtful')",0.5381614,0.4359503,-0.1022111
21,"('immoral', 'moral')",0.1905408,0.3596784,0.1691376
22,"('untrustworthy', 'trustworthy')",0.2476436,0.3268681,0.0792245
23,"('insincere', 'sincere')",6.9597541,6.9203287,-0.03942539999999983
24,"('dishonest', 'honest')",1.793087,1.8483483,0.05526129999999996
25,"('egoistic', 'altruistic')",0.6530129,0.547147,-0.10586589999999996
26,"('hardhearted', 'benevolent')",0.1084811,0.0948628,-0.0136183
27,"('hardhearted', 'softhearted')",1.6574616,1.4733409,-0.18412070000000003
28,"('disloyal', 'loyal')",0.7941097,0.7864858,-0.007623900000000017
29,"('unfair', 'fair')",-0.1724798,-0.2720988,-0.09961899999999999
30,"('intolerant', 'tolerant')",1.0308474,1.0710527,0.0402053
31,"('evil', 'good')",-1.2012946,-1.2520319,-0.050737299999999985
32,"('unkind', 'kind')",0.6977822,0.7190346,0.02125239999999995
33,"('wrong', 'right')",-0.7302738,-0.6728954,0.05737839999999994
34,"('mean', 'honorable')",5.3341624,5.4428046,0.10864219999999936
35,"('corrupt', 'incorrupt')",-1.1898972,-1.2852252,-0.09532799999999986
36,"('hostile', 'amicable')",-1.0245126,-1.1337559,-0.10924329999999993
37,"('fake', 'genuine')",0.9721568,0.9035321,-0.0686247000000001
38,"('untruthful', 'truthful')",-0.1829747,-0.1954368,-0.012462100000000004
39,"('exploitative', 'cooperative')",0.2285436,0.2858679,0.057324299999999995
40,"('stingy', 'generous')",-0.9191171,-1.0293105,-0.1101934
41,"('unforgiving', 'forgiving')",-0.021428,0.0138812,0.0353092
42,"('unreliable', 'reliable')",-2.6095304,-2.510254,0.09927639999999993
43,"('irresponsible', 'responsible')",1.1428167,1.1451596,0.0023428999999999256
44,"('prejudiced', 'unprejudiced')",-1.3660526,-1.3918774,-0.025824800000000092
45,"('incompetent', 'competent')",0.2478996,0.2227803,-0.02511930000000001
46,"('uncompetitive', 'competitive')",-0.5044035,-0.4082444,0.0961591
47,"('stupid', 'smart')",5.4689209,5.5580728,0.08915190000000006
48,"('unintelligent', 'intelligent')",0.6027659,0.52487,-0.07789590000000002
49,"('unable', 'able')",-0.4950728,-0.4918529,0.0032198999999999978
50,"('clumsy', 'skillful')",-0.7453156,-0.8164204,-0.07110480000000008
51,"('uneducated', 'educated')",0.959855,0.9828599,0.023004899999999995
52,"('irrational', 'rational')",-0.5610537,-0.7282271,-0.16717340000000003
53,"('uncreative', 'creative')",0.1115695,0.0718861,-0.03968340000000001
54,"('incapable', 'capable')",1.1837107,1.2736843,0.08997359999999999
55,"('incompetent', 'clever')",1.316918,1.3196991,0.002781099999999981
56,"('impractical', 'practical')",0.2617146,0.3516464,0.0899318
57,"('unimaginative', 'imaginative')",-2.6084706,-2.5458297,0.06264089999999989
58,"('undiscriminating', 'discriminating')",0.215145,0.123934,-0.091211
59,"('foolish', 'wise')",-0.4312318,-0.4444594,-0.013227600000000006
60,"('inefficient', 'efficient')",0.9728432,1.0219177,0.04907449999999991
61,"('illogical', 'logical')",0.2814503,0.1989666,-0.0824837
62,"('incompetent', 'brilliant')",1.4061714,1.4381255,0.031954099999999874
63,"('unperceptive', 'insightful')",0.6570517,0.6505888,-0.006462900000000049
64,"('shy', 'confident')",-5.8905678,-5.7906045,0.09996330000000064
65,"('insecure', 'secure')",1.1381502,1.1355732,-0.0025769999999998294
66,"('inactive', 'active')",-0.743576,-0.8195297,-0.07595370000000001
67,"('doubtful', 'determined')",-1.029506,-1.0132646,0.01624139999999996
68,"('dependent', 'independent')",-0.4190348,-0.4754587,-0.05642390000000003
69,"('lazy', 'industrious')",-2.2781485,-2.2271509,0.05099760000000009
70,"('lethargic', 'energetic')",1.9268447,1.8443252,-0.08251949999999986
71,"('diffident', 'self-confident')",-0.1334467,-0.1477164,-0.014269699999999996
72,"('unambitious', 'ambitious')",0.7296335,0.757111,0.027477499999999933
73,"('helpless', 'self-reliant')",-2.9550461,-2.9628881,-0.007841999999999683
74,"('undedicated', 'dedicated')",0.1474379,0.0192963,-0.12814160000000002
75,"('meek', 'impulsive')",-0.756101,-0.7023593,0.0537417
76,"('anxious', 'daring')",0.9964605,0.9453472,-0.05111329999999992
77,"('unmotivated', 'motivated')",-0.9609522,-0.8454261,0.11552610000000008
78,"('nonresilient', 'resilient')",-0.7141,-0.7371812,-0.023081200000000024
79,"('wavering', 'unwavering')",-0.4363352,-0.5501464,-0.11381120000000006
80,"('dominated', 'dominating')",-0.0145532,0.0526496,0.0672028
81,"('submissive', 'aggressive')",0.3505287,0.4690208,0.11849209999999999
82,"('poor', 'rich')",6.2299587,6.2279701,-0.001988599999999785
83,"('powerless', 'powerful')",-0.8508348,-0.8882918,-0.03745699999999996
84,"('inferior', 'superior')",0.1511803,0.1409937,-0.01018659999999999
85,"('insignificant', 'prestigious')",-1.747738,-1.8596816,-0.11194360000000003
86,"('uninfluential', 'influential')",0.5238511,0.5250706,0.00121950000000004
87,"('unsuccessful', 'successful')",-0.2267247,-0.1415173,0.08520739999999999
88,"('low', 'eminent')",-0.0148858,-0.0592865,-0.0444007
