,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.4244948,0.3185452,-0.10594960000000003
1,"('unfriendly', 'friendly')",1.0537304,0.9851185,-0.06861190000000006
2,"('unlikable', 'likable')",-0.0202216,0.0044659,0.0246875
3,"('repellent', 'pleasant')",1.2109035,1.1705392,-0.04036430000000002
4,"('disliked', 'liked')",-7.24091,-7.2956747,-0.05476469999999978
5,"('distant', 'outgoing')",-0.4752426,-0.5829395,-0.10769690000000004
6,"('distant', 'open')",-0.2409634,-0.3304703,-0.0895069
7,"('insensitive', 'sensitive')",1.1219622,1.1265195,0.004557299999999875
8,"('unaffectionate', 'affectionate')",0.6468552,0.5677648,-0.0790904
9,"('unaffectionate', 'caring')",1.0992258,1.1211606,0.021934800000000143
10,"('unsympathetic', 'sympathetic')",1.2070288,1.2734621,0.06643329999999992
11,"('unhelpful', 'helpful')",2.0448398,2.1172538,0.07241399999999976
12,"('unsupportive', 'supportive')",-1.1060594,-1.0262388,0.07982059999999991
13,"('impolite', 'polite')",0.484561,0.5095134,0.024952399999999986
14,"('antisocial', 'social')",0.2776486,0.3201589,0.0425103
15,"('boring', 'funny')",0.4927415,0.3819281,-0.1108134
16,"('unpopular', 'popular')",-0.9865672,-1.0171572,-0.030590000000000006
17,"('nasty', 'nice')",-0.2995237,-0.3592962,-0.059772500000000006
18,"('disagreeable', 'welcoming')",-0.0825686,-0.0982251,-0.01565649999999999
19,"('inhospitable', 'hospitable')",-0.4888186,-0.4504746,0.03834399999999999
20,"('rough', 'thoughtful')",0.4385076,0.3210578,-0.1174498
21,"('immoral', 'moral')",0.2792385,0.412293,0.13305450000000002
22,"('untrustworthy', 'trustworthy')",0.3714186,0.3702499,-0.001168699999999967
23,"('insincere', 'sincere')",6.4052914,6.4157288,0.010437399999999819
24,"('dishonest', 'honest')",1.7327658,1.8223842,0.08961839999999999
25,"('egoistic', 'altruistic')",0.5354828,0.4322278,-0.10325500000000004
26,"('hardhearted', 'benevolent')",0.1528417,0.1640805,0.011238799999999993
27,"('hardhearted', 'softhearted')",1.4559399,1.2978267,-0.15811319999999984
28,"('disloyal', 'loyal')",0.7063416,0.7571533,0.050811700000000015
29,"('unfair', 'fair')",-0.2725915,-0.3256187,-0.0530272
30,"('intolerant', 'tolerant')",0.8959757,0.9761622,0.08018649999999994
31,"('evil', 'good')",-1.3005325,-1.3235741,-0.023041599999999995
32,"('unkind', 'kind')",0.9079398,0.9189818,0.011041999999999996
33,"('wrong', 'right')",-0.4645088,-0.4495815,0.014927299999999977
34,"('mean', 'honorable')",4.6105748,4.7909835,0.1804087000000001
35,"('corrupt', 'incorrupt')",-1.2619175,-1.2975315,-0.035614000000000035
36,"('hostile', 'amicable')",-1.2723333,-1.3434885,-0.0711552000000002
37,"('fake', 'genuine')",0.8510296,0.8291899,-0.021839700000000017
38,"('untruthful', 'truthful')",-0.0573456,-0.0338629,0.023482699999999995
39,"('exploitative', 'cooperative')",0.2316148,0.2631404,0.03152559999999999
40,"('stingy', 'generous')",-0.7155502,-0.8587611,-0.14321090000000003
41,"('unforgiving', 'forgiving')",0.2497047,0.280461,0.030756300000000014
42,"('unreliable', 'reliable')",-2.2613066,-2.2200442,0.041262400000000365
43,"('irresponsible', 'responsible')",1.1136786,1.1376182,0.02393959999999984
44,"('prejudiced', 'unprejudiced')",-1.1658791,-1.2570692,-0.09119010000000016
45,"('incompetent', 'competent')",0.2443727,0.2046009,-0.039771799999999996
46,"('uncompetitive', 'competitive')",-0.3931518,-0.337249,0.055902799999999975
47,"('stupid', 'smart')",4.9416926,5.022326,0.08063339999999997
48,"('unintelligent', 'intelligent')",0.5666974,0.5547943,-0.011903100000000055
49,"('unable', 'able')",-0.6672126,-0.5868511,0.08036150000000009
50,"('clumsy', 'skillful')",-0.7705202,-0.7725854,-0.0020651999999999893
51,"('uneducated', 'educated')",1.0726747,1.0842682,0.011593499999999812
52,"('irrational', 'rational')",-0.646811,-0.7392803,-0.09246929999999998
53,"('uncreative', 'creative')",-0.087314,-0.0935235,-0.006209499999999993
54,"('incapable', 'capable')",1.0727031,1.1873562,0.11465309999999995
55,"('incompetent', 'clever')",1.3909757,1.3726364,-0.01833930000000006
56,"('impractical', 'practical')",0.5439602,0.6192941,0.07533389999999995
57,"('unimaginative', 'imaginative')",-2.2140928,-2.2354377,-0.02134489999999989
58,"('undiscriminating', 'discriminating')",-0.0880722,-0.1136126,-0.02554039999999999
59,"('foolish', 'wise')",-0.5258007,-0.4663235,0.05947720000000001
60,"('inefficient', 'efficient')",1.0431901,1.0556783,0.012488200000000171
61,"('illogical', 'logical')",0.2255674,0.1604301,-0.06513730000000001
62,"('incompetent', 'brilliant')",1.4888908,1.5002724,0.011381599999999992
63,"('unperceptive', 'insightful')",0.6635575,0.6796611,0.016103599999999996
64,"('shy', 'confident')",-5.354787,-5.3166444,0.03814259999999958
65,"('insecure', 'secure')",1.0925162,1.0778795,-0.014636699999999836
66,"('inactive', 'active')",-0.8132452,-0.84249,-0.02924479999999996
67,"('doubtful', 'determined')",-0.9251303,-0.8444033,0.080727
68,"('dependent', 'independent')",-0.7129609,-0.6962409,0.016719999999999957
69,"('lazy', 'industrious')",-2.2877353,-2.2769906,0.010744700000000051
70,"('lethargic', 'energetic')",1.7167285,1.6291078,-0.0876207
71,"('diffident', 'self-confident')",-0.1625456,-0.1356222,0.026923400000000014
72,"('unambitious', 'ambitious')",0.7863817,0.8092453,0.022863599999999984
73,"('helpless', 'self-reliant')",-2.7079079,-2.688451,0.019456899999999777
74,"('undedicated', 'dedicated')",0.1142179,0.0339322,-0.08028569999999999
75,"('meek', 'impulsive')",-0.7260612,-0.696682,0.02937919999999994
76,"('anxious', 'daring')",0.9565519,0.8889392,-0.06761269999999997
77,"('unmotivated', 'motivated')",-0.9800433,-0.9376189,0.04242439999999992
78,"('nonresilient', 'resilient')",-0.6389585,-0.6976624,-0.05870390000000003
79,"('wavering', 'unwavering')",-0.6535177,-0.698755,-0.045237300000000036
80,"('dominated', 'dominating')",0.2049413,0.2242888,0.019347500000000017
81,"('submissive', 'aggressive')",0.6696118,0.7414354,0.07182359999999999
82,"('poor', 'rich')",5.6571048,5.6555008,-0.0016039999999994947
83,"('powerless', 'powerful')",-0.9726469,-0.9077753,0.06487160000000003
84,"('inferior', 'superior')",-0.1344498,-0.0664512,0.0679986
85,"('insignificant', 'prestigious')",-2.0550819,-2.0628065,-0.0077246000000004145
86,"('uninfluential', 'influential')",0.673141,0.6727794,-0.00036159999999996195
87,"('unsuccessful', 'successful')",-0.2754392,-0.2196645,0.05577469999999998
88,"('low', 'eminent')",-0.2000013,-0.2065668,-0.006565500000000002
