,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.0950908,-0.0827535,-0.1778443
1,"('unfriendly', 'friendly')",-0.18527,-0.2464265,-0.0611565
2,"('unlikable', 'likable')",0.5335616,0.5984804,0.06491880000000005
3,"('repellent', 'pleasant')",0.6204876,0.6590355,0.03854789999999997
4,"('disliked', 'liked')",-2.518723,-2.4732054,0.04551760000000016
5,"('distant', 'outgoing')",-0.8365781,-0.8278737,0.008704399999999946
6,"('distant', 'open')",-0.9020149,-0.8892198,0.012795099999999948
7,"('insensitive', 'sensitive')",0.614691,0.6232321,0.008541099999999968
8,"('unaffectionate', 'affectionate')",-0.6943976,-0.7399722,-0.04557460000000002
9,"('unaffectionate', 'caring')",-0.1109995,-0.1584096,-0.04741010000000001
10,"('unsympathetic', 'sympathetic')",-0.2803415,-0.3650358,-0.0846943
11,"('unhelpful', 'helpful')",0.5948763,0.5388763,-0.05600000000000005
12,"('unsupportive', 'supportive')",-0.542766,-0.4156027,0.12716329999999998
13,"('impolite', 'polite')",0.431613,0.3655069,-0.0661061
14,"('antisocial', 'social')",0.8966523,0.8829389,-0.013713399999999987
15,"('boring', 'funny')",0.0430473,-0.0119955,-0.055042799999999996
16,"('unpopular', 'popular')",-0.4911689,-0.461723,0.029445900000000025
17,"('nasty', 'nice')",-0.4755067,-0.4614174,0.014089300000000027
18,"('disagreeable', 'welcoming')",-0.2335298,-0.1708347,0.0626951
19,"('inhospitable', 'hospitable')",-1.041061,-1.0405928,0.0004682000000000297
20,"('rough', 'thoughtful')",0.886672,0.9541384,0.06746640000000004
21,"('immoral', 'moral')",0.2545426,0.203859,-0.050683599999999995
22,"('untrustworthy', 'trustworthy')",0.2975272,0.2708328,-0.026694400000000007
23,"('insincere', 'sincere')",1.9823633,1.856732,-0.1256313
24,"('dishonest', 'honest')",0.1704658,0.1245608,-0.045905
25,"('egoistic', 'altruistic')",0.2091056,0.1849254,-0.024180200000000013
26,"('hardhearted', 'benevolent')",0.7116989,0.6651131,-0.04658580000000001
27,"('hardhearted', 'softhearted')",0.3592336,0.4014098,0.0421762
28,"('disloyal', 'loyal')",0.1921092,0.092815,-0.09929420000000001
29,"('unfair', 'fair')",-0.3766909,-0.4518059,-0.07511499999999999
30,"('intolerant', 'tolerant')",1.5826198,1.5278096,-0.05481019999999992
31,"('evil', 'good')",-1.5500495,-1.4722779,0.07777160000000016
32,"('unkind', 'kind')",0.3810206,0.2742584,-0.10676219999999997
33,"('wrong', 'right')",-0.5673204,-0.536385,0.030935399999999946
34,"('mean', 'honorable')",2.1515491,2.2116873,0.06013819999999992
35,"('corrupt', 'incorrupt')",-0.9404795,-0.9286135,0.011866000000000043
36,"('hostile', 'amicable')",-0.8005635,-0.8708844,-0.07032090000000002
37,"('fake', 'genuine')",-0.1485915,-0.130127,0.018464499999999995
38,"('untruthful', 'truthful')",-0.5174017,-0.5085065,0.008895199999999992
39,"('exploitative', 'cooperative')",0.5956003,0.5765011,-0.019099199999999983
40,"('stingy', 'generous')",-0.2327183,-0.1306619,0.10205639999999999
41,"('unforgiving', 'forgiving')",0.1089662,0.1113715,0.002405299999999999
42,"('unreliable', 'reliable')",-0.9610584,-0.8594369,0.10162150000000003
43,"('irresponsible', 'responsible')",-0.0815787,-0.0839099,-0.0023311999999999916
44,"('prejudiced', 'unprejudiced')",-0.5898549,-0.6264438,-0.036588900000000035
45,"('incompetent', 'competent')",-0.1200568,-0.1702215,-0.05016469999999999
46,"('uncompetitive', 'competitive')",0.5607222,0.5821951,0.021472900000000017
47,"('stupid', 'smart')",2.1711139,2.1494588,-0.021655099999999816
48,"('unintelligent', 'intelligent')",0.5941113,0.539569,-0.054542300000000044
49,"('unable', 'able')",0.0575512,0.0886561,0.031104900000000005
50,"('clumsy', 'skillful')",-0.0786937,-0.0186735,0.06002020000000001
51,"('uneducated', 'educated')",0.6301104,0.5256524,-0.10445799999999994
52,"('irrational', 'rational')",-0.7188371,-0.8389352,-0.12009809999999999
53,"('uncreative', 'creative')",-0.0451532,-0.0306804,0.014472799999999997
54,"('incapable', 'capable')",0.1937846,0.0998907,-0.0938939
55,"('incompetent', 'clever')",0.670633,0.6319704,-0.03866259999999999
56,"('impractical', 'practical')",0.0661956,0.0654782,-0.000717399999999993
57,"('unimaginative', 'imaginative')",-0.9993755,-1.03562,-0.03624450000000001
58,"('undiscriminating', 'discriminating')",0.2997298,0.3331641,0.03343430000000003
59,"('foolish', 'wise')",-0.3285063,-0.358494,-0.029987700000000006
60,"('inefficient', 'efficient')",1.0795147,1.0197635,-0.059751200000000004
61,"('illogical', 'logical')",0.0113831,-0.1097625,-0.12114559999999999
62,"('incompetent', 'brilliant')",0.804712,0.8588561,0.05414410000000003
63,"('unperceptive', 'insightful')",0.9772246,1.0411218,0.06389719999999999
64,"('shy', 'confident')",-1.6716519,-1.688463,-0.016811099999999968
65,"('insecure', 'secure')",0.6156626,0.5071059,-0.10855669999999995
66,"('inactive', 'active')",-0.3963623,-0.3807753,0.015587000000000018
67,"('doubtful', 'determined')",-0.2368645,-0.2671463,-0.030281799999999998
68,"('dependent', 'independent')",-0.1059047,-0.1411797,-0.03527499999999999
69,"('lazy', 'industrious')",-0.6017191,-0.5200149,0.0817042
70,"('lethargic', 'energetic')",0.9352272,0.9473362,0.012108999999999925
71,"('diffident', 'self-confident')",0.3235547,0.343346,0.01979130000000001
72,"('unambitious', 'ambitious')",-0.3352368,-0.3142481,0.020988700000000027
73,"('helpless', 'self-reliant')",-0.8734666,-0.7771834,0.09628320000000001
74,"('undedicated', 'dedicated')",-0.1637724,-0.1152539,0.048518500000000006
75,"('meek', 'impulsive')",-0.1031087,-0.0593252,0.043783499999999996
76,"('anxious', 'daring')",0.9346366,0.9595553,0.02491869999999996
77,"('unmotivated', 'motivated')",0.0054394,-0.036549,-0.041988399999999995
78,"('nonresilient', 'resilient')",0.0507925,0.1840756,0.13328310000000002
79,"('wavering', 'unwavering')",-1.1889458,-1.2099288,-0.020982999999999974
80,"('dominated', 'dominating')",0.3412146,0.3603508,0.019136200000000048
81,"('submissive', 'aggressive')",0.6150481,0.4605135,-0.15453459999999997
82,"('poor', 'rich')",2.080884,2.0329406,-0.0479434000000003
83,"('powerless', 'powerful')",0.0925517,0.076856,-0.015695700000000007
84,"('inferior', 'superior')",0.6279455,0.617504,-0.010441499999999992
85,"('insignificant', 'prestigious')",-0.5573822,-0.5350614,0.02232080000000003
86,"('uninfluential', 'influential')",-0.4316193,-0.5465243,-0.11490499999999998
87,"('unsuccessful', 'successful')",0.6699342,0.6091804,-0.06075380000000008
88,"('low', 'eminent')",0.1402697,0.0567543,-0.08351539999999999
