,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1535791,-0.0281102,-0.1816893
1,"('unfriendly', 'friendly')",0.208017,0.1001562,-0.1078608
2,"('unlikable', 'likable')",0.4346474,0.4642468,0.029599399999999998
3,"('repellent', 'pleasant')",0.3470035,0.403547,0.05654349999999997
4,"('disliked', 'liked')",-2.7368724,-2.7932698,-0.05639739999999982
5,"('distant', 'outgoing')",-0.7343373,-0.7154541,0.01888319999999999
6,"('distant', 'open')",-0.9338291,-0.9071576,0.02667149999999996
7,"('insensitive', 'sensitive')",0.9407869,0.9978823,0.05709540000000002
8,"('unaffectionate', 'affectionate')",-0.5026845,-0.5620698,-0.059385299999999974
9,"('unaffectionate', 'caring')",0.267171,0.2860817,0.018910700000000003
10,"('unsympathetic', 'sympathetic')",-0.0092798,-0.0267876,-0.017507800000000004
11,"('unhelpful', 'helpful')",1.3980286,1.3253177,-0.07271089999999991
12,"('unsupportive', 'supportive')",-0.1648786,-0.0790463,0.08583229999999999
13,"('impolite', 'polite')",0.3455653,0.2187889,-0.1267764
14,"('antisocial', 'social')",0.5190704,0.5550125,0.03594209999999998
15,"('boring', 'funny')",0.2762534,0.1967254,-0.07952799999999999
16,"('unpopular', 'popular')",-0.4059953,-0.3900685,0.01592680000000002
17,"('nasty', 'nice')",-0.8811421,-0.8777414,0.0034007000000000343
18,"('disagreeable', 'welcoming')",-0.0410595,0.0471076,0.0881671
19,"('inhospitable', 'hospitable')",-0.9302244,-0.9799014,-0.04967700000000008
20,"('rough', 'thoughtful')",0.8029029,0.856827,0.05392410000000003
21,"('immoral', 'moral')",0.4383963,0.4305484,-0.007847900000000019
22,"('untrustworthy', 'trustworthy')",0.2552044,0.2561779,0.000973500000000016
23,"('insincere', 'sincere')",2.3294258,2.2986288,-0.030797000000000185
24,"('dishonest', 'honest')",0.1066362,0.1532392,0.04660299999999999
25,"('egoistic', 'altruistic')",0.3337561,0.3253105,-0.008445599999999998
26,"('hardhearted', 'benevolent')",0.0696948,-0.0038739,-0.0735687
27,"('hardhearted', 'softhearted')",0.3549103,0.4111684,0.05625809999999998
28,"('disloyal', 'loyal')",0.4547774,0.4061338,-0.04864360000000001
29,"('unfair', 'fair')",-0.4849129,-0.5931829,-0.10826999999999998
30,"('intolerant', 'tolerant')",1.2501168,1.1771535,-0.07296330000000006
31,"('evil', 'good')",-1.2498887,-1.276055,-0.026166299999999865
32,"('unkind', 'kind')",0.1885135,0.1508168,-0.0376967
33,"('wrong', 'right')",-0.1989765,-0.2137131,-0.014736599999999989
34,"('mean', 'honorable')",2.3990977,2.4784526,0.07935489999999978
35,"('corrupt', 'incorrupt')",-0.9376339,-0.9509056,-0.013271699999999997
36,"('hostile', 'amicable')",-0.8694972,-1.0079589,-0.13846170000000002
37,"('fake', 'genuine')",0.1507611,0.186589,0.035827899999999996
38,"('untruthful', 'truthful')",-0.2183635,-0.22617,-0.007806500000000022
39,"('exploitative', 'cooperative')",0.7189747,0.7506239,0.031649200000000044
40,"('stingy', 'generous')",-0.4311722,-0.3410724,0.09009980000000001
41,"('unforgiving', 'forgiving')",-0.0861311,-0.1239822,-0.0378511
42,"('unreliable', 'reliable')",-1.5915572,-1.4816243,0.1099329
43,"('irresponsible', 'responsible')",-0.3348825,-0.3166307,0.01825180000000004
44,"('prejudiced', 'unprejudiced')",-1.1364023,-1.1397674,-0.0033650999999998987
45,"('incompetent', 'competent')",0.0939135,0.0485517,-0.045361799999999994
46,"('uncompetitive', 'competitive')",0.5816572,0.5826029,0.0009457000000000493
47,"('stupid', 'smart')",2.4102324,2.4413474,0.031115000000000226
48,"('unintelligent', 'intelligent')",0.9595232,0.854904,-0.10461920000000002
49,"('unable', 'able')",0.4621026,0.5185174,0.05641480000000004
50,"('clumsy', 'skillful')",0.1722885,0.215757,0.04346849999999999
51,"('uneducated', 'educated')",0.5502038,0.3913977,-0.1588061
52,"('irrational', 'rational')",-0.9133669,-1.0661635,-0.15279660000000006
53,"('uncreative', 'creative')",0.4469088,0.4633218,0.01641300000000001
54,"('incapable', 'capable')",0.1116166,0.0569301,-0.0546865
55,"('incompetent', 'clever')",1.2203444,1.2145615,-0.005782900000000035
56,"('impractical', 'practical')",0.1358276,0.1471528,0.011325200000000007
57,"('unimaginative', 'imaginative')",-0.5845427,-0.7008831,-0.11634040000000001
58,"('undiscriminating', 'discriminating')",0.268876,0.2259488,-0.0429272
59,"('foolish', 'wise')",-0.270218,-0.3067961,-0.0365781
60,"('inefficient', 'efficient')",1.5930792,1.5778662,-0.015212999999999921
61,"('illogical', 'logical')",0.3694109,0.2353164,-0.13409449999999998
62,"('incompetent', 'brilliant')",1.0646653,1.156723,0.09205770000000002
63,"('unperceptive', 'insightful')",0.8980084,0.9073688,0.009360399999999935
64,"('shy', 'confident')",-2.0315708,-2.0706074,-0.0390366000000002
65,"('insecure', 'secure')",0.63663,0.6062055,-0.030424500000000076
66,"('inactive', 'active')",-0.240993,-0.198077,0.04291600000000001
67,"('doubtful', 'determined')",-0.1191798,-0.1555437,-0.036363900000000005
68,"('dependent', 'independent')",0.1439062,0.147453,0.003546799999999989
69,"('lazy', 'industrious')",-0.5260779,-0.4361312,0.08994669999999999
70,"('lethargic', 'energetic')",0.5634074,0.571744,0.008336600000000027
71,"('diffident', 'self-confident')",0.1759353,0.180174,0.004238700000000012
72,"('unambitious', 'ambitious')",-0.5753958,-0.4979779,0.07741790000000004
73,"('helpless', 'self-reliant')",-1.1276246,-1.1033045,0.024320100000000178
74,"('undedicated', 'dedicated')",0.1440859,0.1422916,-0.0017942999999999987
75,"('meek', 'impulsive')",-0.3865915,-0.4158288,-0.02923730000000002
76,"('anxious', 'daring')",0.7627705,0.8327175,0.06994699999999998
77,"('unmotivated', 'motivated')",0.5832971,0.5662406,-0.01705650000000003
78,"('nonresilient', 'resilient')",0.8376925,0.9419343,0.10424180000000005
79,"('wavering', 'unwavering')",-1.0150427,-1.0877194,-0.07267669999999993
80,"('dominated', 'dominating')",0.4774008,0.5601923,0.08279149999999996
81,"('submissive', 'aggressive')",0.7584438,0.6710651,-0.08737870000000003
82,"('poor', 'rich')",2.1204334,2.1210043,0.0005709000000000408
83,"('powerless', 'powerful')",0.0139283,-0.0496574,-0.0635857
84,"('inferior', 'superior')",0.7677663,0.6863924,-0.0813739
85,"('insignificant', 'prestigious')",-0.3396498,-0.4330813,-0.0934315
