,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2009156,-0.0275606,-0.2284762
1,"('unfriendly', 'friendly')",0.4959843,0.4657727,-0.030211600000000005
2,"('unlikable', 'likable')",0.783022,0.7822336,-0.0007884000000000224
3,"('repellent', 'pleasant')",-0.0878283,-0.0951688,-0.0073405
4,"('disliked', 'liked')",-2.1329515,-2.1805137,-0.04756220000000022
5,"('distant', 'outgoing')",-0.5567243,-0.495533,0.06119129999999995
6,"('distant', 'open')",-0.44064,-0.3752102,0.06542979999999998
7,"('insensitive', 'sensitive')",-0.0403058,-0.1133854,-0.0730796
8,"('unaffectionate', 'affectionate')",0.0884756,0.1202253,0.03174969999999999
9,"('unaffectionate', 'caring')",0.7043844,0.7467212,0.04233679999999995
10,"('unsympathetic', 'sympathetic')",-0.4527746,-0.6104348,-0.15766020000000003
11,"('unhelpful', 'helpful')",0.448965,0.3848717,-0.06409330000000002
12,"('unsupportive', 'supportive')",-0.1106885,-0.1000253,0.010663199999999998
13,"('impolite', 'polite')",-0.5078105,-0.6531132,-0.1453026999999999
14,"('antisocial', 'social')",0.074312,-0.033096,-0.107408
15,"('boring', 'funny')",-0.0531867,-0.1023713,-0.049184599999999995
16,"('unpopular', 'popular')",-0.1426951,-0.1177678,0.024927299999999986
17,"('nasty', 'nice')",-0.9103603,-0.8844493,0.025911000000000017
18,"('disagreeable', 'welcoming')",0.1792164,0.1796953,0.0004789000000000043
19,"('inhospitable', 'hospitable')",-0.3459089,-0.3261634,0.019745500000000027
20,"('rough', 'thoughtful')",0.2507685,0.3158097,0.06504120000000002
21,"('immoral', 'moral')",-0.3882346,-0.4752953,-0.08706069999999999
22,"('untrustworthy', 'trustworthy')",-0.3307724,-0.3784097,-0.047637299999999994
23,"('insincere', 'sincere')",2.0029368,1.8678148,-0.13512199999999996
24,"('dishonest', 'honest')",0.5510106,0.5359826,-0.015028000000000041
25,"('egoistic', 'altruistic')",1.0280747,1.0770487,0.04897400000000007
26,"('hardhearted', 'benevolent')",0.5205494,0.4966122,-0.023937200000000047
27,"('hardhearted', 'softhearted')",0.1766259,0.2030501,0.02642420000000001
28,"('disloyal', 'loyal')",0.559824,0.5052868,-0.05453719999999995
29,"('unfair', 'fair')",-0.4575769,-0.5245246,-0.0669477
30,"('intolerant', 'tolerant')",0.6858808,0.5764564,-0.10942439999999998
31,"('evil', 'good')",-0.9163845,-0.8546732,0.061711300000000024
32,"('unkind', 'kind')",0.5885448,0.5038831,-0.08466169999999995
33,"('wrong', 'right')",0.3320184,0.3640867,0.032068299999999994
34,"('mean', 'honorable')",1.9219692,1.9947716,0.07280240000000004
35,"('corrupt', 'incorrupt')",-0.2972843,-0.1366892,0.1605951
36,"('hostile', 'amicable')",-0.882905,-0.8581391,0.024765900000000007
37,"('fake', 'genuine')",-0.1502555,-0.1312438,0.019011699999999992
38,"('untruthful', 'truthful')",0.1234152,0.124105,0.0006897999999999904
39,"('exploitative', 'cooperative')",0.4048766,0.4720645,0.06718790000000002
40,"('stingy', 'generous')",0.1944823,0.1398897,-0.05459259999999999
41,"('unforgiving', 'forgiving')",0.5368981,0.3974373,-0.13946080000000005
42,"('unreliable', 'reliable')",-1.3262961,-1.3382129,-0.01191680000000006
43,"('irresponsible', 'responsible')",-0.1869813,-0.243213,-0.05623170000000002
44,"('prejudiced', 'unprejudiced')",-1.4241289,-1.3861168,0.03801209999999999
45,"('incompetent', 'competent')",-0.2289777,-0.4186568,-0.1896791
46,"('uncompetitive', 'competitive')",-0.2971797,-0.4141851,-0.11700539999999998
47,"('stupid', 'smart')",1.6698777,1.6882026,0.01832490000000009
48,"('unintelligent', 'intelligent')",0.7237765,0.5785555,-0.14522100000000004
49,"('unable', 'able')",-0.0502159,0.0031168,0.053332700000000004
50,"('clumsy', 'skillful')",-0.0481558,0.0277401,0.0758959
51,"('uneducated', 'educated')",0.7933436,0.6141342,-0.17920940000000007
52,"('irrational', 'rational')",-0.379984,-0.3838104,-0.0038264000000000076
53,"('uncreative', 'creative')",-0.3613829,-0.3536121,0.007770800000000022
54,"('incapable', 'capable')",0.1248174,0.1305097,0.005692300000000011
55,"('incompetent', 'clever')",0.5149982,0.3615659,-0.15343229999999997
56,"('impractical', 'practical')",0.1516535,0.054115,-0.0975385
57,"('unimaginative', 'imaginative')",-1.5099239,-1.6768916,-0.16696770000000005
58,"('undiscriminating', 'discriminating')",-0.1730948,-0.2356477,-0.0625529
59,"('foolish', 'wise')",0.0880074,0.1569425,0.06893510000000001
60,"('inefficient', 'efficient')",0.1976587,0.0753794,-0.1222793
61,"('illogical', 'logical')",-0.2385168,-0.3045552,-0.06603840000000002
62,"('incompetent', 'brilliant')",0.6134469,0.5528131,-0.06063380000000007
63,"('unperceptive', 'insightful')",0.3065083,0.2355927,-0.07091560000000002
64,"('shy', 'confident')",-2.3907055,-2.475564,-0.08485849999999973
65,"('insecure', 'secure')",0.0038942,-0.1643589,-0.1682531
66,"('inactive', 'active')",-0.4008204,-0.3164362,0.08438420000000002
67,"('doubtful', 'determined')",-0.2473672,-0.2763604,-0.028993199999999997
68,"('dependent', 'independent')",-0.1837364,-0.2362521,-0.0525157
69,"('lazy', 'industrious')",-0.3204956,-0.1673479,0.1531477
70,"('lethargic', 'energetic')",-0.2044546,-0.2930136,-0.088559
71,"('diffident', 'self-confident')",0.4733321,0.4980627,0.024730600000000047
