,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1697959,0.0242891,-0.1455068
1,"('unfriendly', 'friendly')",0.4265743,0.4022315,-0.024342799999999998
2,"('unlikable', 'likable')",-0.2601161,-0.2553283,0.004787800000000009
3,"('repellent', 'pleasant')",0.7017866,0.7952068,0.09342019999999995
4,"('disliked', 'liked')",-4.5067467,-4.5068981,-0.00015140000000002374
5,"('distant', 'outgoing')",-1.282232,-1.32496,-0.04272799999999988
6,"('distant', 'open')",-0.9922539,-1.0039237,-0.011669800000000063
7,"('insensitive', 'sensitive')",1.4263983,1.4312596,0.004861299999999957
8,"('unaffectionate', 'affectionate')",-0.1488783,-0.2043856,-0.05550730000000001
9,"('unaffectionate', 'caring')",0.6302459,0.6753401,0.04509419999999997
10,"('unsympathetic', 'sympathetic')",0.497706,0.5400743,0.042368300000000025
11,"('unhelpful', 'helpful')",1.0813098,1.10566,0.02435019999999999
12,"('unsupportive', 'supportive')",-0.4354347,-0.3423314,0.0931033
13,"('impolite', 'polite')",0.0423561,-0.1103746,-0.1527307
14,"('antisocial', 'social')",1.1732841,1.1169018,-0.05638230000000011
15,"('boring', 'funny')",0.5317214,0.4478161,-0.08390530000000002
16,"('unpopular', 'popular')",-0.9563779,-0.961835,-0.0054570999999999925
17,"('nasty', 'nice')",-0.6945573,-0.7357108,-0.041153499999999954
18,"('disagreeable', 'welcoming')",-0.8542432,-0.8561873,-0.0019441000000000042
19,"('inhospitable', 'hospitable')",-1.1602316,-1.1695872,-0.00935560000000013
20,"('rough', 'thoughtful')",1.1341121,1.1241493,-0.00996280000000005
21,"('immoral', 'moral')",0.5304244,0.5457137,0.01528929999999995
22,"('untrustworthy', 'trustworthy')",0.4084821,0.3688216,-0.03966049999999999
23,"('insincere', 'sincere')",4.1090483,4.0673917,-0.04165660000000049
24,"('dishonest', 'honest')",1.2521097,1.2404112,-0.011698500000000056
25,"('egoistic', 'altruistic')",0.8928703,0.8746248,-0.018245500000000026
26,"('hardhearted', 'benevolent')",0.7401817,0.7124828,-0.027698900000000082
27,"('hardhearted', 'softhearted')",1.1930073,1.1156261,-0.07738120000000004
28,"('disloyal', 'loyal')",0.8430681,0.8281276,-0.014940500000000023
29,"('unfair', 'fair')",-0.2064376,-0.3417335,-0.13529590000000002
30,"('intolerant', 'tolerant')",1.5083011,1.4810533,-0.027247800000000044
31,"('evil', 'good')",-1.5921398,-1.5612307,0.03090909999999991
32,"('unkind', 'kind')",0.7518359,0.7089039,-0.04293199999999997
33,"('wrong', 'right')",-0.7087895,-0.7175469,-0.008757400000000026
34,"('mean', 'honorable')",3.4189365,3.5142521,0.09531560000000017
35,"('corrupt', 'incorrupt')",-0.8772136,-0.9136482,-0.036434599999999984
36,"('hostile', 'amicable')",-1.0142051,-0.9779014,0.03630370000000005
37,"('fake', 'genuine')",0.3028479,0.2930876,-0.0097603
38,"('untruthful', 'truthful')",-0.1885837,-0.1517583,0.03682539999999998
39,"('exploitative', 'cooperative')",1.1455293,1.1517379,0.00620860000000012
40,"('stingy', 'generous')",-0.6429391,-0.6161281,0.02681100000000003
41,"('unforgiving', 'forgiving')",-0.0318053,-0.0421494,-0.010344099999999995
42,"('unreliable', 'reliable')",-1.6674328,-1.594106,0.07332680000000003
43,"('irresponsible', 'responsible')",0.561111,0.5318846,-0.029226399999999986
44,"('prejudiced', 'unprejudiced')",-1.6368744,-1.7483501,-0.11147569999999996
45,"('incompetent', 'competent')",-0.0245517,-0.0222029,0.002348799999999998
46,"('uncompetitive', 'competitive')",0.0057655,0.0451032,0.0393377
47,"('stupid', 'smart')",3.156533,3.107332,-0.04920100000000005
48,"('unintelligent', 'intelligent')",1.2607528,1.2108232,-0.049929599999999796
49,"('unable', 'able')",0.1845583,0.1751252,-0.0094331
50,"('clumsy', 'skillful')",-0.4152848,-0.3383556,0.07692920000000003
51,"('uneducated', 'educated')",0.4582539,0.3653952,-0.09285870000000002
52,"('irrational', 'rational')",-1.0544416,-1.1164762,-0.06203459999999983
53,"('uncreative', 'creative')",0.2992896,0.33544,0.03615040000000003
54,"('incapable', 'capable')",0.1225226,0.1055991,-0.016923499999999994
55,"('incompetent', 'clever')",1.3681865,1.3637518,-0.004434700000000014
56,"('impractical', 'practical')",0.7105664,0.704265,-0.0063014000000000125
57,"('unimaginative', 'imaginative')",-0.9954948,-0.9745486,0.020946200000000026
58,"('undiscriminating', 'discriminating')",0.4435058,0.4452447,0.0017388999999999877
59,"('foolish', 'wise')",-0.551859,-0.5505758,0.0012832000000000399
60,"('inefficient', 'efficient')",1.7139997,1.669902,-0.04409770000000002
61,"('illogical', 'logical')",0.7391111,0.6238556,-0.11525550000000007
62,"('incompetent', 'brilliant')",0.8418526,0.8472373,0.00538470000000002
63,"('unperceptive', 'insightful')",0.8099006,0.849669,0.03976840000000004
64,"('shy', 'confident')",-4.0213319,-4.0309502,-0.009618300000000524
65,"('insecure', 'secure')",1.1560831,1.0739016,-0.08218150000000013
66,"('inactive', 'active')",-0.8840481,-0.8689474,0.015100699999999967
