,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.7482376,0.5496396,-0.19859799999999994
1,"('unfriendly', 'friendly')",0.2071982,0.1389247,-0.06827349999999999
2,"('unlikable', 'likable')",0.3073693,0.2923925,-0.014976800000000012
3,"('repellent', 'pleasant')",0.6784228,0.7421157,0.06369290000000005
4,"('disliked', 'liked')",-2.8776251,-2.8636517,0.013973399999999803
5,"('distant', 'outgoing')",-1.0184721,-1.030335,-0.011862899999999899
6,"('distant', 'open')",-1.0924745,-1.0672016,0.025272900000000043
7,"('insensitive', 'sensitive')",0.5999043,0.6251628,0.025258500000000073
8,"('unaffectionate', 'affectionate')",-0.3017675,-0.3540996,-0.05233209999999999
9,"('unaffectionate', 'caring')",0.0258951,-0.0144258,-0.0403209
10,"('unsympathetic', 'sympathetic')",0.1410529,0.0297785,-0.11127440000000001
11,"('unhelpful', 'helpful')",1.0841665,1.0219009,-0.06226560000000014
12,"('unsupportive', 'supportive')",-0.6981407,-0.6490196,0.04912109999999992
13,"('impolite', 'polite')",0.2537362,0.1295724,-0.12416380000000002
14,"('antisocial', 'social')",1.1370994,1.132359,-0.0047404000000002
15,"('boring', 'funny')",0.0668536,-0.0355514,-0.102405
16,"('unpopular', 'popular')",-0.6166676,-0.5481669,0.06850069999999997
17,"('nasty', 'nice')",-0.4244067,-0.4375256,-0.013118899999999989
18,"('disagreeable', 'welcoming')",-0.4769166,-0.4263764,0.050540200000000035
19,"('inhospitable', 'hospitable')",-1.3062404,-1.3219821,-0.01574169999999997
20,"('rough', 'thoughtful')",0.4051938,0.4285374,0.02334360000000002
21,"('immoral', 'moral')",0.1526669,0.1304979,-0.022168999999999994
22,"('untrustworthy', 'trustworthy')",0.6012288,0.5628179,-0.038410900000000026
23,"('insincere', 'sincere')",3.3811328,3.2827403,-0.0983925000000001
24,"('dishonest', 'honest')",0.4071464,0.3428338,-0.0643126
25,"('egoistic', 'altruistic')",0.2797558,0.2511016,-0.02865420000000002
26,"('hardhearted', 'benevolent')",0.5440406,0.4300898,-0.11395079999999996
27,"('hardhearted', 'softhearted')",0.1507104,0.1355127,-0.01519769999999998
28,"('disloyal', 'loyal')",0.4401167,0.3997068,-0.040409900000000054
29,"('unfair', 'fair')",-0.5475756,-0.6169659,-0.0693902999999999
30,"('intolerant', 'tolerant')",1.3462189,1.2937549,-0.052464000000000066
31,"('evil', 'good')",-1.1865122,-1.0990943,0.08741789999999994
32,"('unkind', 'kind')",0.4283141,0.26945,-0.15886409999999995
33,"('wrong', 'right')",-0.6451227,-0.6720025,-0.026879799999999898
34,"('mean', 'honorable')",2.4553058,2.568455,0.11314920000000006
35,"('corrupt', 'incorrupt')",-1.4565064,-1.5043821,-0.047875699999999854
36,"('hostile', 'amicable')",-0.9594244,-0.9165948,0.04282959999999991
37,"('fake', 'genuine')",0.1150437,0.0873476,-0.0276961
38,"('untruthful', 'truthful')",0.0761842,0.0863884,0.01020420000000001
39,"('exploitative', 'cooperative')",0.2359542,0.2624318,0.02647759999999999
40,"('stingy', 'generous')",-0.452678,-0.4069292,0.045748800000000034
41,"('unforgiving', 'forgiving')",0.6170529,0.5726981,-0.04435480000000003
42,"('unreliable', 'reliable')",-1.5164535,-1.4814867,0.034966799999999854
43,"('irresponsible', 'responsible')",0.0464831,-0.0119061,-0.0583892
44,"('prejudiced', 'unprejudiced')",-1.130181,-1.1912403,-0.06105929999999993
45,"('incompetent', 'competent')",0.8650865,0.7929358,-0.07215070000000001
46,"('uncompetitive', 'competitive')",0.5397799,0.5341383,-0.005641600000000024
47,"('stupid', 'smart')",2.9900445,2.9703619,-0.019682600000000328
48,"('unintelligent', 'intelligent')",0.404552,0.394545,-0.010007000000000044
49,"('unable', 'able')",0.0044488,0.124598,0.1201492
50,"('clumsy', 'skillful')",-0.5856668,-0.4966346,0.08903220000000006
51,"('uneducated', 'educated')",0.7435932,0.6006601,-0.14293309999999992
52,"('irrational', 'rational')",-0.55982,-0.5731396,-0.013319599999999987
53,"('uncreative', 'creative')",-0.6306229,-0.6019568,0.028666100000000028
54,"('incapable', 'capable')",-0.0996414,-0.2429546,-0.14331319999999997
55,"('incompetent', 'clever')",1.182038,1.1903623,0.008324300000000173
56,"('impractical', 'practical')",0.5755348,0.4979495,-0.07758530000000002
57,"('unimaginative', 'imaginative')",-0.7808718,-0.8601943,-0.07932249999999996
58,"('undiscriminating', 'discriminating')",0.4765197,0.5243325,0.04781279999999999
59,"('foolish', 'wise')",-0.2526622,-0.169791,0.0828712
60,"('inefficient', 'efficient')",1.0106932,1.0042919,-0.006401300000000054
61,"('illogical', 'logical')",0.1886491,0.1137444,-0.07490469999999999
62,"('incompetent', 'brilliant')",1.4353112,1.4461876,0.01087640000000012
63,"('unperceptive', 'insightful')",0.6533671,0.6557557,0.002388600000000074
64,"('shy', 'confident')",-2.8976681,-2.9447444,-0.04707629999999963
65,"('insecure', 'secure')",0.692685,0.6964169,0.00373190000000001
66,"('inactive', 'active')",-0.8835345,-0.8956868,-0.012152300000000005
67,"('doubtful', 'determined')",-0.5760178,-0.6285331,-0.05251529999999993
68,"('dependent', 'independent')",-0.2807623,-0.2087532,0.07200910000000002
69,"('lazy', 'industrious')",-1.2125517,-1.1601466,0.05240509999999987
70,"('lethargic', 'energetic')",0.7361068,0.6427539,-0.09335289999999996
71,"('diffident', 'self-confident')",-0.4698866,-0.5423657,-0.07247909999999996
72,"('unambitious', 'ambitious')",0.1637737,0.1894736,0.025699899999999998
73,"('helpless', 'self-reliant')",-1.4107317,-1.3521901,0.05854159999999986
74,"('undedicated', 'dedicated')",0.6071503,0.6009002,-0.006250100000000036
75,"('meek', 'impulsive')",-0.8004594,-0.8072161,-0.006756699999999949
